town,trade,issued_date,street_masked,valuation
Allston,Fire/Sprinkler,2026-08-07,Warren St,48600.0
Allston,Plumbing,2026-08-07,Penniman Rd,2000.0
Allston,Electrical,2026-08-06,Scottfield Rd,1700.0
Allston,Windows/Doors/Siding,2026-08-06,Kelton St,4639.0
Allston,Other,2026-08-06,N Harvard St,3581.28
Allston,Electrical,2026-08-05,Commonwealth Av,1100.0
Allston,Roofing,2026-08-05,Riverdale St,4500.0
Allston,Kitchen/Bath,2026-08-05,Brainerd Rd,40000.0
Allston,Electrical,2026-08-04,Brainerd Rd,1000.0
Allston,Plumbing,2026-08-04,Western Av,350.0
Allston,Plumbing,2026-08-03,Hopedale St,850.0
Allston,Plumbing,2026-08-03,Hopedale St,650.0
Allston,Windows/Doors/Siding,2026-08-03,Brainerd Rd,358373.0
Allston,New Construction,2026-08-03,N Harvard St,3980.0
Allston,Demolition,2026-07-31,Commonwealth Av,119697.0
Allston,Electrical,2026-07-31,Penniman Rd,2800.0
Allston,Electrical,2026-07-31,Brainerd Rd,13986.0
Allston,Electrical,2026-07-31,N Harvard St,315.0
Allston,Kitchen/Bath,2026-07-30,Haskell St,18000.0
Allston,Electrical,2026-07-29,Mansfield St,1200.0
Allston,Gas,2026-07-29,Ashford St,3500.0
Allston,Electrical,2026-07-29,Warren St,110000.0
Allston,Plumbing,2026-07-29,Everett St,29760.0
Allston,Electrical,2026-07-29,Riverdale St,5500.0
Allston,Plumbing,2026-07-29,Ashford St,15000.0
Allston,Renovation/Remodel,2026-07-28,Harvard Av,1634.0
Allston,HVAC,2026-07-28,Allston St,27585.0
Allston,Electrical,2026-07-28,Warren St,998256.0
Allston,HVAC,2026-07-27,Riverdale St,14436.75
Allston,Renovation/Remodel,2026-07-27,Western Av,15000.0
Allston,Electrical,2026-07-27,Cambridge St,3000.0
Allston,Electrical,2026-07-27,Haskell St,12000.0
Allston,Electrical,2026-07-27,Brainerd Rd,4662.0
Allston,Deck/Porch,2026-07-27,Chester St,7500.0
Allston,HVAC,2026-07-25,N Beacon St,350000.0
Allston,Windows/Doors/Siding,2026-07-24,Kelton St,1784.0
Allston,Electrical,2026-07-24,Warren St,6000.0
Allston,HVAC,2026-07-23,Riverdale St,4812.25
Allston,Renovation/Remodel,2026-07-23,Brighton Av,3200.0
Allston,Electrical,2026-07-22,Coolidge Rd,9000.0
Allston,Renovation/Remodel,2026-07-22,Soldiers Field Rd,70000.0
Allston,Plumbing,2026-07-21,Adamson St,1500.0
Allston,Renovation/Remodel,2026-07-20,Harvard Av,61700.0
Allston,Plumbing,2026-07-18,Riverdale St,3000.0
Allston,Plumbing,2026-07-17,Franklin St,6000.0
Allston,Renovation/Remodel,2026-07-16,Western Av,100.0
Allston,Other,2026-07-15,N Harvard St,1.0
Allston,Electrical,2026-07-15,N Harvard St,1000.0
Allston,New Construction,2026-07-15,Western Av,4105.0
Allston,Electrical,2026-07-14,Imrie Rd,2270.0
Allston,Electrical,2026-07-14,Saunders St,2000.0
Allston,HVAC,2026-07-14,Haskell St,10000.0
Allston,Renovation/Remodel,2026-07-13,Harvard Av,5528.13
Allston,Windows/Doors/Siding,2026-07-13,Brighton Av,8769.0
Allston,Kitchen/Bath,2026-07-13,Prescott Pl,150000.0
Allston,Electrical,2026-07-13,Commonwealth Av,15000.0
Allston,Electrical,2026-07-13,Hopedale St,2200.0
Allston,HVAC,2026-07-10,Commonwealth Av,8000.0
Allston,Kitchen/Bath,2026-07-10,Haskell St,28000.0
Allston,Electrical,2026-07-10,Park Vale Av,1200.0
Allston,Other,2026-07-10,N Harvard St,4757.0
Allston,Roofing,2026-07-10,Brighton Av,3000.0
Allston,Electrical,2026-07-09,Warren St,5000.0
Allston,Electrical,2026-07-09,Warren St,120000.0
Allston,Electrical,2026-07-09,Warren St,30000.0
Allston,Electrical,2026-07-09,Everett Sq,10000.0
Allston,Addition,2026-07-09,Kelton St,464000.0
Allston,Electrical,2026-07-09,N Harvard St,5000.0
Allston,Plumbing,2026-07-09,Hopedale St,4500.0
Allston,Roofing,2026-07-08,Kelton St,1000.0
Allston,HVAC,2026-07-07,Allston St,9195.0
Allston,Kitchen/Bath,2026-07-07,Riverdale St,15000.0
Allston,Renovation/Remodel,2026-07-07,Riverdale St,
Allston,Electrical,2026-07-07,S Campus Dr,20000.0
Allston,Plumbing,2026-07-07,Chester St,20000.0
Allston,Electrical,2026-07-07,N Harvard St,1000.0
Allston,Electrical,2026-07-06,Holton St,5000.0
Allston,Roofing,2026-07-06,N Harvard St,105800.0
Allston,Electrical,2026-07-02,Harvard Av,15000.0
Allston,HVAC,2026-07-02,Raymond St,8000.0
Allston,New Construction,2026-07-02,Royal St,500000.0
Allston,Renovation/Remodel,2026-07-01,Brighton Av,11764.6
Allston,Electrical,2026-07-01,Harvard Av,100.0
Allston,Renovation/Remodel,2026-07-01,Kelton St,43660.0
Allston,Gas,2026-07-01,Brighton Av,7000.0
Allston,Plumbing,2026-07-01,Brighton Av,8000.0
Allston,Electrical,2026-06-30,Cambridge St,31800.0
Allston,Electrical,2026-06-30,Manton Te,1400.0
Allston,Electrical,2026-06-30,Royal St,15000.0
Allston,Electrical,2026-06-29,Warren St,48000.0
Allston,Plumbing,2026-06-29,Braintree St,590000.0
Allston,New Construction,2026-06-29,Empire St,500000.0
Allston,New Construction,2026-06-29,N Harvard St,13455.0
Allston,Plumbing,2026-06-29,Cambridge St,69500.0
Allston,New Construction,2026-06-29,N Harvard St,4967.0
Allston,Electrical,2026-06-29,Griggs Pl,2500.0
Allston,Renovation/Remodel,2026-06-26,Chester St,1.0
Allston,Renovation/Remodel,2026-06-26,Brighton Av,2000.0
Allston,HVAC,2026-06-26,Warren St,7800000.0
Allston,Other,2026-06-26,Wadsworth St,16141.79
Allston,Electrical,2026-06-26,Warren St,9520.0
Allston,HVAC,2026-06-25,Raymond St,8000.0
Allston,Gas,2026-06-25,Kelton St,1000.0
Allston,Electrical,2026-06-25,Western Av,5136.0
Allston,Kitchen/Bath,2026-06-25,Franklin St,20000.0
