town,trade,issued_date,street_masked,valuation
Avon,Renovation/Remodel,2026-08-14,Joanna Rd,
Avon,Gas,2026-08-14,Central St,
Avon,Electrical,2026-08-13,Highland St,
Avon,Renovation/Remodel,2026-08-13,Highland St,
Avon,Electrical,2026-08-13,Blanchard St,
Avon,Renovation/Remodel,2026-08-12,Oliver St,
Avon,Renovation/Remodel,2026-08-12,Foster St,
Avon,Plumbing,2026-08-11,Foster St,
Avon,Electrical,2026-08-11,Pond St,
Avon,Plumbing,2026-08-11,Feeley St,
Avon,Renovation/Remodel,2026-08-10,Hendricks St,
Avon,Gas,2026-08-10,Stockwell Dr,
Avon,Electrical,2026-08-06,Leo`S Ln,
Avon,Renovation/Remodel,2026-08-06,Page St,
Avon,Electrical,2026-08-06,Page St,
Avon,Electrical,2026-08-06,Pratt St,
Avon,Electrical,2026-08-06,Feeley St,
Avon,Electrical,2026-08-03,Feeley St,
Avon,HVAC,2026-08-03,Leo`S Ln,
Avon,Renovation/Remodel,2026-08-03,Leo`S Ln,
Avon,Electrical,2026-08-03,East Spring St,
Avon,Electrical,2026-07-31,Maple Ave,
Avon,Renovation/Remodel,2026-07-31,Maple Ave,
Avon,Renovation/Remodel,2026-07-31,East Main St,
Avon,Other,2026-07-30,Bodwell St,
Avon,Electrical,2026-07-29,Robbins St,
Avon,Electrical,2026-07-27,South St,
Avon,Electrical,2026-07-23,Bruce St,
Avon,Electrical,2026-07-23,East Main St,
Avon,Building,2026-07-22,Stockwell Dr,
Avon,Other,2026-07-22,Leo`S Ln,
Avon,Plumbing,2026-07-21,Joanna Rd,
Avon,Renovation/Remodel,2026-07-20,Joanna Rd,
Avon,Other,2026-07-20,Doherty Ave,
Avon,Electrical,2026-07-20,East Main St,
Avon,Plumbing,2026-07-20,Fellowship Cir,
Avon,Plumbing,2026-07-16,Pond St,
Avon,Gas,2026-07-16,East Main St,
Avon,Electrical,2026-07-16,East Spring St,
Avon,Renovation/Remodel,2026-07-14,Joanna Rd,
Avon,Gas,2026-07-14,Wales Ave,
Avon,Renovation/Remodel,2026-07-13,East Spring St,
Avon,Renovation/Remodel,2026-07-09,Porter St,
Avon,Renovation/Remodel,2026-07-09,Crane St,
Avon,Plumbing,2026-07-07,Mccoy St,
Avon,Renovation/Remodel,2026-07-06,Oliver St,
