town,trade,issued_date,street_masked,valuation
Boston,Plumbing,2026-09-22,Beacon St,1500.0
Boston,Electrical,2026-09-21,Newbury St,1500.0
Boston,Fire/Sprinkler,2026-09-21,Faneuil Hall Sq,86700.0
Boston,Renovation/Remodel,2026-09-21,Brookline Av,709450.0
Boston,Plumbing,2026-09-21,Atlantic Av,30000.0
Boston,Electrical,2026-09-21,Commonwealth Av,425975.0
Boston,Plumbing,2026-09-21,Commonwealth Av,40000.0
Boston,Roofing,2026-09-21,Commonwealth Av,10000.0
Boston,Electrical,2026-09-21,Commonwealth Av,447515.0
Boston,Electrical,2026-09-21,Summer St,11381.0
Boston,Plumbing,2026-09-21,Queensberry St,8000.0
Boston,Electrical,2026-09-21,Summer St,62000.0
Boston,HVAC,2026-09-21,Beacon St,1500000.0
Boston,Electrical,2026-09-21,Northern Av,65000.0
Boston,Plumbing,2026-09-21,Columbus Av,2500.0
Boston,Electrical,2026-09-21,Berkeley St,47250.0
Boston,Electrical,2026-09-21,Park Dr,125000.0
Boston,Electrical,2026-09-21,Beacon St,34720.0
Boston,Electrical,2026-09-21,Commonwealth Av,2000.0
Boston,Renovation/Remodel,2026-09-21,Commonwealth Av,22800.0
Boston,Renovation/Remodel,2026-09-21,Clarendon St,40000.0
Boston,Renovation/Remodel,2026-09-21,Marlborough St,4085.0
Boston,Renovation/Remodel,2026-09-21,Moon St,22000.0
Boston,Renovation/Remodel,2026-09-21,Franklin St,1986208.0
Boston,Electrical,2026-09-21,Washington St,35000.0
Boston,Electrical,2026-09-21,Summer St,15000.0
Boston,Electrical,2026-09-21,Oliver St,16000.0
Boston,Electrical,2026-09-21,Oliver St,110000.0
Boston,Electrical,2026-09-21,Beacon St,10500.0
Boston,Electrical,2026-09-21,Park Dr,84314.0
Boston,Electrical,2026-09-21,Phillips St,10310.0
Boston,Electrical,2026-09-21,Nashua St,9000.0
Boston,Plumbing,2026-09-21,River St,3000.0
Boston,Electrical,2026-09-21,Clarendon St,7750.0
Boston,Windows/Doors/Siding,2026-09-19,Berkeley St,252000.0
Boston,HVAC,2026-09-19,Federal St,12000000.0
Boston,Electrical,2026-09-19,Boylston St,150000.0
Boston,Plumbing,2026-09-19,Commercial St,4000.0
Boston,Plumbing,2026-09-18,Beacon St,50000.0
Boston,Gas,2026-09-18,Beacon St,4000.0
Boston,HVAC,2026-09-18,Mount Vernon St,30000.0
Boston,Plumbing,2026-09-18,Franklin St,68000.0
Boston,HVAC,2026-09-18,High St,795500.0
Boston,Renovation/Remodel,2026-09-18,Boylston St,530000.0
Boston,Plumbing,2026-09-18,Broad St,36000.0
Boston,Plumbing,2026-09-18,Brookline Av,5000.0
Boston,HVAC,2026-09-18,Huntington Av,410282.0
Boston,Renovation/Remodel,2026-09-18,Newbury St,5000.0
Boston,Demolition,2026-09-18,Autumn St,30000.0
Boston,Addition,2026-09-18,Dalton St,28000.0
Boston,HVAC,2026-09-18,Boston Wharf Rd,94030.0
Boston,Electrical,2026-09-18,Seaport Ln,5000.0
Boston,Electrical,2026-09-18,Babbitt St,15000.0
Boston,Electrical,2026-09-18,Babbitt St,4000.0
Boston,Sign/Awning,2026-09-18,Northern Av,152480.0
Boston,Electrical,2026-09-18,Queensberry St,12000.0
Boston,Kitchen/Bath,2026-09-18,Queensberry St,45000.0
Boston,Kitchen/Bath,2026-09-18,Queensberry St,16000.0
Boston,Kitchen/Bath,2026-09-18,Park Dr,16000.0
Boston,Plumbing,2026-09-17,Federal St,198000.0
Boston,Renovation/Remodel,2026-09-17,Commercial St,12111.61
Boston,HVAC,2026-09-17,Brookline Av,7133133.0
Boston,Renovation/Remodel,2026-09-17,Blackfan Ci,3017630.0
Boston,Renovation/Remodel,2026-09-17,Binney St,2322407.0
Boston,Renovation/Remodel,2026-09-17,Post Office Sq,5033000.0
Boston,HVAC,2026-09-17,Science Pk,31650.0
Boston,Electrical,2026-09-17,Boylston St,504.0
Boston,Electrical,2026-09-17,Devonshire St,283.5
Boston,Electrical,2026-09-17,Commonwealth Av,11000.0
Boston,Windows/Doors/Siding,2026-09-17,Warren Av,25400.0
Boston,Plumbing,2026-09-17,Bay State Rd,2000.0
Boston,Plumbing,2026-09-17,Powers Ct,1500.0
Boston,Plumbing,2026-09-17,Harbor St,10000.0
Boston,Plumbing,2026-09-17,Queensberry St,8600.0
Boston,Roofing,2026-09-17,Dartmouth St,265000.0
Boston,Plumbing,2026-09-17,Seaport Bl,1000.0
Boston,Demolition,2026-09-17,Boylston St,129645.0
Boston,Roofing,2026-09-17,Forsyth St,271373.0
Boston,Electrical,2026-09-17,Huntington Av,120000.0
Boston,Renovation/Remodel,2026-09-17,Atlantic Av,2336348.0
Boston,Electrical,2026-09-17,Oliver St,5000.0
Boston,Renovation/Remodel,2026-09-17,Congress St,200990.4
Boston,Electrical,2026-09-17,Commonwealth Av,9000.0
Boston,Electrical,2026-09-16,Babcock St,8000.0
Boston,Electrical,2026-09-16,Commonwealth Av,10000.0
Boston,Electrical,2026-09-16,Boylston St,27968.0
Boston,New Construction,2026-09-16,Atlantic Av,1775.0
Boston,Kitchen/Bath,2026-09-16,Chestnut St,107900.0
Boston,Demolition,2026-09-16,Berkeley St,491499.0
Boston,Addition,2026-09-16,Francis St,30000.0
Boston,Electrical,2026-09-16,Beverly St,150000.0
Boston,Gas,2026-09-16,Park Dr,200.0
Boston,Renovation/Remodel,2026-09-16,Beacon St,1088400.0
Boston,Demolition,2026-09-16,Federal St,4500.0
Boston,New Construction,2026-09-16,Salem St,2200.0
Boston,Plumbing,2026-09-16,Sleeper St,2000.0
Boston,Electrical,2026-09-16,Beacon St,2500.0
Boston,Building,2026-09-16,Huntington Av,84181.65
Boston,Electrical,2026-09-16,Boston Wharf Rd,18968.0
Boston,Electrical,2026-09-16,Federal St,26000.0
Boston,Renovation/Remodel,2026-09-16,Marlborough St,3757.5
Boston,Electrical,2026-09-16,Longwood Av,5250.0
Boston,Electrical,2026-09-16,Longwood Av,4620.0
Boston,Electrical,2026-09-16,Boylston St,23451.0
Boston,Roofing,2026-09-16,Essex St,100000.0
Boston,Demolition,2026-09-16,Atlantic Av,730000.0
Boston,Electrical,2026-09-16,Francis St,31800.0
Boston,Electrical,2026-09-16,Boylston St,30000.0
Boston,Electrical,2026-09-16,Blackfan Ci,79000.0
Boston,Fire/Sprinkler,2026-09-16,Boylston St,11800.0
Boston,Roofing,2026-09-16,Canal St,74300.0
Boston,Kitchen/Bath,2026-09-16,Queensberry St,45000.0
Boston,Electrical,2026-09-16,Beacon St,7000.0
Boston,Electrical,2026-09-16,Boylston St,20000.0
Boston,Renovation/Remodel,2026-09-16,Beacon St,381894.0
Boston,Electrical,2026-09-16,Post Office Sq,1000.0
Boston,Electrical,2026-09-16,Legends Wy,1200.0
Boston,Kitchen/Bath,2026-09-16,Park Dr,20000.0
Boston,Windows/Doors/Siding,2026-09-15,Beacon St,120000.0
Boston,Electrical,2026-09-15,Chandler St,87000.0
Boston,Roofing,2026-09-15,Edgerly Rd,200000.0
Boston,Roofing,2026-09-15,Edgerly Rd,135000.0
Boston,Roofing,2026-09-15,Burbank St,130000.0
Boston,Roofing,2026-09-15,Newbury St,24300.0
Boston,Electrical,2026-09-15,D St,15000.0
Boston,Renovation/Remodel,2026-09-15,Brookline Av,36688.0
Boston,HVAC,2026-09-15,Fruit St,1006000.0
Boston,Electrical,2026-09-15,Louisburg Sq,6500.0
Boston,Electrical,2026-09-15,Post Office Sq,94500.0
Boston,Electrical,2026-09-15,Atlantic Av,15000.0
Boston,Electrical,2026-09-15,Boylston St,103821.0
Boston,Electrical,2026-09-15,Longwood Av,19535.0
Boston,Demolition,2026-09-15,Fulton St,94550.0
Boston,Electrical,2026-09-15,Washington St,8000.0
Boston,New Construction,2026-09-15,Tremont St,15000.0
