town,trade,issued_date,street_masked,valuation
Boylston,Other,2026-09-11,Linden St,
Boylston,Electrical,2026-09-10,Morgan Circle,
Boylston,Roofing,2026-09-09,Columbus Rd,
Boylston,Electrical,2026-09-08,Jacobson Drive,
Boylston,Windows/Doors/Siding,2026-09-08,Bay Path Dr,
Boylston,Building,2026-09-08,Green St,18000.0
Boylston,Kitchen/Bath,2026-09-08,Central St,30771.0
Boylston,Other,2026-09-08,Stiles Rd,
Boylston,Gas,2026-09-03,Edgebrook Dr,
Boylston,Plumbing,2026-09-03,Morgan Circle,
Boylston,Plumbing,2026-09-03,Pendell Cir,
Boylston,Plumbing,2026-09-03,Melrose St,
Boylston,Electrical,2026-09-02,Ridgefield Cir,
Boylston,Electrical,2026-09-01,Central St,
Boylston,Electrical,2026-09-01,Shrewsbury St,
Boylston,Electrical,2026-09-01,Linden St,
Boylston,Kitchen/Bath,2026-09-01,Morgan Circle,38158.0
Boylston,Windows/Doors/Siding,2026-09-01,Cross St,
Boylston,Roofing,2026-09-01,Edgebrook Dr,111265.0
Boylston,Electrical,2026-08-31,Main St,
Boylston,Plumbing,2026-08-27,Main St,
Boylston,Gas,2026-08-27,Edgebrook Dr,
Boylston,Roofing,2026-08-26,Edgebrook Dr,73805.0
Boylston,Roofing,2026-08-25,Adams St,
Boylston,Electrical,2026-08-24,Nicholas Ave,
Boylston,Deck/Porch,2026-08-24,Birchwood Dr,3500.0
Boylston,Roofing,2026-08-24,Cross St,54480.0
Boylston,Plumbing,2026-08-20,School St,
Boylston,Windows/Doors/Siding,2026-08-20,Diamond Hill Ave,7776.0
Boylston,Plumbing,2026-08-20,Mill Rd,
Boylston,HVAC,2026-08-20,Shrewsbury St,
Boylston,Windows/Doors/Siding,2026-08-20,Adams St,
Boylston,Electrical,2026-08-19,Hillside Ave,
Boylston,Roofing,2026-08-18,Main St,
Boylston,Windows/Doors/Siding,2026-08-18,Cross St,
Boylston,HVAC,2026-08-17,Shrewsbury St,
Boylston,Electrical,2026-08-17,Shrewsbury St,
Boylston,Windows/Doors/Siding,2026-08-17,Edgebrook Dr,
