town,trade,issued_date,street_masked,valuation
Braintree,Plumbing,2026-09-09,Matthew Lane,
Braintree,Electrical,2026-09-09,Hobart Street,
Braintree,Renovation/Remodel,2026-09-09,Pleasant View Avenue,
Braintree,Electrical,2026-09-09,Fairmount Avenue,
Braintree,Electrical,2026-09-09,Maplewood Terrace,
Braintree,Plumbing,2026-09-09,West Street,
Braintree,Plumbing,2026-09-09,Middle Street,
Braintree,Renovation/Remodel,2026-09-09,Walnut Street,
Braintree,Renovation/Remodel,2026-09-08,Mount Vernon Avenue,
Braintree,Electrical,2026-09-08,Skyline Drive,
Braintree,Renovation/Remodel,2026-09-08,Matthew Lane,
Braintree,Gas,2026-09-08,Liberty Street,
Braintree,Plumbing,2026-09-08,Commerce Drive,
Braintree,Plumbing,2026-09-08,Liberty Street,
Braintree,Gas,2026-09-08,Union Street,
Braintree,HVAC,2026-09-08,Union Street,
Braintree,Renovation/Remodel,2026-09-08,Hannah Niles Way,
Braintree,Renovation/Remodel,2026-09-08,Maplewood Terrace,
Braintree,Renovation/Remodel,2026-09-08,Allen Street,
Braintree,Renovation/Remodel,2026-09-08,Tilden Commons Lane,
Braintree,Building,2026-09-08,Washington Street,
Braintree,Gas,2026-09-08,Commerce Drive,
Braintree,Renovation/Remodel,2026-09-08,Connelly Circle,
Braintree,Electrical,2026-09-08,Hawthorn Road,
Braintree,Renovation/Remodel,2026-09-08,Elm Street,
Braintree,HVAC,2026-09-08,Pond Street,
Braintree,Gas,2026-09-08,Middle Street,
Braintree,Renovation/Remodel,2026-09-04,Harding Avenue,
Braintree,HVAC,2026-09-04,Building Units Though John W Mahar Highway,
Braintree,Renovation/Remodel,2026-09-04,Baker Avenue,
Braintree,Electrical,2026-09-04,Skyline Drive,
Braintree,Plumbing,2026-09-04,Wilkins Road,
Braintree,Electrical,2026-09-04,Town Street,
Braintree,Electrical,2026-09-04,Wildwood Avenue,
Braintree,Plumbing,2026-09-04,Granite Street,
Braintree,Renovation/Remodel,2026-09-04,Watson Street,
Braintree,Renovation/Remodel,2026-09-04,Liberty Street,
Braintree,Electrical,2026-09-04,Wood Road,
Braintree,HVAC,2026-09-04,Union Street,
Braintree,Renovation/Remodel,2026-09-04,Union Street,
Braintree,HVAC,2026-09-04,Beech Street,
Braintree,Electrical,2026-09-04,Hobart Street,
Braintree,Plumbing,2026-09-04,Parkside Avenue,
Braintree,Electrical,2026-09-03,Hancock Street,
Braintree,Renovation/Remodel,2026-09-03,Selwyn Road,
Braintree,Electrical,2026-09-03,Waldron Road,
Braintree,Plumbing,2026-09-03,Skyline Dr,
Braintree,Renovation/Remodel,2026-09-03,Hillcrest Road,
Braintree,Electrical,2026-09-03,Fairmount Avenue,
Braintree,Electrical,2026-09-03,West Street,
Braintree,Plumbing,2026-09-03,Forest Street,
Braintree,Renovation/Remodel,2026-09-03,Autumn Street,
Braintree,Gas,2026-09-03,Forest Street,
Braintree,Electrical,2026-09-03,Matthew Lane,
Braintree,Plumbing,2026-09-03,Liberty Street,
Braintree,Gas,2026-09-03,Liberty Street,
Braintree,Renovation/Remodel,2026-09-03,Independence Avenue,
Braintree,Renovation/Remodel,2026-09-03,Robert Street,
Braintree,Plumbing,2026-09-02,Mount Vernon Avenue,
Braintree,Other,2026-09-02,Washington Street,
Braintree,Electrical,2026-09-02,Longwood Road,
Braintree,Electrical,2026-09-02,Granite Street,
Braintree,Other,2026-09-02,Pond Street,
Braintree,Plumbing,2026-09-02,Independence Avenue,
Braintree,Plumbing,2026-09-02,Mann Street,
Braintree,Building,2026-09-01,River St,
Braintree,Renovation/Remodel,2026-09-01,Bowditch Street,
Braintree,Renovation/Remodel,2026-09-01,Whittier Road,
Braintree,Renovation/Remodel,2026-09-01,Graziano Drive,
Braintree,Electrical,2026-09-01,Azel Road,
Braintree,Renovation/Remodel,2026-09-01,Ivory Street,
Braintree,Renovation/Remodel,2026-09-01,Hingston Circle,
Braintree,Plumbing,2026-09-01,Skyline Dr,
Braintree,Renovation/Remodel,2026-09-01,Bradford Commons Lane,
Braintree,Renovation/Remodel,2026-09-01,Old Coach Road,
Braintree,Plumbing,2026-08-31,Cabot Avenue,
Braintree,Plumbing,2026-08-31,Francine Road,
Braintree,Building,2026-08-31,Franklin Street,
Braintree,Plumbing,2026-08-31,Willow Street,
Braintree,Plumbing,2026-08-31,West Street,
Braintree,Building,2026-08-31,Granite Street,
Braintree,Electrical,2026-08-31,Talbot Road,
Braintree,Renovation/Remodel,2026-08-28,Washington Street,
Braintree,HVAC,2026-08-28,Hobart Avenue,
Braintree,Plumbing,2026-08-28,Dobson Road,
Braintree,Gas,2026-08-28,West Street,
Braintree,Other,2026-08-28,Granite Street,
Braintree,Renovation/Remodel,2026-08-28,Connell Street,
Braintree,Electrical,2026-08-28,Granite Street,
Braintree,Plumbing,2026-08-28,Hobart Street,
Braintree,Electrical,2026-08-28,Hayward Street,
Braintree,HVAC,2026-08-28,Quincy Avenue,
Braintree,HVAC,2026-08-27,Dobson Road,
Braintree,Plumbing,2026-08-27,Wildwood Ave,
Braintree,Electrical,2026-08-27,Skyline Drive,
Braintree,Renovation/Remodel,2026-08-27,Edgehill Road,
Braintree,Electrical,2026-08-27,Hobart Avenue,
Braintree,Renovation/Remodel,2026-08-27,Jefferson Street,
Braintree,Gas,2026-08-27,Liberty Street,
Braintree,Building,2026-08-27,Union Street,
Braintree,Electrical,2026-08-27,Spring Street,
Braintree,Gas,2026-08-27,Wildwood Ave,
Braintree,Electrical,2026-08-27,Granite Street,
Braintree,Renovation/Remodel,2026-08-26,Fairmount Avenue,
Braintree,Plumbing,2026-08-26,Union Street,
Braintree,Renovation/Remodel,2026-08-26,Graziano Drive,
Braintree,Plumbing,2026-08-26,Fairmount Avenue,
Braintree,Plumbing,2026-08-26,Skyline Dr,
Braintree,Plumbing,2026-08-26,Hedlund Avenue,
Braintree,Renovation/Remodel,2026-08-26,Teaberry Lane,
Braintree,Renovation/Remodel,2026-08-25,Old Country Way,
Braintree,Plumbing,2026-08-25,Marjorie Road,
Braintree,Renovation/Remodel,2026-08-25,Grace Road,
Braintree,Gas,2026-08-25,Sun Valley Drive,
Braintree,Building,2026-08-25,Royal Lake Drive,
Braintree,Gas,2026-08-25,Columbus Avenue,
Braintree,Plumbing,2026-08-25,Oak Street,
Braintree,Renovation/Remodel,2026-08-25,Old Carriage Lane,
Braintree,Plumbing,2026-08-25,Union Street,
Braintree,Gas,2026-08-25,Union Street,
Braintree,HVAC,2026-08-25,Blossom Road,
Braintree,Gas,2026-08-25,Grove Street,
Braintree,Renovation/Remodel,2026-08-25,Spring Street,
Braintree,Renovation/Remodel,2026-08-25,Hickory Road,
Braintree,Renovation/Remodel,2026-08-25,Arthur Street,
Braintree,Building,2026-08-25,Grove Street,
