town,trade,issued_date,street_masked,valuation
Brighton,Windows/Doors/Siding,2026-08-28,Radnor Rd,50000.0
Brighton,Gas,2026-08-28,Donnybrook Rd,1200.0
Brighton,Electrical,2026-08-28,Beacon St,2500.0
Brighton,HVAC,2026-08-28,Commonwealth Av,1000.0
Brighton,Roofing,2026-08-28,Commonwealth Ct,151060.0
Brighton,Windows/Doors/Siding,2026-08-28,Seager Ct,4238.0
Brighton,Other,2026-08-28,Kilsyth Rd,99160.0
Brighton,Electrical,2026-08-28,Antwerp St,12000.0
Brighton,Roofing,2026-08-28,Washington St,19500.0
Brighton,Electrical,2026-08-27,Antwerp St,25000.0
Brighton,Electrical,2026-08-27,Bothwell Rd,5000.0
Brighton,Other,2026-08-27,Sutherland Rd,100000.0
Brighton,Kitchen/Bath,2026-08-27,Etna St,30000.0
Brighton,Renovation/Remodel,2026-08-27,Warren St,80000.0
Brighton,Electrical,2026-08-27,Newton St,500.0
Brighton,Electrical,2026-08-27,Perthshire Rd,40000.0
Brighton,New Construction,2026-08-27,Beacon St,4005.0
Brighton,New Construction,2026-08-27,Saint Thomas More Rd,770.0
Brighton,Electrical,2026-08-26,Larch St,1100.0
Brighton,Kitchen/Bath,2026-08-26,Market St,43500.0
Brighton,Sign/Awning,2026-08-25,Guest St,142241.0
Brighton,Electrical,2026-08-25,Washington St,1800.0
Brighton,Electrical,2026-08-25,South St,4000.0
Brighton,Electrical,2026-08-25,Beacon St,100000.0
Brighton,Roofing,2026-08-25,Sutherland Rd,44604.0
Brighton,Electrical,2026-08-25,Beacon St,40000.0
Brighton,Electrical,2026-08-24,Litchfield St,1500.0
Brighton,Roofing,2026-08-24,Union St,13000.0
Brighton,Renovation/Remodel,2026-08-24,Washington St,3800.0
Brighton,Electrical,2026-08-24,Nonantum St,37000.0
Brighton,New Construction,2026-08-24,Lake St,2500.0
Brighton,Electrical,2026-08-24,Dighton St,8000.0
Brighton,Deck/Porch,2026-08-24,Murdock St,4600.0
Brighton,Electrical,2026-08-21,Lane Pk,3000.0
Brighton,HVAC,2026-08-21,Warren St,75000.0
Brighton,Electrical,2026-08-21,Western Av,15000.0
Brighton,Windows/Doors/Siding,2026-08-20,Guest St,16224.13
Brighton,Deck/Porch,2026-08-20,Commonwealth Av,15300.0
Brighton,Plumbing,2026-08-20,Commonwealth Av,3500.0
Brighton,Roofing,2026-08-20,Chestnut Hill Av,123640.0
Brighton,Roofing,2026-08-20,Colwell Av,22500.0
Brighton,Windows/Doors/Siding,2026-08-20,Argus Pl,12475.0
Brighton,Electrical,2026-08-19,Chestnut Hill Av,21500.0
Brighton,Electrical,2026-08-19,Chestnut Hill Av,6500.0
Brighton,Electrical,2026-08-19,Academy Hill Rd,8500.0
Brighton,Solar,2026-08-19,Bothwell Rd,21612.5
Brighton,Plumbing,2026-08-19,Newton St,15257.93
Brighton,Other,2026-08-19,Newcastle Rd,6158.54
Brighton,New Construction,2026-08-19,Beacon St,3090.15
Brighton,Other,2026-08-19,Kenrick St,3319.0
Brighton,Deck/Porch,2026-08-19,Bennett St,45000.0
Brighton,Electrical,2026-08-18,Beacon St,18000.0
Brighton,Renovation/Remodel,2026-08-18,Chestnut Hill Av,103440.0
Brighton,HVAC,2026-08-18,Monastery Rd,5000.0
Brighton,Renovation/Remodel,2026-08-18,Chestnut Hill Av,12000.0
Brighton,Roofing,2026-08-18,Goodenough St,10000.0
Brighton,Renovation/Remodel,2026-08-17,Undine Rd,98340.0
Brighton,Deck/Porch,2026-08-17,Murdock St,23800.0
Brighton,New Construction,2026-08-17,Charlesview St,32800.0
Brighton,Plumbing,2026-08-17,Donnybrook Rd,4500.0
Brighton,Gas,2026-08-15,Commonwealth Av,400.0
Brighton,Electrical,2026-08-14,Dighton St,3000.0
Brighton,HVAC,2026-08-14,Dighton St,30000.0
Brighton,Electrical,2026-08-14,Corey Rd,4720.0
Brighton,Electrical,2026-08-14,Champney St,1500.0
Brighton,New Construction,2026-08-14,Beacon St,4686.5
Brighton,Renovation/Remodel,2026-08-13,Etna St,83450.0
Brighton,Renovation/Remodel,2026-08-13,Chiswick Rd,754085.0
Brighton,Windows/Doors/Siding,2026-08-13,Argus Pl,17935.0
Brighton,Electrical,2026-08-12,Litchfield St,87000.0
Brighton,Windows/Doors/Siding,2026-08-12,Kirkwood Rd,18000.0
Brighton,Electrical,2026-08-12,Washington St,1200.0
Brighton,Electrical,2026-08-12,Guest St,1000.0
Brighton,Kitchen/Bath,2026-08-12,Larch St,86657.0
Brighton,Plumbing,2026-08-11,Commonwealth Av,15000.0
Brighton,Electrical,2026-08-11,Shepard St,5000.0
Brighton,Electrical,2026-08-11,Oliva Rd,18000.0
Brighton,Kitchen/Bath,2026-08-11,Sutherland Rd,338037.74
Brighton,Renovation/Remodel,2026-08-10,Cresthill Rd,70000.0
Brighton,Solar,2026-08-10,Lincoln St,30162.57
Brighton,Gas,2026-08-07,Soldiers Field Rd,
Brighton,Renovation/Remodel,2026-08-07,Beacon St,9784.56
Brighton,Other,2026-08-07,Shannon St,10200.36
Brighton,Plumbing,2026-08-07,Commonwealth Av,2000.0
Brighton,Renovation/Remodel,2026-08-07,Bothwell Rd,25380.0
Brighton,Renovation/Remodel,2026-08-07,Lanark Rd,4342.0
Brighton,Fire/Sprinkler,2026-08-07,Warren St,54910.0
Brighton,Gas,2026-08-07,Washington St,5500.0
Brighton,Plumbing,2026-08-06,Chestnut Hill Av,800.0
Brighton,Plumbing,2026-08-05,Washington St,1895.0
Brighton,HVAC,2026-08-05,Oak Square Av,
Brighton,Plumbing,2026-08-04,Dighton St,12000.0
Brighton,Plumbing,2026-08-04,Bennett St,950.0
Brighton,Gas,2026-08-04,Beacon St,5000.0
Brighton,Plumbing,2026-08-04,Corey Rd,1500.0
Brighton,Electrical,2026-08-04,Brooks St,4000.0
Brighton,Electrical,2026-08-04,Surrey St,4000.0
Brighton,Electrical,2026-08-04,Orkney Rd,49000.0
Brighton,HVAC,2026-08-04,Sutherland Rd,6000.0
Brighton,Electrical,2026-08-04,Leicester St,2500.0
Brighton,HVAC,2026-08-04,Warren St,62000.0
Brighton,Other,2026-08-04,Parsons St,7421.52
Brighton,Windows/Doors/Siding,2026-08-04,Hobart St,4041.0
Brighton,Electrical,2026-08-03,Kirkwood Rd,5.0
Brighton,Electrical,2026-08-03,Kenrick St,500.0
Brighton,Kitchen/Bath,2026-08-03,Justin Rd,12000.0
Brighton,Deck/Porch,2026-08-03,Newton St,3000.0
Brighton,Kitchen/Bath,2026-08-03,South St,206050.0
Brighton,Kitchen/Bath,2026-08-03,S Crescent Cc,43800.0
Brighton,New Construction,2026-08-03,Commonwealth Av,1776.75
Brighton,Other,2026-08-03,Cypress Rd,22120.0
Brighton,Electrical,2026-07-31,Perthshire Rd,2000.0
Brighton,Gas,2026-07-31,Oak Square Av,1000.0
Brighton,Gas,2026-07-31,Brooks St,500.0
Brighton,HVAC,2026-07-31,Henshaw St,5000.0
Brighton,Plumbing,2026-07-31,Cambridge St,5000.0
Brighton,Roofing,2026-07-31,Falkland St,10646.94
Brighton,Other,2026-07-31,Soldiers Field Rd,33586.75
Brighton,HVAC,2026-07-31,Kenrick St,1200.0
Brighton,Electrical,2026-07-31,Rogers Park Av,500.0
Brighton,HVAC,2026-07-31,Warren St,500000.0
Brighton,Electrical,2026-07-31,Undine Rd,58000.0
Brighton,HVAC,2026-07-30,Kenrick St,18000.0
Brighton,HVAC,2026-07-30,Washington St,1500.0
Brighton,Electrical,2026-07-30,Corey Rd,2500.0
Brighton,Gas,2026-07-30,Dighton St,400.0
Brighton,HVAC,2026-07-30,Brooks St,2500.0
Brighton,Other,2026-07-30,Soldiers Field Rd,26986.0
Brighton,Other,2026-07-30,Kirkwood Rd,6567.44
Brighton,Plumbing,2026-07-29,Brooks St,1500.0
Brighton,Kitchen/Bath,2026-07-29,Dighton St,70000.0
Brighton,Roofing,2026-07-29,Foster St,21000.0
Brighton,Plumbing,2026-07-29,Dighton St,7200.0
Brighton,Plumbing,2026-07-28,Beacon St,2500.0
Brighton,Plumbing,2026-07-28,Donnybrook Rd,5500.0
Brighton,Renovation/Remodel,2026-07-28,Lane Pk,35800.0
Brighton,Electrical,2026-07-28,Colliston Rd,4150.0
Brighton,Other,2026-07-28,Henshaw St,3000.0
Brighton,Electrical,2026-07-28,Tip Top St,13000.0
Brighton,Fire/Sprinkler,2026-07-27,Cambridge St,1200.0
Brighton,Roofing,2026-07-27,Bennett St,20675.0
Brighton,Renovation/Remodel,2026-07-27,Nottinghill Rd,269000.0
Brighton,Electrical,2026-07-27,Guest St,7000.0
Brighton,Roofing,2026-07-24,Bothwell Rd,15000.0
Brighton,Roofing,2026-07-24,Dickinson Rd,16431.0
Brighton,Solar,2026-07-24,Woodstock Av,26359.0
Brighton,Demolition,2026-07-24,Brooks St,12000.0
Brighton,Roofing,2026-07-24,Perthshire Rd,14000.0
Brighton,Renovation/Remodel,2026-07-23,Market St,30000.0
Brighton,Solar,2026-07-23,Arlington St,4550.0
Brighton,Plumbing,2026-07-23,Washington St,28000.0
Brighton,Renovation/Remodel,2026-07-23,Shannon St,17500.0
Brighton,Plumbing,2026-07-23,Westminster Te,10000.0
Brighton,Electrical,2026-07-22,Cambridge St,90400.0
Brighton,Plumbing,2026-07-21,Orkney Rd,35000.0
Brighton,Plumbing,2026-07-21,Orkney Rd,8000.0
Brighton,Renovation/Remodel,2026-07-21,Corey Rd,10800.0
Brighton,Electrical,2026-07-21,Wiltshire Rd,9000.0
Brighton,Gas,2026-07-21,Beacon St,750.0
Brighton,Plumbing,2026-07-21,Beacon St,7000.0
Brighton,Plumbing,2026-07-21,School St,4000.0
Brighton,Renovation/Remodel,2026-07-21,Shannon St,
Brighton,Other,2026-07-21,Nottinghill Rd,13036.27
Brighton,Windows/Doors/Siding,2026-07-21,Colliston Rd,12996.0
Brighton,Renovation/Remodel,2026-07-21,Antwerp St,33950.0
Brighton,Roofing,2026-07-21,Westminster Te,37501.0
Brighton,Roofing,2026-07-21,Brooks St,23122.5
Brighton,Gas,2026-07-21,Gordon St,200.0
Brighton,Kitchen/Bath,2026-07-21,Brooks St,
Brighton,HVAC,2026-07-20,Chestnut Hill Av,317185.0
Brighton,Roofing,2026-07-20,Parsons St,7000.0
Brighton,Electrical,2026-07-20,Sparhawk St,9000.0
Brighton,HVAC,2026-07-17,Kenrick St,107000.0
Brighton,HVAC,2026-07-17,N Beacon St,2500.0
Brighton,Plumbing,2026-07-17,N Beacon St,5000.0
Brighton,Windows/Doors/Siding,2026-07-17,Bigelow St,8022.0
Brighton,Gas,2026-07-17,Monastery Rd,200.0
Brighton,New Construction,2026-07-17,Bothwell Rd,867075.0
Brighton,Electrical,2026-07-17,Nottinghill Rd,10000.0
Brighton,Electrical,2026-07-17,Guest St,20199.0
Brighton,Plumbing,2026-07-17,Warren St,5000.0
Brighton,Electrical,2026-07-17,Cambridge St,28000.0
Brighton,Electrical,2026-07-16,Donnybrook Rd,14000.0
Brighton,Electrical,2026-07-16,Donnybrook Rd,1800.0
Brighton,Kitchen/Bath,2026-07-16,South St,110000.0
Brighton,Renovation/Remodel,2026-07-16,Lyne Rd,56000.0
Brighton,HVAC,2026-07-16,Faneuil St,14850.0
Brighton,Windows/Doors/Siding,2026-07-15,Chiswick Rd,13495.0
Brighton,Plumbing,2026-07-15,Washington St,1895.0
Brighton,Electrical,2026-07-14,Kenrick St,5000.0
Brighton,Electrical,2026-07-14,Saint Thomas More Rd,435000.0
Brighton,Electrical,2026-07-14,Leo M Birmingham Pw,2500.0
Brighton,Renovation/Remodel,2026-07-14,Hichborn St,98000.0
Brighton,Electrical,2026-07-13,Lane Pk,6000.0
Brighton,Electrical,2026-07-13,Washington St,110000.0
Brighton,Electrical,2026-07-13,Washington St,68000.0
Brighton,Roofing,2026-07-13,Parsons St,24900.0
Brighton,Kitchen/Bath,2026-07-13,Lake St,58100.0
Brighton,Plumbing,2026-07-10,Rushmore St,10600.0
Brighton,Kitchen/Bath,2026-07-09,Larose Pl,10000.0
Brighton,Gas,2026-07-09,Kenrick St,500.0
Brighton,Plumbing,2026-07-09,Kenrick St,6000.0
Brighton,Electrical,2026-07-09,Arlington St,1500.0
Brighton,New Construction,2026-07-09,Perthshire Rd,600000.0
Brighton,New Construction,2026-07-09,Perthshire Rd,1100000.0
Brighton,Windows/Doors/Siding,2026-07-09,Dickinson Rd,4828.01
Brighton,Roofing,2026-07-09,Englewood Av,5750.0
Brighton,Plumbing,2026-07-09,Hobson St,10000.0
Brighton,Electrical,2026-07-09,Undine Rd,4000.0
Brighton,Deck/Porch,2026-07-09,Brooks St,14500.0
Brighton,Electrical,2026-07-09,Parsons St,11000.0
Brighton,Windows/Doors/Siding,2026-07-09,Etna St,8500.0
Brighton,Roofing,2026-07-08,Kelley Ct,10305.0
Brighton,Electrical,2026-07-08,Sutherland Rd,38000.0
Brighton,HVAC,2026-07-08,Westminster Te,8500.0
Brighton,Windows/Doors/Siding,2026-07-08,Murdock St,21000.0
Brighton,Gas,2026-07-08,Lake Shore Rd,250.0
Brighton,Gas,2026-07-08,Wiltshire Rd,500.0
Brighton,Electrical,2026-07-08,Lake Shore Rd,6000.0
Brighton,Plumbing,2026-07-08,Wallingford Rd,1500.0
Brighton,Electrical,2026-07-08,Lake St,1935.91
Brighton,Electrical,2026-07-08,Falkland St,1500.0
Brighton,Electrical,2026-07-08,Kenrick St,6000.0
Brighton,Electrical,2026-07-07,Beacon St,3869.0
Brighton,Electrical,2026-07-07,Beacon St,35662.0
Brighton,Renovation/Remodel,2026-07-07,Guest St,6000.0
Brighton,Electrical,2026-07-07,Colliston Rd,10000.0
Brighton,Electrical,2026-07-07,Tip Top St,70.0
Brighton,Electrical,2026-07-06,Parsons St,11000.0
Brighton,Plumbing,2026-07-06,Academy Hill Rd,2000.0
Brighton,Kitchen/Bath,2026-07-06,Donnybrook Rd,20000.0
