town,trade,issued_date,street_masked,valuation
Cambridge,Roofing,2026-09-10,Winter Street,420000.0
Cambridge,Roofing,2026-09-09,"Mt Pleasant St, Unit",40250.0
Cambridge,Building,2026-09-09,"Rindge Ave, Unit",1609.04
Cambridge,Building,2026-09-09,William St,5481.58
Cambridge,Windows/Doors/Siding,2026-09-09,Grant St,4000.0
Cambridge,Kitchen/Bath,2026-09-09,"Cambridge St, Unit",163000.0
Cambridge,Windows/Doors/Siding,2026-09-09,Essex St,473240.0
Cambridge,Windows/Doors/Siding,2026-09-09,"Porter Rd, Unit",14518.0
Cambridge,Windows/Doors/Siding,2026-09-09,"Sargent St, Unit",6500.0
Cambridge,Electrical,2026-09-09,Hilliard St,85000.0
Cambridge,Demolition,2026-09-09,Porter St,15000.0
Cambridge,Electrical,2026-09-09,Canal Pk,113250.0
Cambridge,Electrical,2026-09-09,"Harvard St, Unit",5000.0
Cambridge,Electrical,2026-09-09,"Concord Ave, Unit",750.0
Cambridge,Electrical,2026-09-09,Putnam Ave,2000.0
Cambridge,Electrical,2026-09-09,"Concord Ave, Unit",1000.0
Cambridge,Roofing,2026-09-09,Bent St,10000.0
Cambridge,Electrical,2026-09-09,Inman St,68000.0
Cambridge,HVAC,2026-09-09,Fairmont St,17000.0
Cambridge,Electrical,2026-09-09,"Pleasant St, Unit",5880.0
Cambridge,Electrical,2026-09-09,Main St,55000.0
Cambridge,Plumbing,2026-09-09,Hawthorne Pk,
Cambridge,Plumbing,2026-09-09,Upland Rd,
Cambridge,Plumbing,2026-09-09,Massachusetts Ave,
Cambridge,Gas,2026-09-09,Upland Rd,
Cambridge,Gas,2026-09-09,Hawthorne Pk,
Cambridge,HVAC,2026-09-09,Appleton St,
Cambridge,HVAC,2026-09-09,Appleton St,278504.0
Cambridge,HVAC,2026-09-09,Massachusetts Ave,35000.0
Cambridge,Roofing,2026-09-09,Memorial Dr,400000.0
Cambridge,Fire/Sprinkler,2026-09-09,Grove St,
Cambridge,Fire/Sprinkler,2026-09-09,Alewife Pk,
Cambridge,Roofing,2026-09-09,Washington Ave,183500.0
Cambridge,Roofing,2026-09-09,"Lexington Ave, Unit",21825.0
Cambridge,Asbestos,2026-09-09,Cambridge St,4750.0
Cambridge,Addition,2026-09-08,Binney St,499479.0
Cambridge,Roofing,2026-09-08,"Pearl St, Unit",18458.0
Cambridge,Addition,2026-09-08,Child St,348696.0
Cambridge,Roofing,2026-09-08,"Highland Ave, Unit",23400.0
Cambridge,Windows/Doors/Siding,2026-09-08,Franklin St,65000.0
Cambridge,Kitchen/Bath,2026-09-08,"Massachusetts Ave, Unit",82416.4
Cambridge,Building,2026-09-08,Holyoke Pl,43008.68
Cambridge,Electrical,2026-09-08,"One Kendall Square Complex, Unit",10000.0
Cambridge,Electrical,2026-09-08,Banks St,2000.0
Cambridge,Electrical,2026-09-08,Farwell Pl,7000.0
Cambridge,Electrical,2026-09-08,Lakeview Ave,2500.0
Cambridge,Plumbing,2026-09-08,Elm St,
Cambridge,Plumbing,2026-09-08,Hutchinson St,
Cambridge,Plumbing,2026-09-08,Coolidge Hill,
Cambridge,Plumbing,2026-09-08,Alewife Pk,
Cambridge,Gas,2026-09-08,Coolidge Hill,
Cambridge,Gas,2026-09-08,Brattle St,
Cambridge,Gas,2026-09-08,Putnam Ave,
Cambridge,Gas,2026-09-08,"Shepard St, Unit",
Cambridge,HVAC,2026-09-08,Technology Sq,
Cambridge,HVAC,2026-09-08,Broadway,
Cambridge,HVAC,2026-09-08,"Trowbridge St, Unit",30000.0
Cambridge,Fire/Sprinkler,2026-09-08,Roberts Rd,
Cambridge,Fire/Sprinkler,2026-09-08,Memorial Dr,
Cambridge,Roofing,2026-09-08,Elmwood Ave,89500.0
Cambridge,HVAC,2026-09-06,Meacham Rd,1000.0
Cambridge,Electrical,2026-09-05,Cushing St,500.0
Cambridge,HVAC,2026-09-04,Mifflin Pl,840000.0
Cambridge,Addition,2026-09-04,Main St,1611751.47
Cambridge,Windows/Doors/Siding,2026-09-04,Kirkland St,75355.46
Cambridge,Windows/Doors/Siding,2026-09-04,Ellery St,20252.0
Cambridge,New Construction,2026-09-04,Kinnaird St,1.0
Cambridge,New Construction,2026-09-04,Kinnaird St,30000.0
Cambridge,Electrical,2026-09-04,Upland Rd,600.0
Cambridge,Electrical,2026-09-04,Forest St,200000.0
Cambridge,Roofing,2026-09-04,Binney St,18000.0
Cambridge,Electrical,2026-09-04,Washington St,40000.0
Cambridge,Electrical,2026-09-04,Coolidge Hill Rd,5000.0
Cambridge,Electrical,2026-09-04,"Dudley St, Unit",11.3
Cambridge,Solar,2026-09-04,Grozier Rd,499.0
Cambridge,Electrical,2026-09-04,Hurlbut St,1500.0
Cambridge,HVAC,2026-09-04,Jackson St,332.0
Cambridge,Plumbing,2026-09-04,Third St,
Cambridge,Plumbing,2026-09-04,Locke St,
Cambridge,Plumbing,2026-09-04,Oxford Ave,
Cambridge,Plumbing,2026-09-04,Kinnaird St,
Cambridge,Plumbing,2026-09-04,"Cherry St, Unit",
Cambridge,Plumbing,2026-09-04,"Massachusetts Ave, Unit",
Cambridge,Plumbing,2026-09-04,"Kinnaird St, Unit",
Cambridge,Plumbing,2026-09-04,Jackson St,
Cambridge,Gas,2026-09-04,Gold Star Rd,
Cambridge,Gas,2026-09-04,"Cherry St, Unit",
Cambridge,HVAC,2026-09-04,"Cherry St, Unit",
Cambridge,HVAC,2026-09-04,Land Blvd,
Cambridge,HVAC,2026-09-04,Jay St,18000.0
Cambridge,Fire/Sprinkler,2026-09-04,"Brattle Sq, Unit",
Cambridge,Fire/Sprinkler,2026-09-04,Fairmont St,
Cambridge,Fire/Sprinkler,2026-09-04,Broadway,
Cambridge,Roofing,2026-09-04,Western Ave,38000.0
Cambridge,Roofing,2026-09-04,Norumbega St,39471.0
Cambridge,New Construction,2026-09-04,Sidney St,2700.0
Cambridge,Addition,2026-09-03,Massachusetts Ave,2515115.13
Cambridge,Deck/Porch,2026-09-03,Broadway,40800.0
Cambridge,Addition,2026-09-03,Main St,224132.4
Cambridge,Addition,2026-09-03,Technology Sq,4929487.0
Cambridge,Addition,2026-09-03,Technology Sq,64380.0
Cambridge,Addition,2026-09-03,Broadway,456860.0
Cambridge,Addition,2026-09-03,Binney St,161594.0
Cambridge,Kitchen/Bath,2026-09-03,"Cambridge Pkwy, Unit",240000.0
Cambridge,Deck/Porch,2026-09-03,Orrin St,6975.0
Cambridge,Kitchen/Bath,2026-09-03,"Broadway, Unit",38975.0
Cambridge,Kitchen/Bath,2026-09-03,"Cambridge St, Unit",96000.0
Cambridge,Renovation/Remodel,2026-09-03,Tremont St,144500.0
Cambridge,Building,2026-09-03,Garfield St,6000.0
Cambridge,Building,2026-09-03,Berkeley Pl,7300.0
Cambridge,Kitchen/Bath,2026-09-03,"Kinnaird St, Unit",18400.0
Cambridge,New Construction,2026-09-03,Tremont St,59831.0
Cambridge,Windows/Doors/Siding,2026-09-03,Harvard St,21597.0
Cambridge,Kitchen/Bath,2026-09-03,Pearl St,37800.0
Cambridge,Electrical,2026-09-03,"Linnaean St, Unit",3900.0
Cambridge,Electrical,2026-09-03,Jfk St,2000.0
Cambridge,Electrical,2026-09-03,White St,5000.0
Cambridge,Electrical,2026-09-03,Massachusetts Ave,7862.0
Cambridge,Electrical,2026-09-03,"Chauncy St, Unit A",1000.0
Cambridge,Electrical,2026-09-03,Hamilton St,600.0
Cambridge,Electrical,2026-09-03,Gibson St,6500.0
Cambridge,Electrical,2026-09-03,Norumbega St,350.0
Cambridge,Electrical,2026-09-03,Rindge Ave,6000.0
Cambridge,Electrical,2026-09-03,"Rindge Ave, Unit",350.0
Cambridge,Electrical,2026-09-03,"Third St, Unit",3000.0
Cambridge,Electrical,2026-09-03,Grove St,1.0
Cambridge,Electrical,2026-09-03,Grozier Rd,9000.0
Cambridge,Plumbing,2026-09-03,Mt Auburn St,
