town,trade,issued_date,street_masked,valuation
Carlisle,Other,2026-09-10,East St,
Carlisle,Plumbing,2026-09-10,Stearns St,
Carlisle,Gas,2026-09-10,Stearns St,
Carlisle,Plumbing,2026-09-10,East St,
Carlisle,Roofing,2026-09-10,Patch Meadow Ln,
Carlisle,Addition,2026-09-10,"Westford St, Carlisle",
Carlisle,Plumbing,2026-09-09,Robbins Dr,
Carlisle,Electrical,2026-09-09,West St,
Carlisle,Electrical,2026-09-09,Daniels Lane,
Carlisle,Electrical,2026-09-09,Applegrove Lane,
Carlisle,Kitchen/Bath,2026-09-09,Old Quarry Dr,
Carlisle,Roofing,2026-09-08,Kimball Rd,
Carlisle,Pool/Spa,2026-09-08,Martin St,
Carlisle,Building,2026-09-03,Sunset Rd,
Carlisle,Windows/Doors/Siding,2026-09-03,Curve St,
Carlisle,HVAC,2026-09-03,Russell St,
Carlisle,HVAC,2026-09-03,Lowell St,
Carlisle,Windows/Doors/Siding,2026-09-03,North Rd,
Carlisle,Kitchen/Bath,2026-09-03,Heald Rd,
Carlisle,Other,2026-09-03,Lowell St,
Carlisle,Plumbing,2026-09-03,Applegrove Lane,
Carlisle,HVAC,2026-09-03,Bedford Rd,
Carlisle,Other,2026-09-02,West St,
Carlisle,Solar,2026-09-02,Oak Knoll Rd,
Carlisle,Solar,2026-09-02,Westford St,
Carlisle,Other,2026-09-02,Stearns St,
Carlisle,Gas,2026-09-02,Bedford Rd,
Carlisle,Plumbing,2026-09-02,Bedford Rd,
Carlisle,Plumbing,2026-09-01,Church St,
Carlisle,Solar,2026-09-01,Oak Knoll Rd,
Carlisle,Electrical,2026-09-01,Westford St,
Carlisle,Other,2026-09-01,West St,
Carlisle,Gas,2026-09-01,Munroe Hill Rd,
Carlisle,Plumbing,2026-09-01,Munroe Hill Rd,
Carlisle,Electrical,2026-09-01,Suffolk Ln,
Carlisle,Plumbing,2026-09-01,Chestnut Lane,
Carlisle,Other,2026-08-31,Tanglewood Way,
Carlisle,Solar,2026-08-31,Westford St,
Carlisle,Roofing,2026-08-31,South St,
Carlisle,Gas,2026-08-31,Virginia Farme Ln,
Carlisle,Electrical,2026-08-31,Virginia Farme Ln,
Carlisle,Pool/Spa,2026-08-31,Stearns St,
Carlisle,Electrical,2026-08-28,Page Brook Rd,
Carlisle,Gas,2026-08-28,Old North Rd,
Carlisle,Electrical,2026-08-28,School St,
Carlisle,Plumbing,2026-08-28,Lowell St,
Carlisle,Other,2026-08-27,Bedford Rd,
Carlisle,HVAC,2026-08-27,Elizabeth Ridge Rd,
Carlisle,Roofing,2026-08-27,West St,
Carlisle,Other,2026-08-27,Suffolk Ln,
Carlisle,Other,2026-08-27,Lowell St,
Carlisle,Other,2026-08-25,School St,
Carlisle,Other,2026-08-25,Bingham Rd,
Carlisle,HVAC,2026-08-25,Indian Hl,
Carlisle,Other,2026-08-25,Garrison Way,
Carlisle,HVAC,2026-08-24,Davis Rd,
Carlisle,Windows/Doors/Siding,2026-08-24,Laurelwood Dr,
Carlisle,HVAC,2026-08-24,Bellows Hill Rd,
Carlisle,Kitchen/Bath,2026-08-24,Bingham Rd,
Carlisle,Roofing,2026-08-24,Concord St,
Carlisle,Building,2026-08-24,Oak Knoll Rd,
Carlisle,Gas,2026-08-20,Suffolk Ln,
Carlisle,HVAC,2026-08-20,Davis Rd,
Carlisle,Other,2026-08-20,North Rd,
Carlisle,Other,2026-08-20,Russell St,
Carlisle,Windows/Doors/Siding,2026-08-19,High Woods Ln,
Carlisle,Other,2026-08-18,Curve St,
Carlisle,Roofing,2026-08-18,Curve St,
Carlisle,Renovation/Remodel,2026-08-18,"Bedford Rd, Carlisle",
Carlisle,Other,2026-08-13,Munroe Hill Rd,
Carlisle,Plumbing,2026-08-13,Carlisle Pines Dr,
Carlisle,Roofing,2026-08-13,Brook St,
Carlisle,Roofing,2026-08-13,Spencer Brook Ln,
Carlisle,HVAC,2026-08-11,Westford St,
Carlisle,Electrical,2026-08-11,Bedford Rd,
Carlisle,Other,2026-08-11,Stearns St,
