town,trade,issued_date,street_masked,valuation
Charlestown,Plumbing,2026-07-24,Harvard Sq,1200.0
Charlestown,Electrical,2026-07-23,Adams St,6500.0
Charlestown,Roofing,2026-07-23,Elm St,300000.0
Charlestown,Electrical,2026-07-23,Elm St,20000.0
Charlestown,Roofing,2026-07-23,Sackville St,11300.0
Charlestown,Plumbing,2026-07-22,Eighth St,1000.0
Charlestown,Gas,2026-07-22,Eighth St,1000.0
Charlestown,Windows/Doors/Siding,2026-07-22,Belmont St,57734.0
Charlestown,Demolition,2026-07-21,Rutherford Av,311554.0
Charlestown,Electrical,2026-07-21,Constitution Rd,500.0
Charlestown,Electrical,2026-07-21,Cordis St,5000.0
Charlestown,Plumbing,2026-07-21,Lawnwood Pl,3500.0
Charlestown,Demolition,2026-07-21,Pleasant St,3000.0
Charlestown,Roofing,2026-07-21,Sullivan St,14850.0
Charlestown,Windows/Doors/Siding,2026-07-20,Pearl St,9921.0
Charlestown,Windows/Doors/Siding,2026-07-20,Bartlett St,39000.0
Charlestown,Electrical,2026-07-19,Soley St,750.0
Charlestown,Plumbing,2026-07-17,Rutherford Av,200.0
Charlestown,Electrical,2026-07-17,New Rutherford Av,19500.0
Charlestown,HVAC,2026-07-17,Harvard St,50000.0
Charlestown,Electrical,2026-07-16,Main St,15000.0
Charlestown,HVAC,2026-07-16,Charles St,28000.0
Charlestown,Windows/Doors/Siding,2026-07-16,Monument St,9932.0
Charlestown,Electrical,2026-07-16,Austin St,15000.0
Charlestown,Electrical,2026-07-15,Rutherford Av,10000.0
Charlestown,Plumbing,2026-07-15,Tremont St,50000.0
Charlestown,Plumbing,2026-07-15,Walker St,3000.0
Charlestown,HVAC,2026-07-14,Albion Pl,1000.0
Charlestown,Electrical,2026-07-14,Baldwin St,3713.0
Charlestown,Renovation/Remodel,2026-07-14,Austin St,9290.0
Charlestown,Kitchen/Bath,2026-07-14,Adams St,50000.0
Charlestown,Electrical,2026-07-14,Tremont St,4500.0
Charlestown,HVAC,2026-07-14,High St,15000.0
Charlestown,Plumbing,2026-07-14,Main St,550.0
Charlestown,Windows/Doors/Siding,2026-07-13,Auburn St,15500.0
Charlestown,Electrical,2026-07-13,Constellation Wh,36500.0
Charlestown,Other,2026-07-13,Elm St,4000.0
Charlestown,Electrical,2026-07-12,Eighth St,90648.0
Charlestown,Plumbing,2026-07-11,Eden St,4959.0
Charlestown,Renovation/Remodel,2026-07-11,Eden St,15761.0
Charlestown,Windows/Doors/Siding,2026-07-10,Bartlett St,6000.0
Charlestown,Other,2026-07-10,Harvard St,2378.82
Charlestown,Plumbing,2026-07-10,Chelsea St,
Charlestown,Electrical,2026-07-10,Bunker Hill St,5000.0
Charlestown,Plumbing,2026-07-09,Chelsea St,3000.0
Charlestown,HVAC,2026-07-08,Mount Vernon St,170000.0
Charlestown,Renovation/Remodel,2026-07-08,Russell St,
Charlestown,Electrical,2026-07-07,Harvard St,9500.0
Charlestown,Plumbing,2026-07-07,Harvard St,1000.0
Charlestown,HVAC,2026-07-07,Main St,10000.0
Charlestown,Electrical,2026-07-07,Main St,10500.0
Charlestown,Electrical,2026-07-07,Lawnwood Pl,8000.0
Charlestown,Plumbing,2026-07-07,Soley St,1500.0
Charlestown,Renovation/Remodel,2026-07-07,Rutherford Av,375000.0
Charlestown,Renovation/Remodel,2026-07-06,Mead St,500.0
Charlestown,HVAC,2026-07-06,Rutherford Av,2568934.0
Charlestown,Electrical,2026-07-06,Green St,12000.0
Charlestown,HVAC,2026-07-06,Monument Av,5000.0
Charlestown,Windows/Doors/Siding,2026-07-06,Sackville St,11649.0
Charlestown,Electrical,2026-07-06,School St,15000.0
Charlestown,Electrical,2026-07-02,Ferrin St,5000.0
Charlestown,Electrical,2026-07-02,Prescott St,1650.0
Charlestown,HVAC,2026-07-02,Thirteenth St,21450.0
Charlestown,Electrical,2026-07-02,Thirteenth St,60000.0
Charlestown,Gas,2026-07-02,Austin St,1500.0
Charlestown,Plumbing,2026-07-02,Austin St,10407.0
Charlestown,Windows/Doors/Siding,2026-07-02,Cordis St,8100.0
Charlestown,Kitchen/Bath,2026-07-02,Ferrin St,71000.0
Charlestown,HVAC,2026-07-01,High St,500.0
Charlestown,Other,2026-07-01,Constellation Wh,600.0
Charlestown,Other,2026-07-01,First Av,600.0
Charlestown,Kitchen/Bath,2026-07-01,Baldwin St,59892.0
Charlestown,Plumbing,2026-07-01,Harvard St,38568.0
Charlestown,Windows/Doors/Siding,2026-07-01,Devens St,37976.0
Charlestown,Windows/Doors/Siding,2026-06-30,Soley St,13503.0
Charlestown,Kitchen/Bath,2026-06-30,Bunker Hill St,40000.0
Charlestown,HVAC,2026-06-30,Main St,6500.0
Charlestown,Electrical,2026-06-30,High St,9800.0
Charlestown,Fire/Sprinkler,2026-06-29,Thirteenth St,10000.0
Charlestown,Fire/Sprinkler,2026-06-29,Thirteenth St,633300.0
Charlestown,Electrical,2026-06-29,Main St,165000.0
Charlestown,Plumbing,2026-06-29,Main St,3000.0
Charlestown,Electrical,2026-06-26,Forest Pl,7000.0
Charlestown,Other,2026-06-26,Sixteenth St,
Charlestown,Electrical,2026-06-26,High St,70000.0
Charlestown,HVAC,2026-06-26,Monument Av,2500.0
Charlestown,Kitchen/Bath,2026-06-26,Walker St,25380.0
Charlestown,Plumbing,2026-06-26,Chelsea St,3000.0
Charlestown,Electrical,2026-06-25,Chelsea St,28000.0
Charlestown,Plumbing,2026-06-25,Main St,85600.0
Charlestown,Electrical,2026-06-25,Elm St,7500.0
Charlestown,Electrical,2026-06-25,Rutherford Av,25110.0
Charlestown,Electrical,2026-06-25,Main St,92000.0
Charlestown,Electrical,2026-06-25,Chelsea St,2000.0
Charlestown,Electrical,2026-06-24,Main St,800.0
Charlestown,Windows/Doors/Siding,2026-06-24,Baldwin St,4184.0
Charlestown,Windows/Doors/Siding,2026-06-24,Main St,77250.0
Charlestown,Plumbing,2026-06-23,Bunker Hill St,5500.0
