town,trade,issued_date,street_masked,valuation
Cohasset,Renovation/Remodel,2026-08-11,Aaron River Rd,
Cohasset,Renovation/Remodel,2026-08-11,North Main St,
Cohasset,Electrical,2026-08-11,Stockbridge St,
Cohasset,Renovation/Remodel,2026-08-11,Fairoaks Ln,
Cohasset,Other,2026-08-11,Whitehead Rd,
Cohasset,Plumbing,2026-08-10,Atlantic Ave,
Cohasset,Gas,2026-08-10,Beechwood St,
Cohasset,Electrical,2026-08-10,Highland Ave,
Cohasset,Electrical,2026-08-10,Hull St,
Cohasset,Building,2026-08-10,Highland Ave,
Cohasset,Gas,2026-08-10,Atlantic Ave,
Cohasset,Gas,2026-08-10,Sohier St,
Cohasset,Renovation/Remodel,2026-08-10,Hugh Strain Rd,
Cohasset,Gas,2026-08-10,North Main St,
Cohasset,Renovation/Remodel,2026-08-10,Test Test,
Cohasset,Electrical,2026-08-07,King St,
Cohasset,Electrical,2026-08-07,North Main St,
Cohasset,Renovation/Remodel,2026-08-07,North Main St,
Cohasset,Gas,2026-08-07,Wheelwright Farm,
Cohasset,Plumbing,2026-08-06,North Main St,
Cohasset,Renovation/Remodel,2026-08-06,Jerusalem Rd,
Cohasset,Building,2026-08-06,King St,
Cohasset,Plumbing,2026-08-06,Beach St,
Cohasset,Renovation/Remodel,2026-08-06,North Main St,
Cohasset,Other,2026-08-06,Jerusalem Rd,
Cohasset,Gas,2026-08-05,North Main St,
Cohasset,Electrical,2026-08-05,Sohier St,
Cohasset,Renovation/Remodel,2026-08-05,Forest Ave,
Cohasset,Building,2026-08-05,Border St,
Cohasset,Plumbing,2026-08-05,North Main St,
Cohasset,Renovation/Remodel,2026-08-05,Hill St,
Cohasset,Renovation/Remodel,2026-08-05,Cushing Rd,
Cohasset,Renovation/Remodel,2026-08-05,Black Horse Ln,
Cohasset,Renovation/Remodel,2026-08-05,Aaron River Rd,
Cohasset,Renovation/Remodel,2026-08-05,Quonahassit Trail,
