town,trade,issued_date,street_masked,valuation
Colrain,Windows/Doors/Siding,2026-09-09,Wilson Hill Rd,7700.0
Colrain,Solar,2026-09-09,Fairbanks Rd,19863.0
Colrain,Deck/Porch,2026-09-09,Call Rd,25000.0
Colrain,Windows/Doors/Siding,2026-09-04,Main Rd,23800.0
Colrain,Solar,2026-09-01,Fairbanks Rd,
Colrain,Building,2026-08-26,Greenfield Rd,3467.0
Colrain,Building,2026-08-26,East Colrain Rd,5000.0
Colrain,HVAC,2026-08-24,Call Rd,
Colrain,Electrical,2026-07-28,Greenfield Rd,
Colrain,Solar,2026-07-23,Thompson Rd,58077.0
Colrain,Solar,2026-07-21,Stetson Bros Rd,
Colrain,Windows/Doors/Siding,2026-07-20,Ed Clark Rd,39889.0
Colrain,Roofing,2026-07-14,Adamsville Rd,12990.0
Colrain,Roofing,2026-07-14,Main Rd,160669.0
Colrain,Solar,2026-07-01,Stetson Bros Rd,600.0
Colrain,Other,2026-06-30,Main Rd,84122.0
Colrain,Other,2026-06-16,Jacksonville Rd,
Colrain,Solar,2026-06-08,Thompson Rd,
Colrain,Electrical,2026-06-08,Stranahan Dr,
Colrain,Electrical,2026-06-04,River St,
Colrain,Windows/Doors/Siding,2026-06-04,Franklin Hill Rd,3958.0
Colrain,Electrical,2026-06-03,N Green River Rd,
Colrain,Solar,2026-06-03,Jacksonville Rd,
Colrain,Building,2026-06-02,West Leyden Rd,113200.0
Colrain,New Construction,2026-05-28,East Colrain Rd,21200.0
Colrain,Building,2026-05-20,Cider Mill Ln,2907.55
Colrain,Building,2026-05-20,Main Rd,1568.0
Colrain,Building,2026-05-20,Wilson Hill Rd,2200.0
Colrain,Building,2026-05-20,Coombs Hill Rd,4000.0
Colrain,Deck/Porch,2026-05-20,Leon Herzig Dr,3000.0
Colrain,Electrical,2026-05-14,Thompson Rd,
Colrain,Roofing,2026-05-13,Griswoldville St,10820.0
Colrain,Solar,2026-05-11,River St,27000.0
Colrain,Electrical,2026-05-11,Main Rd,
Colrain,Solar,2026-05-11,Stranahan Dr,
Colrain,Electrical,2026-05-11,Wilson Hill Rd,
Colrain,Windows/Doors/Siding,2026-04-23,Thibodeau Dr,22149.0
Colrain,Electrical,2026-04-22,Jacksonville Rd,
Colrain,Windows/Doors/Siding,2026-04-21,Main Rd,4200.0
Colrain,Solar,2026-04-09,River St,
Colrain,Electrical,2026-04-09,Foundry Village Rd,
Colrain,Electrical,2026-04-09,Main Rd,
Colrain,Solar,2026-04-09,Thompson Rd,
Colrain,Solar,2026-04-09,Call Rd,
Colrain,Plumbing,2026-04-08,Nelson Rd,
Colrain,Pool/Spa,2026-04-08,Jacksonville Rd,44000.0
Colrain,Electrical,2026-04-02,Main Rd,
Colrain,Electrical,2026-04-02,Jacksonville Rd,
Colrain,Demolition,2026-03-18,W Leyden Rd,
