town,trade,issued_date,street_masked,valuation
Duxbury,Deck/Porch,2026-07-31,"Railroad Ave Building D, Unit",370760.0
Duxbury,Roofing,2026-07-31,Washington St,88500.0
Duxbury,Windows/Doors/Siding,2026-07-31,Franklin St,5721.0
Duxbury,Kitchen/Bath,2026-07-29,Rogers Way,74000.0
Duxbury,Kitchen/Bath,2026-07-29,Hornbeam Rd,31500.0
Duxbury,Kitchen/Bath,2026-07-29,S Station St,4400.0
Duxbury,Roofing,2026-07-29,Washington St,15921.95
Duxbury,Windows/Doors/Siding,2026-07-29,Red Hawk Ln,832000.0
Duxbury,Roofing,2026-07-28,Ocean Rd N,65800.0
Duxbury,Roofing,2026-07-28,Back River Way,6675.0
Duxbury,Roofing,2026-07-28,Bayridge Ln,7840.0
Duxbury,Roofing,2026-07-28,Oakwood Rd,10000.0
Duxbury,Other,2026-07-28,Woodland Way,2000.0
Duxbury,Kitchen/Bath,2026-07-24,Parting Rock Rd,21776.0
Duxbury,Kitchen/Bath,2026-07-24,West St,222700.0
Duxbury,Windows/Doors/Siding,2026-07-24,Pine Lake Rd,31338.0
Duxbury,Windows/Doors/Siding,2026-07-23,Old Cordwood Path,539920.0
Duxbury,Other,2026-07-23,Plantation Dr,2000.0
Duxbury,Roofing,2026-07-23,Marshall St,283000.0
Duxbury,Other,2026-07-23,"Carriage Ln, Unit",12199.0
Duxbury,Windows/Doors/Siding,2026-07-23,"Ocean Woods Dr, Unit",1205.0
Duxbury,Kitchen/Bath,2026-07-22,Teakettle Ln,23000.0
Duxbury,Renovation/Remodel,2026-07-22,East St,25000.0
Duxbury,Deck/Porch,2026-07-22,Washington St,71750.0
Duxbury,Deck/Porch,2026-07-22,Wadsworth Rd,171210.0
Duxbury,Deck/Porch,2026-07-22,Duck Hill Rd,125000.0
Duxbury,Roofing,2026-07-21,Ocean Rd S,17900.0
Duxbury,Windows/Doors/Siding,2026-07-21,Gurnet Rd,50000.0
Duxbury,Windows/Doors/Siding,2026-07-21,Valley St,24000.0
Duxbury,Kitchen/Bath,2026-07-20,Mill Pond Ln,8400.0
Duxbury,Deck/Porch,2026-07-20,Crescent St,20000.0
Duxbury,Building,2026-07-17,Hitty Tom Rd,3750.0
Duxbury,Solar,2026-07-17,Teakettle Ln,43164.8
Duxbury,Deck/Porch,2026-07-17,Jeremiah Dr,23000.0
Duxbury,Windows/Doors/Siding,2026-07-16,West St,7400.0
Duxbury,Roofing,2026-07-16,Gurnet Rd,215176.0
Duxbury,Deck/Porch,2026-07-15,Duck Hill Rd,118000.0
Duxbury,Pool/Spa,2026-07-14,Anchorage Ln,75600.0
Duxbury,Windows/Doors/Siding,2026-07-14,Blodgett Ave,6019.8
Duxbury,Renovation/Remodel,2026-07-14,Carr Rd,3900.0
Duxbury,Deck/Porch,2026-07-14,Standish Rd,12980.0
Duxbury,Deck/Porch,2026-07-13,Fort Hill Ln,537000.0
Duxbury,Renovation/Remodel,2026-07-13,Church St,6000.0
Duxbury,Windows/Doors/Siding,2026-07-13,Keene St,24000.0
Duxbury,Other,2026-07-13,Gurnet Rd,15000.0
Duxbury,Roofing,2026-07-13,Tremont St,11000.0
Duxbury,Windows/Doors/Siding,2026-07-13,"Tussock Brook Rd, Unit G",32000.0
Duxbury,Roofing,2026-07-11,Winslow Rd,18800.0
Duxbury,Roofing,2026-07-11,Mount Hope Cir,18500.0
Duxbury,Roofing,2026-07-10,Old Coach Way,24501.0
Duxbury,Roofing,2026-07-10,Old North St,15340.0
