town,trade,issued_date,street_masked,valuation
Easthampton,Renovation/Remodel,2026-09-09,Button Rd,
Easthampton,Renovation/Remodel,2026-09-09,Hannum Brook Dr,
Easthampton,Renovation/Remodel,2026-09-09,Sterling Dr,
Easthampton,Renovation/Remodel,2026-09-09,Phelps St,
Easthampton,Renovation/Remodel,2026-09-09,Highland Ave,
Easthampton,Renovation/Remodel,2026-09-09,Holyoke St,
Easthampton,Renovation/Remodel,2026-09-09,Federal St,
Easthampton,Renovation/Remodel,2026-09-04,Cherry St,
Easthampton,Renovation/Remodel,2026-09-03,Mt Tom Ave,
Easthampton,Renovation/Remodel,2026-09-03,Jones Dr,
Easthampton,Renovation/Remodel,2026-09-03,Federal St,
Easthampton,Plumbing,2026-09-03,Underwood Ave,
Easthampton,Plumbing,2026-09-03,Main St,
Easthampton,Gas,2026-09-03,East Street,
Easthampton,Kitchen/Bath,2026-09-03,Golden Dr,
Easthampton,Other,2026-09-02,Payson Ave,
Easthampton,Electrical,2026-09-02,Campbell Dr,
Easthampton,Electrical,2026-09-02,Main St,
Easthampton,Electrical,2026-09-02,Mayher St,
Easthampton,Electrical,2026-09-01,Northampton St,
Easthampton,Electrical,2026-09-01,E Maple St,
Easthampton,Plumbing,2026-09-01,Everett St,
Easthampton,Plumbing,2026-09-01,Westview Terr,
Easthampton,Renovation/Remodel,2026-09-01,Ward Ave,
Easthampton,Renovation/Remodel,2026-09-01,Dragon Cir,
Easthampton,Building,2026-09-01,Lazy D Dr,
Easthampton,Other,2026-09-01,South St,
Easthampton,Fire/Sprinkler,2026-09-01,Maple St,
Easthampton,Fire/Sprinkler,2026-09-01,O'Neill Street,
Easthampton,Electrical,2026-09-01,Lawler Dr,
Easthampton,Building,2026-09-01,Chantel Court,
Easthampton,Electrical,2026-09-01,Laurin Ln,
Easthampton,Building,2026-09-01,Ian Circle,
Easthampton,Building,2026-08-31,Main St,
Easthampton,Renovation/Remodel,2026-08-31,Everett St,
Easthampton,Renovation/Remodel,2026-08-31,Knipfer Ave,
Easthampton,Renovation/Remodel,2026-08-31,Division St,
Easthampton,Renovation/Remodel,2026-08-31,Lincoln St,
Easthampton,Fire/Sprinkler,2026-08-31,Paul St,
Easthampton,Building,2026-08-31,Park St,
Easthampton,Building,2026-08-31,Ward Ave,
Easthampton,Renovation/Remodel,2026-08-31,West St,
Easthampton,Renovation/Remodel,2026-08-28,Park St,
Easthampton,Building,2026-08-28,Cottage Street,
Easthampton,Building,2026-08-27,Echo Lane,
Easthampton,Building,2026-08-27,Tower Ln,
Easthampton,Electrical,2026-08-27,West St,
Easthampton,Electrical,2026-08-27,Fairfield Ave,
Easthampton,Electrical,2026-08-27,E Greene St,
Easthampton,Electrical,2026-08-27,Kenneth Rd,
