town,trade,issued_date,street_masked,valuation
Granby,Solar,2026-09-22,Maximilian Dr,
Granby,Windows/Doors/Siding,2026-09-22,Amherst St,
Granby,Building,2026-09-22,West St,
Granby,Plumbing,2026-09-22,Batchelor St,
Granby,Plumbing,2026-09-22,Cold Hill,
Granby,Building,2026-09-22,Lakeview Av,
Granby,Building,2026-09-22,Taylor St,
Granby,Building,2026-09-21,School St,
Granby,Plumbing,2026-09-21,Amherst St,
Granby,HVAC,2026-09-21,Carver St,
Granby,Plumbing,2026-09-21,Lakeview Av,
Granby,Plumbing,2026-09-21,Carver St,
Granby,Kitchen/Bath,2026-09-17,Pheasant Hill,
Granby,Other,2026-09-17,Truby St,
Granby,Building,2026-09-17,Truby St,
Granby,Electrical,2026-09-17,Batchelor St,
Granby,Roofing,2026-09-15,South St,
Granby,Electrical,2026-09-13,Kizior Dr,
Granby,Roofing,2026-09-10,Center St,
