town,trade,issued_date,street_masked,valuation
Great Barrington,Plumbing,2026-09-10,Mahawie Street,
Great Barrington,Gas,2026-09-09,Quarry St,
Great Barrington,Renovation/Remodel,2026-09-09,Cottage St North,
Great Barrington,Other,2026-09-09,Crimson Ln,
Great Barrington,Renovation/Remodel,2026-09-09,Burning Tree Rd,
Great Barrington,Electrical,2026-09-08,Monument Valley Rd,
Great Barrington,Other,2026-09-08,Egremont Plain Rd,
Great Barrington,Other,2026-09-08,South Egremont Rd,
Great Barrington,Gas,2026-09-04,Park Street,
Great Barrington,Gas,2026-09-04,North Plain Rd,
Great Barrington,Renovation/Remodel,2026-09-04,Long Pond Rd,
Great Barrington,Building,2026-09-04,Woodland Hill Rd,
Great Barrington,Electrical,2026-09-03,Main St,
Great Barrington,Gas,2026-09-03,Highland Dr,
Great Barrington,Renovation/Remodel,2026-09-03,North Plain Rd,
Great Barrington,Electrical,2026-09-03,Lake View Rd,
Great Barrington,Gas,2026-09-03,Park St North,
Great Barrington,Renovation/Remodel,2026-09-02,Dresser Ave,
Great Barrington,Renovation/Remodel,2026-09-02,Everett St,
Great Barrington,Renovation/Remodel,2026-09-02,East St,
Great Barrington,Electrical,2026-09-02,East St,
Great Barrington,Building,2026-09-01,Bernard Gibbons Dr,
Great Barrington,Renovation/Remodel,2026-09-01,Castle St,
Great Barrington,Renovation/Remodel,2026-09-01,Welcome St,
Great Barrington,Renovation/Remodel,2026-09-01,Stockbridge Rd,
Great Barrington,Plumbing,2026-08-31,Prospect St North,
Great Barrington,Building,2026-08-31,State Rd,
Great Barrington,Renovation/Remodel,2026-08-31,Rosseter St,
Great Barrington,Electrical,2026-08-28,Stockbridge Rd,
Great Barrington,Renovation/Remodel,2026-08-28,State Rd,
Great Barrington,Renovation/Remodel,2026-08-28,Division St,
Great Barrington,Renovation/Remodel,2026-08-27,Blue Hill Rd,
Great Barrington,Other,2026-08-27,Cooper Rd,
Great Barrington,Building,2026-08-26,Stockbridge Rd,
Great Barrington,Building,2026-08-26,Monument Valley Rd,
Great Barrington,Electrical,2026-08-26,North Plain Rd,
Great Barrington,Gas,2026-08-26,High St,
Great Barrington,Renovation/Remodel,2026-08-25,North Plain Rd,
Great Barrington,Renovation/Remodel,2026-08-24,Magnolia St,
Great Barrington,Electrical,2026-08-24,Berkshire Heights Rd,
Great Barrington,Renovation/Remodel,2026-08-24,Monterey Rd,
Great Barrington,Gas,2026-08-24,Monument Valley Rd,
Great Barrington,Building,2026-08-24,West Ave,
Great Barrington,Gas,2026-08-24,Park St North,
Great Barrington,Renovation/Remodel,2026-08-21,Lake Mansfield Rd,
Great Barrington,Renovation/Remodel,2026-08-21,Old Stockbridge Rd,
Great Barrington,Plumbing,2026-08-21,Main St,
Great Barrington,Electrical,2026-08-20,Maple Ave,
Great Barrington,Renovation/Remodel,2026-08-19,Taconic Ave,
Great Barrington,Electrical,2026-08-19,North Plain Rd,
Great Barrington,Electrical,2026-08-19,Christian Hill Rd,
Great Barrington,Electrical,2026-08-19,Blue Hill Rd,
Great Barrington,Renovation/Remodel,2026-08-19,West Sheffield Rd,
Great Barrington,Electrical,2026-08-19,Monument Valley Rd,
Great Barrington,Sign/Awning,2026-08-19,Main St,
Great Barrington,Renovation/Remodel,2026-08-19,Abbey Hill,
Great Barrington,Gas,2026-08-18,Commonwealth Ave,
Great Barrington,Renovation/Remodel,2026-08-18,Lewis Ave,
Great Barrington,Building,2026-08-18,Castle St,
Great Barrington,Renovation/Remodel,2026-08-18,North Plain Rd,
Great Barrington,Renovation/Remodel,2026-08-18,Park St North,
Great Barrington,Other,2026-08-17,Hurlburt Rd,
Great Barrington,Renovation/Remodel,2026-08-17,Kirk St,
Great Barrington,Electrical,2026-08-17,Depot St,
Great Barrington,Gas,2026-08-17,West Sheffield Rd,
Great Barrington,Renovation/Remodel,2026-08-17,Mechanic St,
Great Barrington,Plumbing,2026-08-14,Long Pond Rd,
Great Barrington,Renovation/Remodel,2026-08-14,Front St,
Great Barrington,Electrical,2026-08-14,North Plain Rd,
Great Barrington,Renovation/Remodel,2026-08-13,Button Down Ln,
Great Barrington,Sign/Awning,2026-08-12,Main St,
Great Barrington,Renovation/Remodel,2026-08-12,State Rd,
Great Barrington,Building,2026-08-12,Main St,
Great Barrington,Electrical,2026-08-12,Lewis Ave,
Great Barrington,Renovation/Remodel,2026-08-11,Laurel St,
Great Barrington,Renovation/Remodel,2026-08-11,Egremont Plain Rd,
Great Barrington,Renovation/Remodel,2026-08-11,Cottage St,
Great Barrington,Electrical,2026-08-11,State Rd,
Great Barrington,Plumbing,2026-08-11,Castle Hill Ave,
Great Barrington,Renovation/Remodel,2026-08-11,North Plain Rd,
Great Barrington,Sign/Awning,2026-08-11,Van Deusenville Rd,
Great Barrington,Electrical,2026-08-10,Francis Ave,
Great Barrington,Renovation/Remodel,2026-08-10,Lake Mansfield Ln,
Great Barrington,Electrical,2026-08-10,Main St,
Great Barrington,Plumbing,2026-08-10,North Plain Rd,
Great Barrington,Renovation/Remodel,2026-08-10,Rosseter St,
Great Barrington,Plumbing,2026-08-10,Pine St,
Great Barrington,Renovation/Remodel,2026-08-10,Woodland Hill Rd,
