town,trade,issued_date,street_masked,valuation
Hamilton,Gas,2026-09-25,Cutler Rd,
Hamilton,Gas,2026-09-25,Village Ln,
Hamilton,Gas,2026-09-25,Farrington Ln,
Hamilton,Electrical,2026-09-25,Tally Ho Dr,
Hamilton,Plumbing,2026-09-25,Chebacco Rd,
Hamilton,Plumbing,2026-09-25,Martel Rd,
Hamilton,HVAC,2026-09-25,Spring Av,
Hamilton,Windows/Doors/Siding,2026-09-24,Railroad Av,
Hamilton,HVAC,2026-09-23,Rust St,
Hamilton,Electrical,2026-09-23,Appaloosa Ln,
Hamilton,Plumbing,2026-09-22,Forest St,
Hamilton,Roofing,2026-09-22,Moynihan Rd,
Hamilton,Plumbing,2026-09-21,Bay Rd,
Hamilton,HVAC,2026-09-21,Essex St,
Hamilton,Plumbing,2026-09-21,Home St,
Hamilton,Gas,2026-09-21,Bay Rd,
Hamilton,Roofing,2026-09-21,Union St,
Hamilton,Electrical,2026-09-21,Honeysuckle Rd,
Hamilton,HVAC,2026-09-16,Bay Rd,
Hamilton,Building,2026-09-16,Essex St,
