town,trade,issued_date,street_masked,valuation
Hingham,Gas,2026-08-31,North Street,
Hingham,Gas,2026-08-31,Beal Street,
Hingham,Plumbing,2026-08-31,Heron Way,
Hingham,Building,2026-08-31,Main Street,
Hingham,Renovation/Remodel,2026-08-31,Myers Farm Road,
Hingham,Plumbing,2026-08-31,Presidents Road,
Hingham,Gas,2026-08-31,Heron Way,
Hingham,Renovation/Remodel,2026-08-31,Fort Hill Street,
Hingham,Plumbing,2026-08-31,Beal Street,
Hingham,Sign/Awning,2026-08-31,Technology Place,
Hingham,Plumbing,2026-08-31,Kerri Lane,
Hingham,Gas,2026-08-31,Stayner Drive,
Hingham,Renovation/Remodel,2026-08-31,John Hazlitt Lane,
Hingham,Renovation/Remodel,2026-08-31,Summer Street,
Hingham,Electrical,2026-08-27,Heather Lane,
Hingham,Renovation/Remodel,2026-08-27,High Street,
Hingham,Renovation/Remodel,2026-08-27,East Street,
Hingham,Gas,2026-08-27,Derby Street,
Hingham,Renovation/Remodel,2026-08-27,A Rockland Street,
Hingham,Electrical,2026-08-27,Manatee Road,
Hingham,Electrical,2026-08-27,Summer Street,
Hingham,Electrical,2026-08-27,Martins Cove Lane,
Hingham,Renovation/Remodel,2026-08-27,South Pleasant St,
Hingham,Plumbing,2026-08-27,Highview Drive,
Hingham,Electrical,2026-08-27,Pioneer Road,
Hingham,Plumbing,2026-08-27,Sanborn Road,
Hingham,Renovation/Remodel,2026-08-26,Hersey Street,
Hingham,Plumbing,2026-08-26,Maryknoll Drive,
Hingham,Renovation/Remodel,2026-08-26,Bradley Woods Drive,
Hingham,Renovation/Remodel,2026-08-26,Ward Street,
Hingham,Plumbing,2026-08-26,Pilgrim Road,
Hingham,Electrical,2026-08-26,Hollyhock Lane,
Hingham,Gas,2026-08-26,Maryknoll Drive,
Hingham,Gas,2026-08-26,Ridgewood Crossing,
Hingham,Electrical,2026-08-26,Main Street,
Hingham,Plumbing,2026-08-26,Gardner Street,
Hingham,Electrical,2026-08-26,Foley Beach Road,
Hingham,Renovation/Remodel,2026-08-26,High Street,
Hingham,Electrical,2026-08-26,Hersey Street,
Hingham,Renovation/Remodel,2026-08-26,Dwiggins Pathe,
Hingham,Renovation/Remodel,2026-08-26,Hope Road,
Hingham,Electrical,2026-08-26,Malcolm Street,
Hingham,Electrical,2026-08-25,Mann Street,
Hingham,Renovation/Remodel,2026-08-25,Otis Street,
Hingham,Electrical,2026-08-25,Westmoreland Road,
Hingham,Renovation/Remodel,2026-08-25,South Street,
Hingham,Gas,2026-08-25,Harbor View Drive,
Hingham,Renovation/Remodel,2026-08-25,Cole Road,
Hingham,Electrical,2026-08-25,Cottage Street,
Hingham,Electrical,2026-08-25,East Street,
Hingham,Electrical,2026-08-25,Cedar Street,
Hingham,Renovation/Remodel,2026-08-25,Central Street,
Hingham,Plumbing,2026-08-25,Del Prete Drive,
Hingham,Electrical,2026-08-25,Bradley Woods Drive,
Hingham,Renovation/Remodel,2026-08-25,Cottage Street,
Hingham,Renovation/Remodel,2026-08-25,High Street,
Hingham,Electrical,2026-08-25,Linden Ponds Way,
Hingham,Renovation/Remodel,2026-08-25,Roc-Fall Road,
Hingham,Renovation/Remodel,2026-08-25,Irving Street,
Hingham,Renovation/Remodel,2026-08-24,Park View Drive,
Hingham,Renovation/Remodel,2026-08-24,Governor Andrew Rd,
Hingham,Renovation/Remodel,2026-08-24,Barnes Road,
Hingham,Plumbing,2026-08-24,Cedar Street,
Hingham,Electrical,2026-08-24,Maryknoll Drive,
Hingham,Gas,2026-08-24,Tillinghast Drive,
Hingham,Gas,2026-08-24,Cedar Street,
Hingham,Electrical,2026-08-24,Ridgewood Crossing,
Hingham,Renovation/Remodel,2026-08-24,Main Street,
