town,trade,issued_date,street_masked,valuation
Hopedale,Electrical,2026-09-08,Mill St,
Hopedale,Electrical,2026-09-08,Westcott Rd,
Hopedale,Renovation/Remodel,2026-09-08,Lower Jones Rd,
Hopedale,Renovation/Remodel,2026-09-08,Mill St,
Hopedale,Electrical,2026-09-04,South Main St,
Hopedale,Renovation/Remodel,2026-09-04,Charlesgate Rd,
Hopedale,Electrical,2026-09-04,Overdale Pkwy,
Hopedale,Renovation/Remodel,2026-09-02,Kings Way,
Hopedale,Other,2026-09-02,South Main St,
Hopedale,HVAC,2026-09-02,Plain St,
Hopedale,Renovation/Remodel,2026-09-02,Hopedale St,
Hopedale,Renovation/Remodel,2026-09-02,Mill St,
Hopedale,Renovation/Remodel,2026-09-02,South Main St,
Hopedale,Renovation/Remodel,2026-09-02,Rockridge Rd,
Hopedale,Electrical,2026-09-01,Mill St,
Hopedale,Renovation/Remodel,2026-09-01,Home Park Av,
Hopedale,Electrical,2026-09-01,Rockridge Rd,
Hopedale,Renovation/Remodel,2026-08-31,Laurelwood Dr,
Hopedale,Electrical,2026-08-28,Dutcher St,
Hopedale,Renovation/Remodel,2026-08-28,Plain St,
Hopedale,Building,2026-08-28,Dutcher St,
Hopedale,Building,2026-08-28,Hope St,
Hopedale,Building,2026-08-28,Adin St,
Hopedale,Building,2026-08-28,Park St,
Hopedale,Electrical,2026-08-27,Centennial St,
Hopedale,Renovation/Remodel,2026-08-27,Mill St,
Hopedale,Renovation/Remodel,2026-08-27,Jones Rd,
Hopedale,Renovation/Remodel,2026-08-27,Heron Ln,
Hopedale,Renovation/Remodel,2026-08-27,Lake St,
Hopedale,Renovation/Remodel,2026-08-26,Mill St,
Hopedale,Renovation/Remodel,2026-08-26,Driftway,
Hopedale,Gas,2026-08-26,Laurelwood Dr,
Hopedale,Electrical,2026-08-25,Hopedale St,
Hopedale,Renovation/Remodel,2026-08-24,Rockridge Rd,
Hopedale,Renovation/Remodel,2026-08-24,Dana Pk,
Hopedale,Other,2026-08-24,South Main St,
Hopedale,Renovation/Remodel,2026-08-24,Mellen St,
Hopedale,Electrical,2026-08-24,Greene St,
Hopedale,Other,2026-08-24,Villa Dr,
Hopedale,Other,2026-08-21,Plain St,
Hopedale,Renovation/Remodel,2026-08-21,Charlesgate Rd,
Hopedale,Renovation/Remodel,2026-08-21,Plain St,
Hopedale,Electrical,2026-08-20,Laurelwood Dr,
Hopedale,Other,2026-08-19,Plain St,
Hopedale,Electrical,2026-08-19,Park St,
Hopedale,Building,2026-08-19,Plain St,
Hopedale,Renovation/Remodel,2026-08-19,Dutcher St,
Hopedale,Renovation/Remodel,2026-08-19,Ben`S Wy,
Hopedale,Renovation/Remodel,2026-08-18,Oak St,
Hopedale,Plumbing,2026-08-18,Heron Ln,
Hopedale,Renovation/Remodel,2026-08-18,Steel Rd,
Hopedale,Sign/Awning,2026-08-18,Plain St,
Hopedale,Renovation/Remodel,2026-08-18,Hammond Rd,
Hopedale,Renovation/Remodel,2026-08-18,Hope St,
Hopedale,Electrical,2026-08-17,Plain St,
Hopedale,Renovation/Remodel,2026-08-17,Charlesgate Rd,
Hopedale,Renovation/Remodel,2026-08-17,Mill St,
Hopedale,HVAC,2026-08-17,Laurelwood Dr,
Hopedale,Plumbing,2026-08-17,Greene St,
Hopedale,HVAC,2026-08-17,Dutcher St,
Hopedale,Electrical,2026-08-14,Jones Rd,
Hopedale,Renovation/Remodel,2026-08-12,Mellen St,
Hopedale,Electrical,2026-08-12,B South Main St,
Hopedale,Electrical,2026-08-12,Anthony Rd,
Hopedale,Electrical,2026-08-12,A South Main St,
Hopedale,Plumbing,2026-08-10,Plain St,
Hopedale,Electrical,2026-08-10,Dutcher St,
Hopedale,Plumbing,2026-08-07,Anthony Rd,
Hopedale,Renovation/Remodel,2026-08-07,Hammond Rd,
Hopedale,Electrical,2026-08-07,Greene St,
Hopedale,Renovation/Remodel,2026-08-06,Laurelwood Dr,
Hopedale,Electrical,2026-08-05,Adin St,
Hopedale,Electrical,2026-08-05,Heron Ln,
Hopedale,Renovation/Remodel,2026-08-05,Hartford Av,
Hopedale,Electrical,2026-08-05,Plain St,
Hopedale,Renovation/Remodel,2026-08-05,Highland St,
Hopedale,Building,2026-08-03,Cross St,
Hopedale,Renovation/Remodel,2026-08-03,Dutcher St,
Hopedale,Electrical,2026-08-03,Warfield St,
Hopedale,Renovation/Remodel,2026-08-03,Lake St,
Hopedale,Renovation/Remodel,2026-08-03,South Main St,
Hopedale,Renovation/Remodel,2026-08-03,Harmony Tr,
Hopedale,Electrical,2026-08-03,South Main St,
Hopedale,Renovation/Remodel,2026-08-03,Dana Pk,
Hopedale,Electrical,2026-08-03,Mellen St,
Hopedale,Plumbing,2026-08-03,Laurelwood Dr,
Hopedale,Renovation/Remodel,2026-08-03,Mellen St,
Hopedale,Renovation/Remodel,2026-07-31,Patrick Rd,
Hopedale,Electrical,2026-07-31,Dutcher St,
Hopedale,Renovation/Remodel,2026-07-31,Ben`S Wy,
Hopedale,Electrical,2026-07-31,Hopedale St,
Hopedale,Electrical,2026-07-31,Prospect,
Hopedale,Renovation/Remodel,2026-07-31,Dutcher St,
Hopedale,Electrical,2026-07-30,Hopedale St,
Hopedale,Renovation/Remodel,2026-07-30,Tammie Rd,
Hopedale,Gas,2026-07-30,Plain St,
Hopedale,Electrical,2026-07-30,Heron Ln,
Hopedale,Renovation/Remodel,2026-07-30,Mill St,
Hopedale,HVAC,2026-07-30,Rockridge Rd,
Hopedale,Renovation/Remodel,2026-07-30,Jones Rd,
Hopedale,Renovation/Remodel,2026-07-30,Cross St,
Hopedale,Gas,2026-07-23,Dutcher St,
Hopedale,Electrical,2026-07-23,Mill St,
Hopedale,Plumbing,2026-07-23,Dutcher St,
Hopedale,Renovation/Remodel,2026-07-21,Plain St,
Hopedale,Renovation/Remodel,2026-07-18,Hopedale St,
Hopedale,Electrical,2026-07-18,Dana Pk,
Hopedale,Plumbing,2026-07-17,Gannett Wy,
Hopedale,Electrical,2026-07-16,Greene St,
Hopedale,Electrical,2026-07-16,Anthony Rd,
Hopedale,Plumbing,2026-07-16,South Main St,
Hopedale,Plumbing,2026-07-16,Anthony Rd,
Hopedale,Gas,2026-07-15,Hopedale St,
Hopedale,Plumbing,2026-07-15,Tammie Rd,
Hopedale,Renovation/Remodel,2026-07-15,Bancroft Pk,
Hopedale,Gas,2026-07-15,Airport Drive Ext,
