town,trade,issued_date,street_masked,valuation
Hyde Park,Other,2026-09-22,Greenbrook Rd,11963.78
Hyde Park,Electrical,2026-09-22,Windham Rd,29790.0
Hyde Park,Plumbing,2026-09-22,Lewiston St,1895.0
Hyde Park,Plumbing,2026-09-22,Hautevale St,2247.0
Hyde Park,Renovation/Remodel,2026-09-22,Mason St,1.0
Hyde Park,Roofing,2026-09-22,River St,22000.0
Hyde Park,Windows/Doors/Siding,2026-09-22,Elm St,12179.0
Hyde Park,Solar,2026-09-22,Chesterfield St,42608.25
Hyde Park,Gas,2026-09-21,Norton St,200.0
Hyde Park,Roofing,2026-09-21,Pleasantview St,27954.0
Hyde Park,Kitchen/Bath,2026-09-20,Braeburn Rd,62496.52
Hyde Park,Windows/Doors/Siding,2026-09-18,Arlington St,17708.0
Hyde Park,Roofing,2026-09-17,Clare Av,7000.0
Hyde Park,Solar,2026-09-17,Thatcher St,350000.0
Hyde Park,Roofing,2026-09-17,Silvia Ct,11000.0
Hyde Park,Demolition,2026-09-17,Warren Av,4373.97
Hyde Park,Plumbing,2026-09-17,Norris Rd,500.0
Hyde Park,Electrical,2026-09-17,Wood Av,10000.0
Hyde Park,Solar,2026-09-16,Thatcher St,80100.0
Hyde Park,Roofing,2026-09-16,Metropolitan Av,1385000.0
Hyde Park,Solar,2026-09-16,River St,78534.0
Hyde Park,Electrical,2026-09-15,Needham Rd,2775.0
Hyde Park,Roofing,2026-09-15,Milton Av,53860.0
Hyde Park,Roofing,2026-09-15,Belnap Rd,12300.0
Hyde Park,HVAC,2026-09-15,Thatcher St,5500.0
Hyde Park,Deck/Porch,2026-09-15,Child St,13800.0
Hyde Park,Windows/Doors/Siding,2026-09-15,Pierce St,24000.0
Hyde Park,Demolition,2026-09-15,Mason St,5400.0
Hyde Park,Plumbing,2026-09-15,Prescott St,1500.0
Hyde Park,Electrical,2026-09-15,W Milton St,2000.0
Hyde Park,Plumbing,2026-09-14,River St,1500.0
Hyde Park,Windows/Doors/Siding,2026-09-14,Vallaro Rd,8000.0
Hyde Park,HVAC,2026-09-14,Tacoma St,6500.0
Hyde Park,HVAC,2026-09-14,Milton Te,64450.0
Hyde Park,Solar,2026-09-14,Thatcher St,80100.0
Hyde Park,Other,2026-09-14,Pierce St,12789.28
Hyde Park,HVAC,2026-09-11,Tacoma St,6500.0
Hyde Park,Electrical,2026-09-11,Clare Av,6000.0
Hyde Park,Electrical,2026-09-10,Como Rd,18000.0
Hyde Park,Kitchen/Bath,2026-09-10,Prescott St,9800.0
Hyde Park,Electrical,2026-09-09,Harvard Av,500.0
Hyde Park,Renovation/Remodel,2026-09-09,Metropolitan Av,1000.0
Hyde Park,Electrical,2026-09-09,Spring Hill Rd,10000.0
Hyde Park,Kitchen/Bath,2026-09-09,Kinsale Ln,481950.0
Hyde Park,Deck/Porch,2026-09-09,Dell Av,17500.0
Hyde Park,Solar,2026-09-09,River St,54973.8
Hyde Park,Electrical,2026-09-09,Windham Rd,6000.0
Hyde Park,Plumbing,2026-09-08,Poplar St,9000.0
Hyde Park,Other,2026-09-06,Daniel Ct,36000.0
Hyde Park,Electrical,2026-09-04,Hyde Park Av,6500.0
Hyde Park,Windows/Doors/Siding,2026-09-04,Summer St,1485.41
Hyde Park,Windows/Doors/Siding,2026-09-04,Highland St,6683.0
Hyde Park,Kitchen/Bath,2026-09-04,Barry St,53700.0
Hyde Park,HVAC,2026-09-04,West St,9750.0
Hyde Park,HVAC,2026-09-04,Williams Av,10000.0
Hyde Park,Windows/Doors/Siding,2026-09-04,Victoria Heights Rd,7224.0
Hyde Park,Solar,2026-09-03,Perkins Av,50853.0
Hyde Park,HVAC,2026-09-03,Dana Av,2000.0
Hyde Park,Renovation/Remodel,2026-09-03,Dana Av,80000.0
Hyde Park,Renovation/Remodel,2026-09-02,W Milton St,300000.0
Hyde Park,Solar,2026-09-02,Garfield Av,11608.0
Hyde Park,Roofing,2026-09-02,Arlington St,31505.0
Hyde Park,Kitchen/Bath,2026-09-02,Badger Rd,75000.0
Hyde Park,Other,2026-09-02,Huntington Av,3878.33
Hyde Park,Other,2026-09-02,Prescott St,
Hyde Park,Plumbing,2026-09-02,Windham Rd,2000.0
Hyde Park,Plumbing,2026-09-02,West St,20000.0
Hyde Park,Plumbing,2026-09-02,Williams Av,19800.0
Hyde Park,Windows/Doors/Siding,2026-09-02,Sherrin St,9897.0
Hyde Park,Electrical,2026-09-01,Williams Av,25000.0
Hyde Park,Solar,2026-09-01,Yuill Ci,78600.0
Hyde Park,Roofing,2026-09-01,Garfield Av,12900.0
Hyde Park,Electrical,2026-09-01,Dodge Rd,2000.0
Hyde Park,Electrical,2026-09-01,Bradlee St,3000.0
Hyde Park,Electrical,2026-09-01,Danny Rd,1500.0
Hyde Park,HVAC,2026-08-31,Faraday St,4000.0
Hyde Park,Electrical,2026-08-31,Norris Rd,6000.0
Hyde Park,HVAC,2026-08-31,Bradlee St,3000.0
Hyde Park,Other,2026-08-31,Summit St,16469.36
Hyde Park,Windows/Doors/Siding,2026-08-31,Needham Rd,8367.0
Hyde Park,Roofing,2026-08-28,Wood Av,7350.0
Hyde Park,Windows/Doors/Siding,2026-08-28,Dana Av,37000.0
Hyde Park,Other,2026-08-28,Prescott St,2000.0
Hyde Park,Solar,2026-08-28,Neponset Av,103200.0
Hyde Park,Windows/Doors/Siding,2026-08-28,River St,28000.0
Hyde Park,Solar,2026-08-28,Chesterfield St,114600.0
Hyde Park,Solar,2026-08-28,Bradlee St,77400.0
Hyde Park,Other,2026-08-28,Davison St,131700.0
Hyde Park,HVAC,2026-08-28,Faraday St,4500.0
Hyde Park,Solar,2026-08-27,Danny Rd,600000.0
Hyde Park,Electrical,2026-08-27,Prospect Ci,20000.0
Hyde Park,HVAC,2026-08-27,West St,6000.0
Hyde Park,Gas,2026-08-27,Poplar St,1000.0
Hyde Park,Other,2026-08-27,Webster St,15000.0
Hyde Park,Solar,2026-08-26,Windham Rd,57300.0
Hyde Park,Electrical,2026-08-26,Alwin St,30000.0
Hyde Park,Electrical,2026-08-26,West St,29000.0
Hyde Park,Solar,2026-08-26,Bradlee St,77400.0
Hyde Park,Electrical,2026-08-25,Oak St,15000.0
Hyde Park,Other,2026-08-25,Warren Av,4000.0
Hyde Park,Roofing,2026-08-25,Lodgehill Rd,15388.0
Hyde Park,Windows/Doors/Siding,2026-08-25,Asheville Rd,19067.0
Hyde Park,Renovation/Remodel,2026-08-25,River St,1.0
Hyde Park,Kitchen/Bath,2026-08-25,Riverside Sq,60000.0
Hyde Park,HVAC,2026-08-25,Austin St,3000.0
Hyde Park,Electrical,2026-08-24,Bradlee St,6000.0
Hyde Park,Plumbing,2026-08-24,Summer St,10000.0
Hyde Park,HVAC,2026-08-24,Tacoma St,6500.0
Hyde Park,Electrical,2026-08-24,Halsey Rd,22890.64
Hyde Park,Electrical,2026-08-24,Summer St,10000.0
Hyde Park,Roofing,2026-08-24,Summit St,5740.0
Hyde Park,Plumbing,2026-08-24,Bradlee Pk,1500.0
Hyde Park,HVAC,2026-08-24,Highland St,2500.0
Hyde Park,Solar,2026-08-24,Taunton Av,68400.0
Hyde Park,Solar,2026-08-24,Perkins Av,35597.1
Hyde Park,Solar,2026-08-24,Yuill Ci,78600.0
Hyde Park,Solar,2026-08-24,Chesterfield St,114600.0
Hyde Park,Other,2026-08-24,Huntington Av,5000.0
Hyde Park,Electrical,2026-08-21,Summer St,10000.0
Hyde Park,Gas,2026-08-21,Poplar St,200.0
Hyde Park,Other,2026-08-21,River St,7202.58
Hyde Park,Other,2026-08-21,Arlington St,4942.68
Hyde Park,Other,2026-08-21,Norton St,8520.12
Hyde Park,Electrical,2026-08-21,Silvia Ct,600.0
Hyde Park,Solar,2026-08-21,Dell Av,26000.0
Hyde Park,Windows/Doors/Siding,2026-08-20,Chesterfield St,86000.0
Hyde Park,Kitchen/Bath,2026-08-20,West St,35000.0
Hyde Park,Electrical,2026-08-20,River St,3500.0
Hyde Park,Renovation/Remodel,2026-08-20,Highland St,1.0
Hyde Park,Electrical,2026-08-20,Avila Rd,3600.0
Hyde Park,Roofing,2026-08-20,Hyde Park Av,59900.0
Hyde Park,HVAC,2026-08-19,Clare Av,1000.0
Hyde Park,Electrical,2026-08-19,Dietz Rd,2000.0
Hyde Park,Renovation/Remodel,2026-08-19,Crane St,60000.0
Hyde Park,New Construction,2026-08-19,Bradlee St,600000.0
Hyde Park,HVAC,2026-08-19,River St,30400.0
Hyde Park,Electrical,2026-08-19,Harvard Av,1100.0
Hyde Park,Windows/Doors/Siding,2026-08-19,Stanbro St,28393.0
Hyde Park,Electrical,2026-08-19,Chesterfield St,4000.0
Hyde Park,Windows/Doors/Siding,2026-08-18,Senders Ct,42822.0
Hyde Park,Electrical,2026-08-18,Bradlee St,1200.0
Hyde Park,Other,2026-08-18,Tacoma St,10931.94
Hyde Park,Solar,2026-08-18,Newacre Rd,47700.0
Hyde Park,Solar,2026-08-18,Linwood St,63300.0
Hyde Park,Renovation/Remodel,2026-08-17,Lexington Av,
Hyde Park,Electrical,2026-08-17,Kovey Ct,13000.0
Hyde Park,Plumbing,2026-08-17,River St,3000.0
Hyde Park,Electrical,2026-08-17,Chesterfield St,9000.0
Hyde Park,Plumbing,2026-08-17,Windham Rd,6000.0
Hyde Park,Gas,2026-08-17,Westinghouse Pz,94000.0
Hyde Park,HVAC,2026-08-17,Westinghouse Pz,15125.0
Hyde Park,Electrical,2026-08-14,Park St,3000.0
Hyde Park,Renovation/Remodel,2026-08-14,Greenwood Av,1.0
Hyde Park,Plumbing,2026-08-14,Williams Av,8000.0
Hyde Park,Renovation/Remodel,2026-08-14,Williams Av,1.0
Hyde Park,Renovation/Remodel,2026-08-14,Business St,6000.0
Hyde Park,Electrical,2026-08-14,Readville St,500.0
Hyde Park,Electrical,2026-08-14,Chesterfield St,29180.75
Hyde Park,Electrical,2026-08-13,Neponset Valley Pw,3000.0
Hyde Park,Fire/Sprinkler,2026-08-13,Hyde Park Av,7000.0
Hyde Park,Roofing,2026-08-13,Warren Av,2400.0
Hyde Park,Solar,2026-08-13,Leighton Rd,35700.0
Hyde Park,Gas,2026-08-13,Hyde Park Av,6000.0
Hyde Park,HVAC,2026-08-13,Pine St,1200.0
Hyde Park,Electrical,2026-08-12,Summit St,20000.0
Hyde Park,Electrical,2026-08-12,Washington St,500.0
Hyde Park,Electrical,2026-08-12,Greenwood Av,2000.0
Hyde Park,Solar,2026-08-12,Summit St,84627.0
Hyde Park,Other,2026-08-12,Oak St,14937.99
Hyde Park,Electrical,2026-08-12,Hillis Rd,8000.0
Hyde Park,HVAC,2026-08-12,Summer St,100500.0
Hyde Park,Roofing,2026-08-12,Donna Te,6500.0
Hyde Park,Solar,2026-08-12,Chesterfield St,5000.0
Hyde Park,Plumbing,2026-08-12,Hillis Rd,10000.0
Hyde Park,HVAC,2026-08-11,Davison St,8000.0
Hyde Park,Roofing,2026-08-11,Donna Te,12000.0
Hyde Park,Kitchen/Bath,2026-08-11,Harvard Av,22000.0
Hyde Park,Electrical,2026-08-10,Spring Hill Rd,4000.0
Hyde Park,Roofing,2026-08-10,Highland St,13000.0
Hyde Park,Electrical,2026-08-10,Williams Av,3000.0
Hyde Park,Electrical,2026-08-10,Greenbrook Rd,7500.0
Hyde Park,Deck/Porch,2026-08-10,Pine Tree Ln,30000.0
Hyde Park,Other,2026-08-10,Poplar St,11786.77
Hyde Park,Gas,2026-08-07,Ernest Av,6500.0
Hyde Park,Electrical,2026-08-07,Neponset Av,5300.0
Hyde Park,Roofing,2026-08-07,Solaris Rd,13755.0
Hyde Park,Solar,2026-08-06,Windham Rd,57300.0
Hyde Park,Electrical,2026-08-06,Truman Pw,2264.78
Hyde Park,Renovation/Remodel,2026-08-06,Solaris Rd,
Hyde Park,Roofing,2026-08-06,Linwood St,16500.0
Hyde Park,Solar,2026-08-06,Prescott St,8749.4
Hyde Park,Other,2026-08-05,Summit St,9500.0
Hyde Park,Roofing,2026-08-05,Highland St,13990.0
Hyde Park,Roofing,2026-08-05,Beacon St,31413.0
Hyde Park,Solar,2026-08-05,Cranmore Rd,2415.0
Hyde Park,Roofing,2026-08-05,Austin St,24520.0
Hyde Park,Electrical,2026-08-05,Huntington Av,8.5
Hyde Park,Electrical,2026-08-05,Vallaro Rd,6500.0
Hyde Park,Plumbing,2026-08-05,Huntington Av,7000.0
Hyde Park,Plumbing,2026-08-05,Roxana St,6000.0
Hyde Park,Other,2026-08-05,Prospect St,6000.0
Hyde Park,Renovation/Remodel,2026-08-04,Westinghouse Pz,78000.0
Hyde Park,Renovation/Remodel,2026-08-04,Metropolitan Av,3630.2
Hyde Park,Electrical,2026-08-04,Needham Rd,3000.0
Hyde Park,Gas,2026-08-04,River St,1500.0
Hyde Park,Deck/Porch,2026-08-04,Business St,5000.0
Hyde Park,Roofing,2026-08-04,Poplar St,11000.0
Hyde Park,Electrical,2026-08-04,Huntington Av,850.0
Hyde Park,Plumbing,2026-08-04,Maple Leaf Dr,7500.0
Hyde Park,Solar,2026-08-04,Danny Rd,100800.0
Hyde Park,Solar,2026-08-04,River St,72300.0
Hyde Park,New Construction,2026-08-03,Hyde Park Av,5000.0
Hyde Park,Renovation/Remodel,2026-08-03,Arlington St,1.0
Hyde Park,Gas,2026-08-03,Chesterfield St,500.0
Hyde Park,Renovation/Remodel,2026-08-03,Stanbro St,1.0
Hyde Park,Renovation/Remodel,2026-08-03,Reservation Rd,11000.0
Hyde Park,HVAC,2026-08-03,Alwin St,5000.0
Hyde Park,Electrical,2026-08-03,Dana Av,500.0
Hyde Park,HVAC,2026-08-03,Roanoke Rd,1000.0
Hyde Park,Solar,2026-08-03,Sunnyside St,72900.0
Hyde Park,Plumbing,2026-07-31,Highland St,2293.0
Hyde Park,HVAC,2026-07-31,Warren Av,2000.0
Hyde Park,HVAC,2026-07-31,Ayles Rd,6500.0
Hyde Park,HVAC,2026-07-31,Ernest Av,6500.0
Hyde Park,Gas,2026-07-31,Lodgehill Rd,2500.0
Hyde Park,Solar,2026-07-31,Newacre Rd,47700.0
Hyde Park,Solar,2026-07-31,Summit St,59238.9
Hyde Park,Solar,2026-07-31,Linwood St,63300.0
Hyde Park,Solar,2026-07-31,Leighton Rd,35700.0
Hyde Park,Solar,2026-07-31,Danny Rd,100800.0
Hyde Park,Renovation/Remodel,2026-07-31,River St,21808.0
Hyde Park,Solar,2026-07-31,Sunnyside St,72900.0
Hyde Park,Solar,2026-07-31,Clare Av,70800.0
Hyde Park,Solar,2026-07-31,Norton St,56100.0
Hyde Park,Electrical,2026-07-30,Roxana St,20000.0
Hyde Park,Kitchen/Bath,2026-07-30,Needham Rd,39492.0
Hyde Park,Solar,2026-07-30,Donna Te,16000.0
