town,trade,issued_date,street_masked,valuation
Ipswich,Renovation/Remodel,2026-09-08,Plover Hill Rd,
Ipswich,Electrical,2026-09-08,Hodgkins Dr,
Ipswich,Renovation/Remodel,2026-09-08,Dartmouth Rd,
Ipswich,Renovation/Remodel,2026-09-08,Labor-In-Vain Rd,
Ipswich,Renovation/Remodel,2026-09-08,High St,
Ipswich,Sign/Awning,2026-09-08,South Main St,
Ipswich,Renovation/Remodel,2026-09-04,Skytop Rd,
Ipswich,Other,2026-09-04,Argilla Rd,
Ipswich,Renovation/Remodel,2026-09-04,Topsfield Rd,
Ipswich,Renovation/Remodel,2026-09-04,Lakemans Ln,
Ipswich,Plumbing,2026-09-03,Drumlin Rd,
Ipswich,Building,2026-09-03,Lafayette Rd Unit Str,
Ipswich,Renovation/Remodel,2026-09-03,Cape Ann Cr,
Ipswich,Gas,2026-09-03,County Rd,
Ipswich,Renovation/Remodel,2026-09-02,Argilla Rd,
Ipswich,Electrical,2026-09-02,Linebrook Rd,
Ipswich,Other,2026-09-02,Argilla Rd,
Ipswich,Other,2026-09-02,Pine St,
Ipswich,Renovation/Remodel,2026-09-02,Clark Rd,
Ipswich,Renovation/Remodel,2026-09-02,Hillside Rd,
Ipswich,Gas,2026-09-02,Lakemans Ln,
Ipswich,Electrical,2026-09-02,Lakemans Ln,
Ipswich,Renovation/Remodel,2026-09-02,Linebrook Rd,
Ipswich,Other,2026-09-02,Estes St,
Ipswich,Gas,2026-09-02,Linebrook Rd,
Ipswich,Building,2026-09-02,Central St,
Ipswich,Renovation/Remodel,2026-09-02,Lillian Dr,
Ipswich,Plumbing,2026-09-02,Lakemans Ln,
Ipswich,Renovation/Remodel,2026-09-02,Central St,
Ipswich,Renovation/Remodel,2026-09-01,County St,
Ipswich,Renovation/Remodel,2026-09-01,Congress St,
Ipswich,Gas,2026-09-01,Hodgkins Dr,
Ipswich,Electrical,2026-09-01,Island Park Rd,
Ipswich,Plumbing,2026-09-01,Hodgkins Dr,
Ipswich,Electrical,2026-09-01,Intervale Wy,
Ipswich,Electrical,2026-08-31,Congress St,
Ipswich,Renovation/Remodel,2026-08-31,Sagamore Rd,
Ipswich,Electrical,2026-08-31,Linebrook Rd,
Ipswich,Plumbing,2026-08-31,Cape Ann Cr,
Ipswich,Electrical,2026-08-31,South Village Green,
Ipswich,Electrical,2026-08-31,Wayne Av,
Ipswich,Plumbing,2026-08-28,High St,
Ipswich,Gas,2026-08-28,High St,
Ipswich,Renovation/Remodel,2026-08-28,Birch Ln,
Ipswich,Electrical,2026-08-28,Country Club Wy,
Ipswich,HVAC,2026-08-28,Argilla Rd,
Ipswich,Electrical,2026-08-28,High St,
Ipswich,Gas,2026-08-28,Bunker Hill Rd,
Ipswich,Renovation/Remodel,2026-08-28,Topsfield Rd,
Ipswich,Renovation/Remodel,2026-08-28,East St,
Ipswich,Electrical,2026-08-27,Mineral St,
Ipswich,Building,2026-08-27,Bunker Hill Rd - St,
Ipswich,Electrical,2026-08-27,East St,
Ipswich,Building,2026-08-27,County Rd - Str,
