town,trade,issued_date,street_masked,valuation
Jamaica Plain,Other,2026-07-24,Franklin Park Rd,6387.0
Jamaica Plain,Electrical,2026-07-24,John A. Andrew St,2300.0
Jamaica Plain,Plumbing,2026-07-24,Dunster Rd,2500.0
Jamaica Plain,New Construction,2026-07-24,Walnut Av,101897138.0
Jamaica Plain,Plumbing,2026-07-24,Wachusett St,6000.0
Jamaica Plain,Renovation/Remodel,2026-07-24,Centre St,850000.0
Jamaica Plain,Plumbing,2026-07-23,Yale Te,2900.0
Jamaica Plain,Electrical,2026-07-23,Hyde Park Av,8000.0
Jamaica Plain,Roofing,2026-07-23,Round Hill St,12950.0
Jamaica Plain,Roofing,2026-07-23,Bourne St,12749.0
Jamaica Plain,Roofing,2026-07-23,Robinwood Av,3000.0
Jamaica Plain,Electrical,2026-07-23,Pond St,15000.0
Jamaica Plain,Demolition,2026-07-23,Peter Parley Rd,11500.0
Jamaica Plain,HVAC,2026-07-23,Prince St,109331.0
Jamaica Plain,Electrical,2026-07-22,Chilcott Pl,6274.25
Jamaica Plain,Renovation/Remodel,2026-07-22,Wyman St,1000.0
Jamaica Plain,Kitchen/Bath,2026-07-22,Sheridan St,45800.0
Jamaica Plain,Kitchen/Bath,2026-07-22,Myrtle St,140000.0
Jamaica Plain,Roofing,2026-07-22,Perkins St,126954.06
Jamaica Plain,New Construction,2026-07-22,Ackley Pl,496180.0
Jamaica Plain,Solar,2026-07-22,Dalrymple St,21390.0
Jamaica Plain,HVAC,2026-07-22,Forest Hills St,2300.0
Jamaica Plain,HVAC,2026-07-22,South St,1500.0
Jamaica Plain,Other,2026-07-21,Union Av,4500.0
Jamaica Plain,Other,2026-07-21,Union Av,4800.0
Jamaica Plain,Roofing,2026-07-21,Saint Rose St,24370.0
Jamaica Plain,Renovation/Remodel,2026-07-21,Evergreen St,1.0
Jamaica Plain,Gas,2026-07-21,Sheridan St,1500.0
Jamaica Plain,Solar,2026-07-21,Park Pl,22632.0
Jamaica Plain,Renovation/Remodel,2026-07-21,Enfield St,1.0
Jamaica Plain,Other,2026-07-21,Westchester Rd,9623.74
Jamaica Plain,Roofing,2026-07-21,Child St,28591.0
Jamaica Plain,Solar,2026-07-21,Jess St,13511.55
