town,trade,issued_date,street_masked,valuation
Lee,Renovation/Remodel,2026-09-09,George St,
Lee,Renovation/Remodel,2026-09-09,Silver St,
Lee,Renovation/Remodel,2026-09-09,Cape St,
Lee,Renovation/Remodel,2026-09-08,Spring St,
Lee,Electrical,2026-09-08,Summer St,
Lee,Electrical,2026-09-04,Pleasant St,
Lee,Electrical,2026-09-03,Columbia St,
Lee,Electrical,2026-09-03,West Rd,
Lee,Renovation/Remodel,2026-09-03,Fernside Rd,
Lee,Renovation/Remodel,2026-09-03,Richmond Ave,
Lee,Building,2026-09-03,Main St,
Lee,Electrical,2026-09-03,Cape St,
Lee,Renovation/Remodel,2026-09-03,Woodland Rd,
Lee,Renovation/Remodel,2026-09-03,Fairview St,
Lee,Building,2026-09-02,Consolati Way,
Lee,Sign/Awning,2026-09-02,Park St,
Lee,Building,2026-09-02,Greylock St,
Lee,Building,2026-09-01,Summer St,
Lee,Renovation/Remodel,2026-09-01,Pine Ridge Dr,
Lee,Renovation/Remodel,2026-09-01,Golden Hill Rd,
Lee,Other,2026-09-01,Railroad St,
Lee,Building,2026-08-31,Pleasant St,
Lee,Plumbing,2026-08-31,Fox Run,
Lee,Gas,2026-08-31,Summer St,
Lee,Electrical,2026-08-31,Stockbridge Rd,
Lee,Renovation/Remodel,2026-08-31,Tamarack Ave,
Lee,Plumbing,2026-08-31,Tamarack Ave,
Lee,Renovation/Remodel,2026-08-31,Pine St,
Lee,Renovation/Remodel,2026-08-31,Center St,
Lee,Gas,2026-08-31,Leisure Lee Rd,
Lee,Gas,2026-08-31,West Center St,
Lee,Electrical,2026-08-31,Davis St,
Lee,Building,2026-08-28,Main St,
Lee,Electrical,2026-08-28,Pleasant St,
Lee,Electrical,2026-08-28,West Rd,
Lee,Electrical,2026-08-28,Stockbridge Rd,
Lee,Renovation/Remodel,2026-08-27,Cape St,
Lee,Renovation/Remodel,2026-08-27,Marble St,
Lee,Building,2026-08-27,Greylock St,
Lee,Electrical,2026-08-27,David Ave,
Lee,Electrical,2026-08-27,Tyringham Rd,
Lee,Electrical,2026-08-27,Lois St,
Lee,Renovation/Remodel,2026-08-26,Lois St,
Lee,Sign/Awning,2026-08-26,Water St,
Lee,Renovation/Remodel,2026-08-26,Laurel St,
Lee,Other,2026-08-24,East St,
Lee,Other,2026-08-24,Greylock St,
Lee,Renovation/Remodel,2026-08-24,West Rd,
Lee,Building,2026-08-24,Main St,
Lee,Renovation/Remodel,2026-08-24,Mallard Lane,
Lee,Renovation/Remodel,2026-08-24,Park St,
Lee,Electrical,2026-08-23,Marble St,
Lee,Renovation/Remodel,2026-08-21,Stockbridge Rd,
Lee,Electrical,2026-08-21,Spring St,
Lee,Gas,2026-08-21,Cone Ave,
Lee,Gas,2026-08-21,Stockbridge Terrace,
Lee,Gas,2026-08-21,Golden Hill Rd,
Lee,Electrical,2026-08-21,West Rd,
Lee,Renovation/Remodel,2026-08-20,Spring St,
Lee,Renovation/Remodel,2026-08-20,Lois St,
Lee,Renovation/Remodel,2026-08-20,Pine St,
Lee,Building,2026-08-19,Laurel St,
Lee,Building,2026-08-19,Laurel St - Building A,
