town,trade,issued_date,street_masked,valuation
Lenox,Renovation/Remodel,2026-09-10,Galway Ct,
Lenox,Other,2026-09-10,Main St,
Lenox,Building,2026-09-10,Old Stockbridge Rd,
Lenox,Gas,2026-09-09,Walker St,
Lenox,Other,2026-09-09,Pittsfield Rd,
Lenox,Electrical,2026-09-09,Pittsfield Rd,
Lenox,Gas,2026-09-09,Pittsfield Rd,
Lenox,Plumbing,2026-09-09,Main St,
Lenox,Electrical,2026-09-08,Sedgwick Lane,
Lenox,Renovation/Remodel,2026-09-08,Hubbard St,
Lenox,Other,2026-09-08,East St,
Lenox,Renovation/Remodel,2026-09-08,Hillside Dr,
Lenox,Electrical,2026-09-07,Kemble St,
Lenox,Electrical,2026-09-04,East St,
Lenox,Renovation/Remodel,2026-09-04,Housatonic St,
Lenox,Renovation/Remodel,2026-09-04,Jaynes Rd,
Lenox,Building,2026-09-04,Rolling Hills Condo,
Lenox,Other,2026-09-03,Pinecrest Dr,
Lenox,Other,2026-09-02,East St,
Lenox,Renovation/Remodel,2026-09-02,Pittsfield Rd,
Lenox,Renovation/Remodel,2026-09-02,Sunset Ave,
Lenox,Building,2026-09-02,Pittsfield Rd,
Lenox,Renovation/Remodel,2026-09-01,Shaylor Hill Rd,
Lenox,Electrical,2026-08-31,East St,
Lenox,Renovation/Remodel,2026-08-28,West St,
Lenox,Plumbing,2026-08-27,Stone Ledge Rd,
Lenox,Gas,2026-08-27,Cliffwood St,
Lenox,Gas,2026-08-27,Golden Hill Rd,
Lenox,Sign/Awning,2026-08-27,Main St,
Lenox,Renovation/Remodel,2026-08-27,Stone Ledge Rd,
Lenox,Building,2026-08-27,Holmes Road,
Lenox,Electrical,2026-08-27,Kemble St,
Lenox,Plumbing,2026-08-27,Housatonic St,
Lenox,Renovation/Remodel,2026-08-27,Wexford Ct,
Lenox,Renovation/Remodel,2026-08-26,Hubbard St,
Lenox,Renovation/Remodel,2026-08-26,Pittsfield Rd,
Lenox,Renovation/Remodel,2026-08-26,Housatonic St,
Lenox,Other,2026-08-26,East St,
Lenox,Building,2026-08-25,Patterson Road,
Lenox,Renovation/Remodel,2026-08-25,West Dugway Rd,
Lenox,Renovation/Remodel,2026-08-24,Walker St,
Lenox,Renovation/Remodel,2026-08-24,Cliffwood St,
Lenox,Renovation/Remodel,2026-08-24,Dunmore Ct,
Lenox,Gas,2026-08-23,Pittsfield Rd,
Lenox,Electrical,2026-08-23,Plunkett St,
Lenox,Plumbing,2026-08-23,East St,
Lenox,Electrical,2026-08-21,Housatonic St,
Lenox,Electrical,2026-08-21,Sherwood Dr,
Lenox,Electrical,2026-08-21,Plunkett St,
Lenox,Renovation/Remodel,2026-08-21,West St,
Lenox,Building,2026-08-20,Franklin St,
Lenox,Renovation/Remodel,2026-08-20,East Dugway Rd,
Lenox,Renovation/Remodel,2026-08-19,Wexford Ct,
Lenox,Renovation/Remodel,2026-08-19,Fairview Ave,
Lenox,Building,2026-08-17,Pittsfield Rd,
Lenox,Renovation/Remodel,2026-08-17,East St,
Lenox,Renovation/Remodel,2026-08-17,New Lenox Rd,
Lenox,Renovation/Remodel,2026-08-17,Crystal St,
Lenox,Renovation/Remodel,2026-08-17,Morgan St,
Lenox,Renovation/Remodel,2026-08-17,Plunkett St,
Lenox,Renovation/Remodel,2026-08-17,Old Stockbridge Rd,
Lenox,Plumbing,2026-08-15,Taconic Ave,
Lenox,Plumbing,2026-08-15,Mollie Way,
Lenox,Building,2026-08-14,East Street,
Lenox,Building,2026-08-14,Pittsfield Rd,
Lenox,Building,2026-08-14,West Street,
Lenox,Electrical,2026-08-14,Walker St,
Lenox,Electrical,2026-08-13,Housatonic St,
Lenox,Electrical,2026-08-13,Osceola Notch Rd,
Lenox,Renovation/Remodel,2026-08-12,Crystal St,
Lenox,Building,2026-08-12,Housatonic St,
Lenox,Building,2026-08-12,Church St,
Lenox,Building,2026-08-11,Pittsfield Rd,
Lenox,Building,2026-08-11,Pittsfield Road,
Lenox,Building,2026-08-10,Lee Rd (Resort),
Lenox,Renovation/Remodel,2026-08-10,Brunell Ave,
Lenox,Other,2026-08-10,East St,
Lenox,HVAC,2026-08-10,Pittsfield Rd,
Lenox,Renovation/Remodel,2026-08-10,East St,
Lenox,Electrical,2026-08-10,Main St,
Lenox,Renovation/Remodel,2026-08-07,East St,
Lenox,Plumbing,2026-08-07,Taconic Ave,
Lenox,Electrical,2026-08-06,Holmeswood Terr,
