town,trade,issued_date,street_masked,valuation
Lowell,Other,2026-06-30,Dublin St,
Lowell,Demolition,2026-06-30,Osgood St,25000.0
Lowell,Plumbing,2026-06-30,Willard St,100.0
Lowell,Plumbing,2026-06-30,Blodgett St,1500.0
Lowell,Plumbing,2026-06-30,Wedge St,2000.0
Lowell,Plumbing,2026-06-30,Avery St,5000.0
Lowell,Plumbing,2026-06-30,Pentucket Ave,10000.0
Lowell,Plumbing,2026-06-30,Rogers St,50000.0
Lowell,Windows/Doors/Siding,2026-06-30,Victoria St,60000.0
Lowell,Kitchen/Bath,2026-06-30,Princeton Blvd,20000.0
Lowell,Deck/Porch,2026-06-30,Carly Way,14000.0
Lowell,Demolition,2026-06-30,Gates St,8900.0
Lowell,Roofing,2026-06-30,Circle Rd,14245.0
Lowell,Deck/Porch,2026-06-30,Pine St,6500.0
Lowell,Other,2026-06-30,Myrtle St,7700.0
Lowell,Windows/Doors/Siding,2026-06-30,Fruit St,45536.0
Lowell,Roofing,2026-06-30,Totman St,7500.0
Lowell,HVAC,2026-06-30,Wentworth Ave,6000.0
Lowell,Other,2026-06-30,Bunker Hill St,9000.0
Lowell,Other,2026-06-30,Llewellyn St,7700.0
Lowell,Solar,2026-06-30,Lisa Ln,110100.0
Lowell,Solar,2026-06-30,Sprague Ave,38054.0
Lowell,Solar,2026-06-30,Meadowcroft St,
Lowell,Gas,2026-06-30,Wentworth Ave,7000.0
Lowell,HVAC,2026-06-30,Blodgett St,1500.0
Lowell,Gas,2026-06-30,Ware St,150.0
Lowell,Gas,2026-06-30,Pentucket Ave,1500.0
Lowell,Electrical,2026-06-30,Mt Washington St,5300.0
Lowell,Electrical,2026-06-30,Merrimack St,750.0
Lowell,Electrical,2026-06-30,Rutland St,1200.0
Lowell,HVAC,2026-06-30,Monadnock Ave,3500.0
Lowell,Electrical,2026-06-30,Rindo Park Dr,2000.0
Lowell,Electrical,2026-06-30,Caddell Ave Adu,9000.0
Lowell,Electrical,2026-06-30,Caddell Ave,9000.0
Lowell,Electrical,2026-06-30,Gates St,1800.0
Lowell,HVAC,2026-06-30,Whitney Ave,23900.0
Lowell,Electrical,2026-06-30,Twiss St,25000.0
Lowell,Electrical,2026-06-30,Hazeltine St,2300.0
Lowell,Electrical,2026-06-30,Thompsons Ct,2300.0
Lowell,Electrical,2026-06-30,Delaware Ave,400.0
Lowell,Electrical,2026-06-30,Dancause Rd,17000.0
Lowell,Electrical,2026-06-30,Wentworth Ave,7000.0
Lowell,Electrical,2026-06-30,Florence Rd,6000.0
Lowell,HVAC,2026-06-30,Lilley Ave,1500.0
Lowell,Electrical,2026-06-30,Freda Ln,1200.0
Lowell,Electrical,2026-06-30,Totman St,1200.0
Lowell,Electrical,2026-06-30,Forest St,1200.0
Lowell,Electrical,2026-06-30,W Adams St,28992.0
Lowell,Electrical,2026-06-30,Solomont Way,31627.0
Lowell,Electrical,2026-06-30,As Defined On App/Permit,6500.0
Lowell,Other,2026-06-30,Middlesex St,4200.0
Lowell,Plumbing,2026-06-29,Walker St,25000.0
Lowell,Plumbing,2026-06-29,Walker St,
Lowell,Plumbing,2026-06-29,Walker St,8334.0
Lowell,Kitchen/Bath,2026-06-29,Rindo Park Dr,9400.0
Lowell,Other,2026-06-29,Westview Rd,22985.0
Lowell,Solar,2026-06-29,Freda Ln,14137.0
Lowell,Windows/Doors/Siding,2026-06-29,S Whipple St,1500.0
Lowell,Deck/Porch,2026-06-29,Thornton Ave,9327.0
Lowell,Demolition,2026-06-29,Wamesit Ct,3000.0
Lowell,Windows/Doors/Siding,2026-06-29,High St,26414.0
Lowell,Roofing,2026-06-29,Pentucket Ave,15000.0
Lowell,Other,2026-06-29,Pleasant St,
Lowell,HVAC,2026-06-29,Market St,9376.0
Lowell,HVAC,2026-06-29,Walnut St,5000.0
Lowell,Solar,2026-06-29,Denton St,95385.0
Lowell,Solar,2026-06-29,Bolton St,78213.0
Lowell,Other,2026-06-29,Stratham St,10000.0
Lowell,HVAC,2026-06-29,Walker St,10000.0
Lowell,Gas,2026-06-29,Walker St,3334.0
Lowell,Electrical,2026-06-29,Cashin St,850.0
Lowell,Electrical,2026-06-29,Powell St,10000.0
