town,trade,issued_date,street_masked,valuation
Ludlow,Gas,2026-09-08,Haswell Circle,
Ludlow,Other,2026-09-08,Richard Street,
Ludlow,Other,2026-09-08,Cady Street,
Ludlow,Electrical,2026-09-08,Haswell Circle,
Ludlow,Plumbing,2026-09-08,Haswell Circle,
Ludlow,Other,2026-09-04,Aldo Drive,
Ludlow,Plumbing,2026-09-04,Chapin Street,
Ludlow,Other,2026-09-03,Woodside Road,
Ludlow,Electrical,2026-09-03,Lockland Street,
Ludlow,Gas,2026-09-03,Lockland Street,
Ludlow,Renovation/Remodel,2026-09-03,Florida Street,
Ludlow,Electrical,2026-09-03,Northwood Circle,
Ludlow,Electrical,2026-09-02,Blisswood Village Drive,
Ludlow,Building,2026-09-02,Rooney Road,
Ludlow,Plumbing,2026-09-02,Miller St,
Ludlow,Building,2026-09-02,Center Street,
Ludlow,Plumbing,2026-09-02,Randall Road,
Ludlow,Renovation/Remodel,2026-09-02,Lyon Street,
Ludlow,Electrical,2026-09-02,Winsor Street,
Ludlow,Building,2026-09-02,Norwood Street,
Ludlow,Building,2026-09-02,East Street,
Ludlow,Renovation/Remodel,2026-09-01,Ridgeview Circle,
Ludlow,Renovation/Remodel,2026-09-01,Genovevo Drive,
Ludlow,Electrical,2026-09-01,Elizabeth Drive,
Ludlow,Electrical,2026-09-01,Overlook Drive,
Ludlow,Renovation/Remodel,2026-09-01,Booth Street,
Ludlow,Building,2026-09-01,Chapin Street,
Ludlow,Renovation/Remodel,2026-09-01,Miller St,
Ludlow,Other,2026-09-01,Greenwich Street,
Ludlow,Building,2026-09-01,Letourneau Lane,
Ludlow,Renovation/Remodel,2026-09-01,Gilbert Street,
Ludlow,Electrical,2026-08-31,Winsor Street,
Ludlow,Renovation/Remodel,2026-08-31,Loopley Street,
Ludlow,Plumbing,2026-08-31,East Street,
Ludlow,Plumbing,2026-08-28,Overlook Drive,
Ludlow,Renovation/Remodel,2026-08-28,Alden Street,
Ludlow,Building,2026-08-27,Whitney Street (Lower),
Ludlow,Building,2026-08-27,State Street,
Ludlow,Gas,2026-08-27,East Street,
Ludlow,Other,2026-08-27,Oregon Avenue,
Ludlow,Gas,2026-08-26,Springmeadow Drive,
Ludlow,Electrical,2026-08-26,Newbury Street,
Ludlow,Renovation/Remodel,2026-08-26,Berkshire Street,
Ludlow,Renovation/Remodel,2026-08-26,Elm Street,
Ludlow,Renovation/Remodel,2026-08-26,Guertin Avenue,
Ludlow,Other,2026-08-26,West Street,
Ludlow,Renovation/Remodel,2026-08-26,Newbury Street,
Ludlow,Renovation/Remodel,2026-08-26,Victor Street,
Ludlow,Renovation/Remodel,2026-08-26,Fern Street,
Ludlow,Other,2026-08-26,Holyoke Street,
Ludlow,Renovation/Remodel,2026-08-26,Oak Knolls Circle,
Ludlow,Plumbing,2026-08-26,Guertin Avenue,
Ludlow,Renovation/Remodel,2026-08-26,Ridgeview Circle,
Ludlow,Electrical,2026-08-26,Springmeadow Drive,
Ludlow,Renovation/Remodel,2026-08-26,Woodside Road,
Ludlow,Renovation/Remodel,2026-08-26,Holyoke Street,
Ludlow,Renovation/Remodel,2026-08-26,Fox Hill Road,
Ludlow,Renovation/Remodel,2026-08-26,Williams Street,
Ludlow,Electrical,2026-08-25,Daisy Lane,
Ludlow,Renovation/Remodel,2026-08-25,Bridle Path Circle,
Ludlow,Renovation/Remodel,2026-08-25,Lyon Street,
Ludlow,Electrical,2026-08-25,Lyon Street,
Ludlow,Other,2026-08-25,West Street,
Ludlow,Renovation/Remodel,2026-08-25,Daisy Lane,
Ludlow,HVAC,2026-08-25,Cedar Street,
Ludlow,Electrical,2026-08-25,Szlosek Road,
Ludlow,Gas,2026-08-25,East Street,
Ludlow,Renovation/Remodel,2026-08-25,Szlosek Road,
Ludlow,Gas,2026-08-24,Chapin Greene Drive,
Ludlow,Renovation/Remodel,2026-08-24,Winsor Street,
Ludlow,Electrical,2026-08-24,East Street,
Ludlow,Renovation/Remodel,2026-08-24,Hill Terrace,
Ludlow,Gas,2026-08-24,Lakeview Avenue,
Ludlow,Electrical,2026-08-24,Greenwich Street,
Ludlow,Electrical,2026-08-24,Chapin Greene Drive,
Ludlow,Renovation/Remodel,2026-08-24,Balsam Hill Road,
Ludlow,HVAC,2026-08-24,East Street,
Ludlow,Renovation/Remodel,2026-08-24,Motyka,
Ludlow,Electrical,2026-08-24,Pondview Drive,
Ludlow,Plumbing,2026-08-24,Lakeview Avenue,
Ludlow,Renovation/Remodel,2026-08-24,Lawton Street,
Ludlow,Renovation/Remodel,2026-08-21,Balsam Hill Road,
Ludlow,Other,2026-08-21,Essex Street,
Ludlow,Plumbing,2026-08-21,Elm Street,
Ludlow,HVAC,2026-08-20,Poole Street,
Ludlow,Renovation/Remodel,2026-08-20,Center Street,
Ludlow,Renovation/Remodel,2026-08-20,Beachside Drive,
Ludlow,Renovation/Remodel,2026-08-20,Alden Street,
Ludlow,Renovation/Remodel,2026-08-20,Brook St,
Ludlow,Other,2026-08-20,Benton Street,
Ludlow,Building,2026-08-20,Westover Road,
Ludlow,Renovation/Remodel,2026-08-20,East Street,
Ludlow,Electrical,2026-08-20,Alden Street,
Ludlow,Electrical,2026-08-20,Paulding Road,
Ludlow,Renovation/Remodel,2026-08-20,Lockland Street,
Ludlow,Other,2026-08-20,Richmond Road,
Ludlow,Electrical,2026-08-20,East Akard Street,
Ludlow,Gas,2026-08-20,Colonial Drive,
Ludlow,Electrical,2026-08-20,Franklin Street,
Ludlow,Renovation/Remodel,2026-08-20,Woodside Road,
Ludlow,Electrical,2026-08-20,Lockland Street,
Ludlow,Electrical,2026-08-20,East Street,
Ludlow,Renovation/Remodel,2026-08-20,Paulding Road,
Ludlow,Plumbing,2026-08-19,Haswell Circle,
Ludlow,Renovation/Remodel,2026-08-19,Franklin Street,
Ludlow,Renovation/Remodel,2026-08-19,Arch Street,
Ludlow,Electrical,2026-08-19,Haswell Circle,
Ludlow,Renovation/Remodel,2026-08-19,Chapin Street,
Ludlow,Plumbing,2026-08-19,Kendall Street,
Ludlow,Electrical,2026-08-19,Watson Lane,
Ludlow,Gas,2026-08-19,Haswell Circle,
Ludlow,Renovation/Remodel,2026-08-18,Stevens Street,
Ludlow,Plumbing,2026-08-18,Motyka Street,
Ludlow,Other,2026-08-18,Center Street,
Ludlow,Renovation/Remodel,2026-08-18,Glenwood Street,
Ludlow,Electrical,2026-08-17,Rood Street,
Ludlow,Gas,2026-08-17,Alden Street,
Ludlow,Renovation/Remodel,2026-08-17,Overlook Drive,
Ludlow,Renovation/Remodel,2026-08-17,Chapin Street,
Ludlow,Electrical,2026-08-17,Watson Lane,
Ludlow,Gas,2026-08-17,Heritage Drive,
Ludlow,Renovation/Remodel,2026-08-17,Park Terrace,
Ludlow,Other,2026-08-14,East Street,
Ludlow,Renovation/Remodel,2026-08-14,Cardinal Circle,
Ludlow,Other,2026-08-14,Cady Street,
Ludlow,Other,2026-08-14,Center Street,
Ludlow,Other,2026-08-14,Berkshire Street,
Ludlow,Renovation/Remodel,2026-08-14,Warren Street,
Ludlow,Other,2026-08-14,Williams Street,
Ludlow,Plumbing,2026-08-13,Pondview Drive,
Ludlow,Renovation/Remodel,2026-08-13,Highland Avenue,
Ludlow,Electrical,2026-08-13,Chapin Street,
Ludlow,Renovation/Remodel,2026-08-12,Springmeadow Drive,
Ludlow,Plumbing,2026-08-12,Balsam Hill,
Ludlow,Electrical,2026-08-12,Moody Street,
Ludlow,Gas,2026-08-12,Balsam Hill,
Ludlow,Gas,2026-08-12,Wood Drive,
Ludlow,Electrical,2026-08-12,Pine Street,
Ludlow,Building,2026-08-12,East Street,
Ludlow,Electrical,2026-08-12,Pondview Drive,
Ludlow,HVAC,2026-08-12,Balsam Hill,
Ludlow,Renovation/Remodel,2026-08-11,John Street,
Ludlow,Renovation/Remodel,2026-08-11,Fuller Street,
Ludlow,Renovation/Remodel,2026-08-11,Harlan Street,
Ludlow,Gas,2026-08-11,Cislak Drive,
Ludlow,Other,2026-08-11,Winsor Street,
Ludlow,Electrical,2026-08-11,John Street,
Ludlow,Renovation/Remodel,2026-08-10,Highland Avenue,
Ludlow,Other,2026-08-10,Miller Street,
Ludlow,Renovation/Remodel,2026-08-10,West Street,
Ludlow,Renovation/Remodel,2026-08-10,Barna Street,
Ludlow,Gas,2026-08-10,Carol Street,
Ludlow,Electrical,2026-08-10,Swan Avenue,
Ludlow,Plumbing,2026-08-10,Carol Street,
Ludlow,Renovation/Remodel,2026-08-07,Paulding Road,
Ludlow,Other,2026-08-07,Sunset Ridge,
Ludlow,Other,2026-08-07,Winsor Street,
Ludlow,Gas,2026-08-07,Cislak Drive,
Ludlow,Gas,2026-08-07,Haviland Street,
Ludlow,Renovation/Remodel,2026-08-07,Colonial Drive,
Ludlow,Electrical,2026-08-07,Paulding Road,
Ludlow,Renovation/Remodel,2026-08-07,Watson Lane,
Ludlow,Building,2026-08-07,Center Street,
Ludlow,Electrical,2026-08-07,Haviland Street,
Ludlow,Renovation/Remodel,2026-08-06,Amherst Street,
Ludlow,Electrical,2026-08-06,Benton Street,
