town,trade,issued_date,street_masked,valuation
Malden,Roofing,2026-09-08,Crawford St,
Malden,Addition,2026-09-08,Walnut St,
Malden,Addition,2026-09-08,Floral Ave,
Malden,Addition,2026-09-08,Fairmont St,
Malden,Solar,2026-09-08,Emerald St,
Malden,HVAC,2026-09-08,Main St,
Malden,Gas,2026-09-08,Madison St,
Malden,Plumbing,2026-09-08,Madison St,
Malden,Roofing,2026-09-08,Pearl St,
Malden,Deck/Porch,2026-09-08,Ferry St,
Malden,Electrical,2026-09-08,Linden Ave,
Malden,Addition,2026-09-08,Waite St,
Malden,Roofing,2026-09-08,Lawrence St,
Malden,HVAC,2026-09-08,Forest St,
Malden,HVAC,2026-09-08,Concord St,
Malden,Plumbing,2026-09-08,Clifton St,
Malden,HVAC,2026-09-08,Pleasant St,
Malden,HVAC,2026-09-04,Washington St,
Malden,Windows/Doors/Siding,2026-09-03,Desmond Rd,
Malden,HVAC,2026-09-03,Mountain Ave,
Malden,Other,2026-09-03,Florence St,
Malden,Addition,2026-09-03,Beltran St,
Malden,Deck/Porch,2026-09-03,Second St,
Malden,Roofing,2026-09-03,North Milton St,
Malden,Deck/Porch,2026-09-03,Pine St,
Malden,Addition,2026-09-03,Holmes St,
Malden,Other,2026-09-03,Irving St,
Malden,Windows/Doors/Siding,2026-09-03,Wallace St,
Malden,Addition,2026-09-03,Broadway,
Malden,Electrical,2026-09-03,Columbia St,
Malden,Electrical,2026-09-03,Waverly St,
Malden,Electrical,2026-09-03,Rivers Ln,
Malden,Roofing,2026-09-03,Kernwood St,
Malden,Solar,2026-09-02,Hadley St,
Malden,Windows/Doors/Siding,2026-09-02,Cliff St,
Malden,Addition,2026-09-02,Cherry St,
Malden,Addition,2026-09-02,Bainbridge St,
Malden,Roofing,2026-09-02,Lillian Rd,
Malden,Windows/Doors/Siding,2026-09-02,Lynn St,
Malden,Windows/Doors/Siding,2026-09-02,Loomis St,
Malden,Addition,2026-09-02,Blomerth St,
Malden,Roofing,2026-09-02,Glen St,
Malden,Windows/Doors/Siding,2026-09-02,Forest St,
Malden,Plumbing,2026-09-02,Waite St,
Malden,Deck/Porch,2026-09-02,Franklin St,
Malden,Other,2026-09-02,Summer St,
Malden,Deck/Porch,2026-09-02,Bond St,
Malden,Kitchen/Bath,2026-09-02,Glen St,
Malden,Addition,2026-09-02,Franklin St,
Malden,Plumbing,2026-09-02,Highland Ct,
Malden,Plumbing,2026-09-02,Faulkner St,
Malden,Electrical,2026-09-02,Webster St,
Malden,Electrical,2026-09-02,Pleasant St,
Malden,Electrical,2026-09-02,Highland Ave,
Malden,Electrical,2026-09-02,Fairview Ave,
Malden,Electrical,2026-09-02,Webster Ct,
Malden,Electrical,2026-09-02,Knoll St,
Malden,Electrical,2026-09-02,Norwood St,
Malden,Electrical,2026-09-02,Avon St,
Malden,Electrical,2026-09-02,Fellsway E,
Malden,HVAC,2026-09-02,West St,
Malden,Electrical,2026-09-02,Holmes St,
Malden,Windows/Doors/Siding,2026-09-01,Beach St,
Malden,Deck/Porch,2026-09-01,Malden St,
Malden,Other,2026-09-01,Eastern Ave,
Malden,Other,2026-09-01,Florence St,
Malden,Windows/Doors/Siding,2026-09-01,Summer St,
Malden,HVAC,2026-09-01,Pleasant St,
Malden,Addition,2026-09-01,Rockwell St,
Malden,Solar,2026-09-01,Ridge Hill Ave,
Malden,Plumbing,2026-09-01,Waverly St,
Malden,Electrical,2026-09-01,Walnut St,
Malden,Solar,2026-09-01,Rockwell St,
Malden,Electrical,2026-09-01,Arch St,
Malden,Plumbing,2026-08-31,Webster Ct,
Malden,Plumbing,2026-08-31,Florence St,
Malden,Plumbing,2026-08-31,West St,
Malden,HVAC,2026-08-31,West St,
Malden,Plumbing,2026-08-31,Gibson St,
Malden,HVAC,2026-08-31,James St,
Malden,Addition,2026-08-31,Chatham Street Ex,
Malden,Addition,2026-08-31,Ingleside Ave,
Malden,Addition,2026-08-31,Clifton St,
Malden,Windows/Doors/Siding,2026-08-31,Baker St,
Malden,Windows/Doors/Siding,2026-08-31,Oxford St,
Malden,Electrical,2026-08-31,Exchange St,
Malden,Electrical,2026-08-31,Shawmut St,
Malden,Windows/Doors/Siding,2026-08-31,Dennis Rd,
