town,trade,issued_date,street_masked,valuation
Mansfield,Renovation/Remodel,2026-08-20,Leonard St,
Mansfield,Renovation/Remodel,2026-08-20,Riverside Dr,
Mansfield,Building,2026-08-20,School St,
Mansfield,Electrical,2026-08-20,Bonney Ln,
Mansfield,Electrical,2026-08-20,North White Pine Ln,
Mansfield,Building,2026-08-20,Fulton Pl,
Mansfield,Building,2026-08-20,Pratt St,
Mansfield,HVAC,2026-08-20,Old Stable Dr,
Mansfield,Renovation/Remodel,2026-08-20,Spring St,
Mansfield,Building,2026-08-20,Branch St,
Mansfield,Plumbing,2026-08-19,East St,
Mansfield,Renovation/Remodel,2026-08-19,Willow St,
Mansfield,Renovation/Remodel,2026-08-19,South Main St,
Mansfield,Plumbing,2026-08-19,Lot Cobb St,
Mansfield,Gas,2026-08-19,Chauncy St,
Mansfield,Gas,2026-08-19,Fieldstone Dr,
Mansfield,Plumbing,2026-08-19,Fieldstone Dr,
Mansfield,Gas,2026-08-19,East St,
Mansfield,Renovation/Remodel,2026-08-19,Carriage House Ln,
Mansfield,Electrical,2026-08-19,Central St,
Mansfield,Renovation/Remodel,2026-08-19,Henry St,
Mansfield,Plumbing,2026-08-19,Mansfield Ave,
Mansfield,Gas,2026-08-19,Lot Cobb St,
Mansfield,Renovation/Remodel,2026-08-18,Riverwood Dr,
Mansfield,Plumbing,2026-08-18,Hall St,
Mansfield,Electrical,2026-08-18,Old Farm Rd,
Mansfield,Electrical,2026-08-18,Old Stable Dr,
Mansfield,Plumbing,2026-08-18,Charles St,
Mansfield,Renovation/Remodel,2026-08-18,Judys Ln,
Mansfield,Renovation/Remodel,2026-08-18,East St,
Mansfield,Electrical,2026-08-18,Copeland Dr,
Mansfield,Electrical,2026-08-18,Goward Dr,
Mansfield,Renovation/Remodel,2026-08-18,Williams St,
Mansfield,Electrical,2026-08-18,Spring St,
Mansfield,Electrical,2026-08-18,South Main St,
Mansfield,Plumbing,2026-08-17,Spring St,
Mansfield,Renovation/Remodel,2026-08-17,Cobbler Rd,
Mansfield,Renovation/Remodel,2026-08-17,Timberline Dr,
Mansfield,Renovation/Remodel,2026-08-17,Southpark Ln,
Mansfield,HVAC,2026-08-17,(Lot Cobb St,
Mansfield,Gas,2026-08-17,Lincoln Rd,
Mansfield,Renovation/Remodel,2026-08-17,Pratt St,
Mansfield,Gas,2026-08-17,South White Pine Ln,
Mansfield,HVAC,2026-08-17,Church St,
Mansfield,Electrical,2026-08-17,Cobb Street,
Mansfield,Electrical,2026-08-17,Donegal Way,
Mansfield,Renovation/Remodel,2026-08-17,Knight Way,
Mansfield,Gas,2026-08-17,Spring St,
Mansfield,Renovation/Remodel,2026-08-17,Black Pond Rd,
Mansfield,Renovation/Remodel,2026-08-17,Gilbert St,
Mansfield,Electrical,2026-08-17,Reservoir St,
Mansfield,Building,2026-08-17,West St,
Mansfield,Gas,2026-08-17,Deer Path Ln,
Mansfield,Electrical,2026-08-13,Church St,
Mansfield,Renovation/Remodel,2026-08-13,Franklin St,
Mansfield,Sign/Awning,2026-08-13,School St,
Mansfield,Renovation/Remodel,2026-08-13,South White Pine Ln,
Mansfield,Renovation/Remodel,2026-08-13,Fisher Ln,
Mansfield,Renovation/Remodel,2026-08-11,Park Street,
Mansfield,Gas,2026-08-11,Surrey Dr,
Mansfield,Renovation/Remodel,2026-08-11,Elm St (Adu),
Mansfield,Electrical,2026-08-11,Oak Leaf Dr,
Mansfield,HVAC,2026-08-11,Stanley Cir,
Mansfield,Renovation/Remodel,2026-08-11,Gilbert St,
Mansfield,Renovation/Remodel,2026-08-11,Ware St,
Mansfield,Electrical,2026-08-11,Charles St,
Mansfield,Renovation/Remodel,2026-08-11,Willow St,
Mansfield,Gas,2026-08-10,Tremont St,
Mansfield,Gas,2026-08-10,Stearns Ave,
Mansfield,Renovation/Remodel,2026-08-10,Gladiola Ter,
Mansfield,Renovation/Remodel,2026-08-10,South St,
Mansfield,HVAC,2026-08-10,Nathan Rd,
Mansfield,Renovation/Remodel,2026-08-10,Church St,
Mansfield,Electrical,2026-08-10,River Edge Rd,
Mansfield,Plumbing,2026-08-10,Lincoln Rd,
Mansfield,Plumbing,2026-08-10,Campbell St,
Mansfield,Plumbing,2026-08-10,Suffolk Rd,
Mansfield,Renovation/Remodel,2026-08-10,Old Elm St,
Mansfield,Plumbing,2026-08-10,Central St,
Mansfield,Plumbing,2026-08-10,Stearns Ave,
Mansfield,Renovation/Remodel,2026-08-10,Harding Ln,
Mansfield,Renovation/Remodel,2026-08-10,Carriage House Ln,
Mansfield,Renovation/Remodel,2026-08-10,Sturbridge Dr,
Mansfield,Plumbing,2026-08-10,James St,
Mansfield,Electrical,2026-08-10,Mill St,
Mansfield,Renovation/Remodel,2026-08-10,Bird Rd,
Mansfield,Electrical,2026-08-07,Heather Ln,
Mansfield,Renovation/Remodel,2026-08-06,Mill St,
Mansfield,Renovation/Remodel,2026-08-06,James St,
Mansfield,Building,2026-08-06,Stearns Ave,
Mansfield,Building,2026-08-06,Pine Needle Ln,
Mansfield,Electrical,2026-08-06,Old Stable Dr,
Mansfield,Renovation/Remodel,2026-08-06,East St,
Mansfield,Electrical,2026-08-06,Wicklow Ln,
Mansfield,Renovation/Remodel,2026-08-05,Judys Ln,
Mansfield,Plumbing,2026-08-05,Warren Ave,
Mansfield,Plumbing,2026-08-05,Carriage House Ln,
Mansfield,Electrical,2026-08-05,East St,
Mansfield,HVAC,2026-08-05,Hope St,
Mansfield,Electrical,2026-08-04,Harvestwood Ln,
Mansfield,Electrical,2026-08-04,Westview Dr,
Mansfield,Renovation/Remodel,2026-08-04,Branch St,
Mansfield,Electrical,2026-08-04,Elm St,
Mansfield,Plumbing,2026-08-04,Coral St,
Mansfield,Electrical,2026-08-04,School St,
Mansfield,Electrical,2026-08-04,Mill St,
Mansfield,Gas,2026-08-03,Denwood St,
Mansfield,Electrical,2026-08-03,Norfolk St,
Mansfield,Gas,2026-08-03,Davis St,
Mansfield,Electrical,2026-08-03,Forbes Blvd,
Mansfield,Plumbing,2026-08-03,Davis St,
Mansfield,Renovation/Remodel,2026-07-31,Carriage House Ln,
Mansfield,Renovation/Remodel,2026-07-31,Stillbrook Ln,
Mansfield,Renovation/Remodel,2026-07-31,Jacob Dr,
Mansfield,Electrical,2026-07-31,Spring St,
Mansfield,HVAC,2026-07-31,Jennifer Dr,
Mansfield,Electrical,2026-07-31,Cowan Ln,
Mansfield,Renovation/Remodel,2026-07-31,North White Pine Ln,
Mansfield,Renovation/Remodel,2026-07-30,Willow St,
Mansfield,Plumbing,2026-07-30,Maple St,
Mansfield,Renovation/Remodel,2026-07-30,Michael Ln,
Mansfield,Renovation/Remodel,2026-07-30,Maple St,
Mansfield,Electrical,2026-07-30,Old Stable Dr,
Mansfield,Electrical,2026-07-29,Surrey Dr,
Mansfield,Building,2026-07-29,Norfolk St,
Mansfield,Renovation/Remodel,2026-07-29,West St (Adu),
Mansfield,Renovation/Remodel,2026-07-29,Ware St,
Mansfield,Renovation/Remodel,2026-07-29,Chestnut St,
Mansfield,Gas,2026-07-29,East St,
Mansfield,Electrical,2026-07-29,Otis St,
Mansfield,Plumbing,2026-07-29,Plymouth St,
Mansfield,Building,2026-07-29,Francis Ave,
Mansfield,Renovation/Remodel,2026-07-29,Wicklow Ln,
Mansfield,Electrical,2026-07-29,School St,
