town,trade,issued_date,street_masked,valuation
Mattapan,Kitchen/Bath,2026-08-17,Adams St,285000.0
Mattapan,Electrical,2026-08-17,Mariposa St,3000.0
Mattapan,Plumbing,2026-08-16,River St,1100.0
Mattapan,HVAC,2026-08-14,Groveland St,5000.0
Mattapan,Plumbing,2026-08-14,Groveland St,20000.0
Mattapan,Plumbing,2026-08-14,Mildred Av,25000.0
Mattapan,Electrical,2026-08-13,Mariposa St,5500.0
Mattapan,Kitchen/Bath,2026-08-13,Mariposa St,92300.0
Mattapan,Electrical,2026-08-12,Groveland St,1200.0
Mattapan,Electrical,2026-08-12,Ridgeview Av,600.0
Mattapan,Electrical,2026-08-12,Ridgeview Av,9000.0
Mattapan,Windows/Doors/Siding,2026-08-12,Rugby Rd,11267.0
Mattapan,Electrical,2026-08-11,Oakridge St,35000.0
Mattapan,Plumbing,2026-08-11,Oakcrest Rd,1400.0
Mattapan,Solar,2026-08-10,River St,112755.0
Mattapan,Roofing,2026-08-10,W Selden St,19543.0
Mattapan,Roofing,2026-08-10,Ridlon Rd,23920.0
Mattapan,Solar,2026-08-10,Alabama St,65700.0
Mattapan,Renovation/Remodel,2026-08-07,River St,23700.0
Mattapan,Deck/Porch,2026-08-07,Mariposa St,12800.0
Mattapan,Other,2026-08-07,Evelyn St,5000.0
Mattapan,Solar,2026-08-06,Itasca St,32100.0
Mattapan,Electrical,2026-08-06,Itasca St,2200.0
Mattapan,Electrical,2026-08-06,Massasoit St,2500.0
Mattapan,Electrical,2026-08-06,Norfolk St,32805.9
Mattapan,Electrical,2026-08-06,Adams St,4000.0
Mattapan,Plumbing,2026-08-06,Adams St,3000.0
Mattapan,Electrical,2026-08-06,Morton St,14000.0
Mattapan,HVAC,2026-08-06,Manchester St,5000.0
Mattapan,Windows/Doors/Siding,2026-08-05,Norfolk St,8000.0
Mattapan,Windows/Doors/Siding,2026-08-05,W Selden St,15097.0
Mattapan,Electrical,2026-08-05,Orlando St,7500.0
Mattapan,Kitchen/Bath,2026-08-05,Cedar St,27000.0
Mattapan,Plumbing,2026-08-04,Outlook Rd,16000.0
Mattapan,Plumbing,2026-08-04,Hebron St,4000.0
Mattapan,Plumbing,2026-08-04,Hillsboro Rd,650.0
Mattapan,Solar,2026-08-04,Mariposa St,36900.0
Mattapan,Solar,2026-08-04,Alabama St,65700.0
Mattapan,Solar,2026-08-04,Estella St,101700.0
Mattapan,Solar,2026-08-03,Ridgeview Av,71739.0
Mattapan,Solar,2026-07-31,Ormond St,5596.5
Mattapan,HVAC,2026-07-31,Deering Rd,3500.0
Mattapan,HVAC,2026-07-31,Monponset St,7000.0
Mattapan,HVAC,2026-07-31,Leston St,20000.0
Mattapan,Solar,2026-07-31,Estella St,101700.0
Mattapan,Electrical,2026-07-31,Greenfield Rd,4000.0
Mattapan,Electrical,2026-07-31,Caryll St,2200.0
Mattapan,Solar,2026-07-31,Ridgeview Av,50217.3
Mattapan,Electrical,2026-07-31,Cedar St,1000.0
Mattapan,Electrical,2026-07-31,Almont St,500.0
Mattapan,Electrical,2026-07-31,Duxbury Rd,15000.0
Mattapan,Other,2026-07-31,River St,11478.23
Mattapan,Electrical,2026-07-30,W Selden St,2000.0
Mattapan,Electrical,2026-07-30,W Selden St,11000.0
Mattapan,Windows/Doors/Siding,2026-07-30,Halborn St,100000.0
Mattapan,Roofing,2026-07-30,Ridgeview Av,12400.0
Mattapan,Electrical,2026-07-30,Rexford St,400.0
Mattapan,Plumbing,2026-07-29,Ruskindale Rd,1000.0
Mattapan,Electrical,2026-07-29,Faunce Rd,11500.0
Mattapan,Plumbing,2026-07-29,Halborn St,1200.0
Mattapan,Electrical,2026-07-29,Rexford St,2400.0
Mattapan,Roofing,2026-07-29,Tiverton Rd,8600.0
Mattapan,Electrical,2026-07-28,Mildred Av,40000.0
Mattapan,Electrical,2026-07-27,Gallivan Bl,1200.0
Mattapan,Electrical,2026-07-27,Mamelon Ci,1200.0
Mattapan,Plumbing,2026-07-27,Rexford St,2500.0
Mattapan,Solar,2026-07-27,Brockton St,33300.0
Mattapan,Solar,2026-07-27,Regis Rd,53400.0
Mattapan,Solar,2026-07-27,Groveland St,33335.05
Mattapan,Roofing,2026-07-24,Leston St,10500.0
