town,trade,issued_date,street_masked,valuation
Merrimac,Electrical,2026-09-22,Bear Hill Rd,
Merrimac,Gas,2026-09-22,Hansom Dr,
Merrimac,Electrical,2026-09-22,Union St Ex,
Merrimac,Kitchen/Bath,2026-09-22,Freedom Wy,
Merrimac,Electrical,2026-09-21,East Main St,
Merrimac,HVAC,2026-09-21,Woodland St,
Merrimac,Demolition,2026-09-21,River Rd,
Merrimac,Gas,2026-09-21,West Main St,
Merrimac,Building,2026-09-17,School St,
Merrimac,Plumbing,2026-09-16,West Parish Ln,
Merrimac,Electrical,2026-09-16,Abbott St,
Merrimac,Electrical,2026-09-15,Liberty St,
Merrimac,Electrical,2026-09-15,Pine Bluff Av,
Merrimac,Kitchen/Bath,2026-09-15,Village Dr,
Merrimac,Windows/Doors/Siding,2026-09-14,River Rd,
Merrimac,Electrical,2026-09-14,Sunset Tr,
Merrimac,Electrical,2026-09-14,Fairfield Av,
Merrimac,HVAC,2026-09-14,Birchmeadow Rd,
Merrimac,Plumbing,2026-09-10,West Parish Ln,
Merrimac,Electrical,2026-09-10,Pine St,
Merrimac,HVAC,2026-09-10,Gunnison Dr,
Merrimac,Fire/Sprinkler,2026-09-10,West Main St,
Merrimac,Building,2026-09-08,River Rd,
Merrimac,Other,2026-09-08,Summer St,
Merrimac,Electrical,2026-09-08,Little Pond Rd,
Merrimac,HVAC,2026-09-08,Broad St,
Merrimac,Building,2026-09-08,Nichols St,
