town,trade,issued_date,street_masked,valuation
Milton,Electrical,2026-08-14,Adams St,
Milton,Renovation/Remodel,2026-08-14,Morton Rd,
Milton,Building,2026-08-14,Centre Street,
Milton,HVAC,2026-08-13,Woodchester Dr,
Milton,Gas,2026-08-13,Marilyn Rd,
Milton,Plumbing,2026-08-13,Canton Av,
Milton,Plumbing,2026-08-13,Marilyn Rd,
Milton,Electrical,2026-08-13,Columbine Rd,
Milton,Electrical,2026-08-13,Churchill St,
Milton,Electrical,2026-08-13,Adams St,
Milton,Electrical,2026-08-13,Parkwood Dr,
Milton,Plumbing,2026-08-13,Churchills Ln,
Milton,Electrical,2026-08-13,Highland St,
Milton,Plumbing,2026-08-13,Pleasant St,
Milton,Electrical,2026-08-13,Forest St,
Milton,Electrical,2026-08-13,Whittier Rd,
Milton,Gas,2026-08-12,Atherton St,
Milton,Plumbing,2026-08-12,Smith Rd,
Milton,Renovation/Remodel,2026-08-12,Rockwell Av,
Milton,Renovation/Remodel,2026-08-12,Brook Rd,
Milton,Electrical,2026-08-12,Canton Av,
Milton,Electrical,2026-08-12,Austin St,
Milton,Renovation/Remodel,2026-08-11,Hilltop St,
Milton,Renovation/Remodel,2026-08-11,Lodge St,
Milton,Electrical,2026-08-11,Trout Brook Av,
Milton,Renovation/Remodel,2026-08-11,Elm St,
Milton,Renovation/Remodel,2026-08-11,Canton Av,
Milton,Renovation/Remodel,2026-08-11,Sassamon Ave,
Milton,Electrical,2026-08-11,Capen St,
Milton,Other,2026-08-11,Blue Hills Pw,
Milton,Renovation/Remodel,2026-08-10,Capen St,
Milton,Plumbing,2026-08-10,Howe St,
Milton,Electrical,2026-08-10,Brush Hill Rd,
Milton,Renovation/Remodel,2026-08-10,Brandon Rd,
Milton,Electrical,2026-08-10,Marilyn Rd,
Milton,Renovation/Remodel,2026-08-10,Brae Burn Rd,
Milton,Renovation/Remodel,2026-08-10,Myers Ln,
Milton,Renovation/Remodel,2026-08-10,Canton Av,
Milton,Electrical,2026-08-10,Pleasant St,
Milton,Gas,2026-08-10,Canton Av,
Milton,Renovation/Remodel,2026-08-10,Eaton St,
Milton,Renovation/Remodel,2026-08-10,Rockwell Pl,
Milton,Renovation/Remodel,2026-08-10,Maitland St,
Milton,Electrical,2026-08-10,Adams St,
Milton,Gas,2026-08-10,Howe St,
Milton,Renovation/Remodel,2026-08-10,Buckingham Rd,
Milton,Electrical,2026-08-10,Sears Rd,
Milton,Renovation/Remodel,2026-08-07,Concord Av,
Milton,Plumbing,2026-08-07,Granite Av,
Milton,Electrical,2026-08-07,Lodge St,
Milton,Renovation/Remodel,2026-08-07,Brush Hill Rd,
Milton,Gas,2026-08-07,Vinewood Rd,
Milton,Plumbing,2026-08-07,Cedar Ter St,
Milton,Plumbing,2026-08-07,Vinewood Rd,
Milton,Renovation/Remodel,2026-08-06,Washington St,
Milton,Building,2026-08-06,Blue Hill Av,
Milton,Building,2026-08-06,Canton Av,
Milton,Electrical,2026-08-06,Spafford Rd,
Milton,Plumbing,2026-08-06,Edge Hill Rd,
Milton,Electrical,2026-08-06,Reedsdale Rd,
Milton,Electrical,2026-08-06,St Marys Rd,
Milton,Renovation/Remodel,2026-08-06,Pillon Rd,
Milton,Plumbing,2026-08-06,St Marys Rd,
Milton,Electrical,2026-08-06,Adams St,
Milton,Electrical,2026-08-06,Willoughby Rd,
Milton,Renovation/Remodel,2026-08-05,Wildwood Rd,
Milton,Plumbing,2026-08-05,Badger Cr,
Milton,Renovation/Remodel,2026-08-05,Mingo St,
Milton,Renovation/Remodel,2026-08-05,Spruce St,
Milton,HVAC,2026-08-05,Adanac Rd,
Milton,Gas,2026-08-05,Badger Cr,
Milton,Renovation/Remodel,2026-08-05,Orono St,
Milton,Renovation/Remodel,2026-08-05,Huntington Rd,
Milton,Renovation/Remodel,2026-08-05,Blue Hill Av,
Milton,Renovation/Remodel,2026-08-05,Wood St,
Milton,Renovation/Remodel,2026-08-05,Cypress Rd,
Milton,Renovation/Remodel,2026-08-04,Verndale Rd,
Milton,Plumbing,2026-08-04,Randolph Av,
Milton,Renovation/Remodel,2026-08-04,Taff Rd,
Milton,Gas,2026-08-04,Blue Hill Av,
Milton,Renovation/Remodel,2026-08-04,Hinckley Rd,
Milton,Plumbing,2026-08-04,Blue Hill Av,
Milton,Electrical,2026-08-04,Churchills Ln,
Milton,Electrical,2026-08-04,Sassamon Av,
Milton,Renovation/Remodel,2026-08-04,Eliot St,
Milton,HVAC,2026-08-04,Gulliver St,
Milton,Renovation/Remodel,2026-08-04,Canton Av,
Milton,Electrical,2026-08-04,Rockwell Av,
Milton,Renovation/Remodel,2026-08-04,Hurlcroft Rd,
Milton,Electrical,2026-08-04,Adams St,
Milton,Renovation/Remodel,2026-08-04,Craig St,
Milton,Renovation/Remodel,2026-08-03,Gun Hill St,
Milton,Electrical,2026-08-03,Gulliver St,
Milton,Plumbing,2026-08-03,Meagher Av,
Milton,Electrical,2026-08-03,Columbine Rd,
Milton,Renovation/Remodel,2026-08-03,Plymouth Av,
Milton,Gas,2026-07-31,Cypress Rd,
Milton,Electrical,2026-07-31,Otis St,
Milton,Electrical,2026-07-31,Badger Cr,
Milton,Building,2026-07-31,Randolph Ave,
Milton,Electrical,2026-07-30,Canton Av,
Milton,Plumbing,2026-07-30,Craig St,
Milton,Gas,2026-07-30,Central Av,
Milton,Electrical,2026-07-30,Bonad Rd,
Milton,Plumbing,2026-07-30,Central Av,
Milton,Electrical,2026-07-30,West Side Rd,
Milton,Renovation/Remodel,2026-07-30,Bonad Rd,
Milton,Gas,2026-07-30,Blue Hill Ave,
Milton,Plumbing,2026-07-30,Miller Av,
Milton,HVAC,2026-07-30,Bonad Rd,
Milton,Renovation/Remodel,2026-07-29,Hazel St,
Milton,Electrical,2026-07-29,Belcher Cr,
Milton,Plumbing,2026-07-29,Sassamon Av,
Milton,Plumbing,2026-07-29,Countryside Ln,
Milton,HVAC,2026-07-29,Cary Av,
Milton,Building,2026-07-29,Randolph Ave,
Milton,HVAC,2026-07-29,Brackett St,
Milton,Electrical,2026-07-29,Willoughby Rd,
Milton,Building,2026-07-29,Centre St,
Milton,Renovation/Remodel,2026-07-29,Sumner St,
Milton,Renovation/Remodel,2026-07-29,Wendell Pk,
Milton,Renovation/Remodel,2026-07-29,Churchills Ln,
Milton,Electrical,2026-07-29,Highland St,
Milton,Renovation/Remodel,2026-07-28,Ridgewood Rd,
Milton,Renovation/Remodel,2026-07-28,Blue Hills Pw,
Milton,Electrical,2026-07-28,Wildwood Rd,
Milton,Renovation/Remodel,2026-07-28,Elton Rd,
Milton,Renovation/Remodel,2026-07-28,Atherton St,
Milton,Renovation/Remodel,2026-07-28,Dyer Av,
Milton,Electrical,2026-07-28,Howe St,
Milton,Renovation/Remodel,2026-07-28,Sassamon Av,
Milton,Renovation/Remodel,2026-07-28,Reed St,
Milton,Plumbing,2026-07-28,Lodge St,
Milton,Renovation/Remodel,2026-07-28,Craig St,
Milton,Renovation/Remodel,2026-07-28,Nahanton Av,
Milton,Plumbing,2026-07-28,Rockwell Av,
Milton,Renovation/Remodel,2026-07-28,Centre St,
Milton,Electrical,2026-07-28,Blue Hills Pw,
Milton,Renovation/Remodel,2026-07-28,Blue Hill Av,
Milton,Gas,2026-07-28,Rockwell Av,
Milton,Electrical,2026-07-28,Highland St,
Milton,Plumbing,2026-07-28,Highland St,
Milton,Renovation/Remodel,2026-07-28,Martin Rd,
Milton,Electrical,2026-07-28,Ridgewood Rd,
Milton,Electrical,2026-07-28,Emerson Rd,
Milton,Renovation/Remodel,2026-07-28,Gerald Rd,
Milton,Renovation/Remodel,2026-07-27,Valley Rd,
Milton,Renovation/Remodel,2026-07-27,Pleasant St,
Milton,Electrical,2026-07-27,Reedsdale Rd,
Milton,Plumbing,2026-07-27,Blue Hill Av,
Milton,Renovation/Remodel,2026-07-27,Trout Brook Av,
Milton,Renovation/Remodel,2026-07-27,Waldo Rd,
Milton,Renovation/Remodel,2026-07-27,Canton Av,
Milton,Renovation/Remodel,2026-07-27,Nancy Rd,
Milton,Renovation/Remodel,2026-07-27,Reservation Rd,
Milton,Renovation/Remodel,2026-07-27,Carisbrooke Rd,
Milton,Plumbing,2026-07-27,Warren Av,
Milton,Plumbing,2026-07-27,Brook Rd,
Milton,Renovation/Remodel,2026-07-27,Wendell Pk,
Milton,HVAC,2026-07-27,Smith Rd,
Milton,Building,2026-07-27,Canton Av,
Milton,HVAC,2026-07-27,Blue Hill Av,
Milton,Plumbing,2026-07-27,Brush Hill Rd,
Milton,Renovation/Remodel,2026-07-27,Brook Rd,
Milton,Renovation/Remodel,2026-07-27,Harold St,
Milton,Electrical,2026-07-27,Columbine Rd,
Milton,Renovation/Remodel,2026-07-27,Columbine Rd,
Milton,Renovation/Remodel,2026-07-27,Evergreen Trail,
Milton,HVAC,2026-07-27,Mingo St,
Milton,Gas,2026-07-27,Brush Hill Rd,
Milton,Renovation/Remodel,2026-07-27,Bartons Ln,
Milton,Building,2026-07-27,Adams St,
Milton,Renovation/Remodel,2026-07-27,Old Farm Rd,
Milton,Gas,2026-07-27,Atherton St,
Milton,Renovation/Remodel,2026-07-24,Pagoda St,
Milton,Gas,2026-07-24,Gulliver St,
Milton,Electrical,2026-07-24,Highland St,
Milton,Electrical,2026-07-24,Hurlcroft Rd,
Milton,Plumbing,2026-07-24,Gulliver St,
Milton,Plumbing,2026-07-23,Blue Hills Pw,
Milton,Plumbing,2026-07-23,Otis St,
Milton,Electrical,2026-07-23,Fairfax Rd,
Milton,Electrical,2026-07-23,Standish Rd,
Milton,Electrical,2026-07-23,Truman Pw,
Milton,Plumbing,2026-07-23,Chesterfield Rd,
Milton,Electrical,2026-07-23,Gulliver St,
Milton,HVAC,2026-07-23,Bunton St,
Milton,Renovation/Remodel,2026-07-23,Dudley Ln,
Milton,Gas,2026-07-22,Emerson Rd,
Milton,Electrical,2026-07-22,Ferncroft Rd,
Milton,Plumbing,2026-07-22,Emerson Rd,
