town,trade,issued_date,street_masked,valuation
Nahant,Electrical,2026-09-08,Sea View Av,
Nahant,Plumbing,2026-09-08,Nahant Rd,
Nahant,Electrical,2026-09-04,Pleasant St,
Nahant,Gas,2026-09-04,Harmony Ct,
Nahant,Plumbing,2026-09-04,Harmony Ct,
Nahant,Gas,2026-09-04,Maple Av,
Nahant,Electrical,2026-09-03,Flash Rd,
Nahant,Other,2026-09-03,Spinney Path,4000.0
Nahant,Plumbing,2026-09-02,Sea View Av,
Nahant,Electrical,2026-09-02,Harris St,
Nahant,New Construction,2026-09-02,Nahant Rd,1133.0
Nahant,Electrical,2026-09-02,Nahant Rd,11500.0
Nahant,Electrical,2026-09-02,Wharf St,25200.0
Nahant,Roofing,2026-09-02,Fox Hill Rd,5000.0
Nahant,Electrical,2026-09-01,Nahant Rd,
Nahant,Electrical,2026-09-01,Forty Steps Ln,
Nahant,Plumbing,2026-08-31,Gardner Rd,
Nahant,Electrical,2026-08-31,Nahant Rd,
Nahant,Plumbing,2026-08-31,Lafayette Tr,
Nahant,Gas,2026-08-31,Lafayette Tr,
Nahant,HVAC,2026-08-31,Lafayette Tr,
Nahant,Gas,2026-08-31,Fox Hill Rd,
Nahant,Plumbing,2026-08-31,Lodge Rd,
Nahant,Kitchen/Bath,2026-08-27,Willow Rd,19700.0
Nahant,Electrical,2026-08-27,Nahant Rd,47950.0
Nahant,Electrical,2026-08-27,Willow Rd,
Nahant,Plumbing,2026-08-26,Cliff St,
Nahant,HVAC,2026-08-26,Gardner Rd,16500.0
Nahant,Other,2026-08-26,Chamberlin Cr,15000.0
Nahant,Addition,2026-08-26,Flash Rd,120000.0
Nahant,Other,2026-08-26,Bass Point Rd,3200.0
Nahant,Deck/Porch,2026-08-26,Greystone Rd,31000.0
Nahant,Electrical,2026-08-25,Fox Hill Rd,
Nahant,Plumbing,2026-08-25,Gardner Rd,
Nahant,Gas,2026-08-25,Gardner Rd,
Nahant,HVAC,2026-08-25,Cottage St,
Nahant,Plumbing,2026-08-21,Castle Rd,
Nahant,Gas,2026-08-21,Castle Rd,
Nahant,Electrical,2026-08-21,Nahant Rd,
Nahant,Electrical,2026-08-21,Wendell Rd,
Nahant,New Construction,2026-08-20,Nahant Rd,645.8
Nahant,Plumbing,2026-08-20,Little Nahant Rd,
Nahant,Electrical,2026-08-19,Cliff St,
Nahant,HVAC,2026-08-19,Castle Rd,
Nahant,Other,2026-08-19,Highland Av,9030.31
Nahant,Windows/Doors/Siding,2026-08-19,Willow Rd,27759.0
Nahant,Deck/Porch,2026-08-19,Highland Rd,5000.0
Nahant,Roofing,2026-08-19,Summer St,7000.0
Nahant,HVAC,2026-08-19,Castle Rd,22678.0
Nahant,Roofing,2026-08-19,Nahant Rd,20500.0
Nahant,Fire/Sprinkler,2026-08-19,Wilson Rd,7500.0
Nahant,Plumbing,2026-08-17,Fox Hill Rd,
Nahant,Electrical,2026-08-17,Little Nahant Rd,
Nahant,Electrical,2026-08-17,Central St,
Nahant,Gas,2026-08-12,Wendell Rd,
Nahant,Plumbing,2026-08-12,Wendell Rd,
Nahant,New Construction,2026-08-12,Summer St,2000.0
Nahant,Plumbing,2026-08-11,Bay View Av,
Nahant,Gas,2026-08-11,Bay View Av,
Nahant,Gas,2026-08-11,Wilson Rd,
Nahant,Electrical,2026-08-11,Wilson Rd,
Nahant,Roofing,2026-08-06,Sea View Av,51302.0
Nahant,Electrical,2026-08-05,Castle Rd,
Nahant,HVAC,2026-08-05,High Street Ex,16553.0
Nahant,Kitchen/Bath,2026-08-05,Flash Rd,63442.0
Nahant,Other,2026-08-05,Wendell Road Ex,2790.0
Nahant,Other,2026-08-05,Highland Av,3151.0
Nahant,HVAC,2026-08-05,Nahant Rd,
Nahant,HVAC,2026-08-05,Nahant Rd,32600.0
Nahant,Other,2026-08-05,Bass Point Rd,20000.0
Nahant,Electrical,2026-08-05,High Street Ex,
Nahant,Electrical,2026-08-03,Nahant Rd,
Nahant,HVAC,2026-07-30,Wilson Av,
Nahant,Plumbing,2026-07-30,Gardner Rd,
Nahant,HVAC,2026-07-30,Castle Rd,
Nahant,HVAC,2026-07-30,Castle Rd,8500.0
Nahant,Gas,2026-07-29,Willow Rd,
Nahant,Roofing,2026-07-29,Wilson Rd,12000.0
Nahant,Plumbing,2026-07-29,Fox Hill Rd,41500.0
Nahant,Deck/Porch,2026-07-29,Lennox Rd,30000.0
Nahant,HVAC,2026-07-29,Desmond Dr,10000.0
Nahant,HVAC,2026-07-29,Desmond Dr,
Nahant,Gas,2026-07-29,Desmond Dr,
Nahant,HVAC,2026-07-28,Winter St,
Nahant,HVAC,2026-07-28,Winter St,22027.59
Nahant,Plumbing,2026-07-27,Wharf St,
Nahant,Gas,2026-07-27,Wilson Rd,
Nahant,Plumbing,2026-07-27,Wilson Rd,
Nahant,Electrical,2026-07-24,Rosemary Rd,
Nahant,Electrical,2026-07-24,Maple Av,
Nahant,New Construction,2026-07-22,Nahant Rd,1227.0
Nahant,New Construction,2026-07-22,Nahant Rd,509.85
Nahant,New Construction,2026-07-22,Summer St,1133.0
Nahant,Roofing,2026-07-22,Pond Street Ct,7800.0
Nahant,Deck/Porch,2026-07-22,Summer Street Ct,35000.0
Nahant,HVAC,2026-07-22,Hillcrest Av,
Nahant,HVAC,2026-07-22,Hillcrest Av,17000.0
Nahant,Other,2026-07-22,Ocean St,4500.0
Nahant,HVAC,2026-07-21,Little Nahant Rd,
Nahant,Plumbing,2026-07-20,Greystone Rd,
Nahant,Gas,2026-07-20,Greystone Rd,
Nahant,Plumbing,2026-07-20,Spring Rd,
Nahant,HVAC,2026-07-20,Wendell Road Ex,
Nahant,HVAC,2026-07-20,Wendell Road Ex,15000.0
Nahant,Electrical,2026-07-16,Nautical Ln,
Nahant,HVAC,2026-07-14,Gardner Rd,
Nahant,Deck/Porch,2026-07-14,Nahant Rd,40000.0
Nahant,Other,2026-07-14,Bass Point Rd,4800.0
Nahant,Electrical,2026-07-09,Willow Rd,
Nahant,Electrical,2026-07-09,Gardner Rd,
Nahant,Electrical,2026-07-09,Wilson Rd,
Nahant,Other,2026-07-08,Fox Hill Rd,650.0
Nahant,Other,2026-07-08,Colby Wy,20000.0
Nahant,Solar,2026-07-08,Castle Rd,6708.11
Nahant,Solar,2026-07-08,Castle Rd,
Nahant,Kitchen/Bath,2026-07-08,Cliff St,15720.0
Nahant,Plumbing,2026-07-08,Wendell Rd,76250.0
Nahant,Gas,2026-07-07,Bass Point Rd,
Nahant,Other,2026-07-07,Bass Point Rd,2000.0
Nahant,Gas,2026-07-07,Wilson Av,
Nahant,Electrical,2026-07-06,James Av,
Nahant,Plumbing,2026-07-06,Fallon Wy,
Nahant,Electrical,2026-06-26,Cliff St,
Nahant,Electrical,2026-06-26,Wilson Rd,
Nahant,Plumbing,2026-06-25,Wilson Rd,
Nahant,Electrical,2026-06-25,Wharf St,
Nahant,Gas,2026-06-24,Spouting Horn Rd,
Nahant,New Construction,2026-06-24,Nahant Rd,645.8
Nahant,Roofing,2026-06-24,Wilson Rd,18396.0
Nahant,Roofing,2026-06-24,Lennox Rd,12500.0
Nahant,Roofing,2026-06-24,Fox Hill Rd,14436.0
Nahant,Other,2026-06-24,Bay View Av,500.0
Nahant,Roofing,2026-06-24,Wilson Rd,5000.0
Nahant,Electrical,2026-06-22,Highland Av,
Nahant,Electrical,2026-06-22,Bass Point Rd,
Nahant,HVAC,2026-06-22,Forty Steps Ln,
Nahant,Electrical,2026-06-22,Willow Rd,
Nahant,Electrical,2026-06-22,Irving Wy,
Nahant,Gas,2026-06-18,Baker Rd,
Nahant,Plumbing,2026-06-18,Baker Rd,
Nahant,Building,2026-06-18,Gardner Rd,305000.0
Nahant,Plumbing,2026-06-17,Cliff St,
Nahant,Gas,2026-06-17,Wilson Av,
Nahant,Plumbing,2026-06-17,Little Nahant Rd,
Nahant,Electrical,2026-06-17,Little Nahant Rd,
Nahant,Kitchen/Bath,2026-06-17,Little Nahant Rd,46000.0
Nahant,Building,2026-06-17,Forty Steps Ln,110000.0
Nahant,New Construction,2026-06-17,Wharf St,967.5
Nahant,Roofing,2026-06-17,Spring Rd,37500.0
Nahant,Roofing,2026-06-17,Highland Av,85350.0
Nahant,Electrical,2026-06-17,Castle Rd,
Nahant,Deck/Porch,2026-06-17,Sunset Rd,6000.0
Nahant,Other,2026-06-17,Castle Rd,5000.0
Nahant,Other,2026-06-17,Spouting Horn Rd,33488.0
Nahant,Electrical,2026-06-16,Spring Rd,
Nahant,Plumbing,2026-06-11,Nahant Rd,
Nahant,Electrical,2026-06-11,Wilson Av,
Nahant,Plumbing,2026-06-10,Harris St,
Nahant,Gas,2026-06-10,Harris St,
Nahant,Gas,2026-06-10,Nahant Rd,
Nahant,HVAC,2026-06-10,Nahant Rd,
Nahant,Roofing,2026-06-10,High St,11500.0
Nahant,Roofing,2026-06-10,Walton Rd,9500.0
Nahant,Windows/Doors/Siding,2026-06-10,Central St,18867.0
Nahant,HVAC,2026-06-10,Goddard Rd,3000.0
Nahant,Roofing,2026-06-10,Wilson Rd,7500.0
Nahant,Plumbing,2026-06-10,Nahant Rd,
Nahant,Gas,2026-06-08,Nahant Rd,
Nahant,Electrical,2026-06-08,Willow Rd,
Nahant,Electrical,2026-06-05,Summer St,
Nahant,Gas,2026-06-04,Castle Rd,
Nahant,Plumbing,2026-06-03,Sherman Av,
Nahant,Electrical,2026-06-03,Sherman Av,
Nahant,Windows/Doors/Siding,2026-06-03,Little Nahant Rd,6176.0
Nahant,Other,2026-06-03,Fenno Wy,4139.66
Nahant,Windows/Doors/Siding,2026-06-03,Willow Rd,43000.0
Nahant,Windows/Doors/Siding,2026-06-03,Fox Hill Rd,80315.27
Nahant,HVAC,2026-06-03,Willow Rd,92263.0
Nahant,HVAC,2026-06-03,Willow Rd,
Nahant,Deck/Porch,2026-06-03,Sunset Rd,23500.0
Nahant,Deck/Porch,2026-06-03,Cliff St,15000.0
Nahant,Electrical,2026-06-02,Cliff St,
Nahant,Electrical,2026-06-02,Vernon St,
Nahant,Electrical,2026-06-01,Pleasant St,
Nahant,Gas,2026-06-01,Cliff St,
Nahant,Gas,2026-06-01,Nahant Rd,
Nahant,Gas,2026-06-01,Castle Rd,
Nahant,Plumbing,2026-06-01,Castle Rd,
Nahant,Electrical,2026-06-01,Wilson Rd,
Nahant,Plumbing,2026-05-26,Pleasant St,
Nahant,Gas,2026-05-26,Pleasant St,
Nahant,Electrical,2026-05-26,Nahant Rd,
Nahant,Roofing,2026-05-26,Wilson Rd,56800.0
Nahant,Gas,2026-05-26,Sherman Av,
Nahant,Plumbing,2026-05-26,Sherman Av,
Nahant,Gas,2026-05-21,Castle Rd,
Nahant,Plumbing,2026-05-21,Castle Rd,
Nahant,Deck/Porch,2026-05-21,Willow Rd,6900.0
Nahant,Other,2026-05-20,Castle Tr,3380.0
Nahant,Roofing,2026-05-20,Harris St,470000.0
Nahant,Roofing,2026-05-20,Nahant Rd,20800.0
Nahant,Kitchen/Bath,2026-05-20,Nahant Rd,4000.0
Nahant,HVAC,2026-05-19,Emerald Rd,
Nahant,Electrical,2026-05-15,Colby Wy,
Nahant,Plumbing,2026-05-14,Willow Rd,
Nahant,Electrical,2026-05-13,Castle Rd,
Nahant,HVAC,2026-05-13,Sherman Av,
Nahant,New Construction,2026-05-13,Nahant Rd,736.0
Nahant,Roofing,2026-05-13,Emerald Rd,18720.0
Nahant,Electrical,2026-05-13,Sunset Rd,
Nahant,Windows/Doors/Siding,2026-05-13,Colby Wy,20000.0
Nahant,Windows/Doors/Siding,2026-05-13,Intervale Rd,4000.0
Nahant,Windows/Doors/Siding,2026-05-13,Coolidge Rd,4850.0
Nahant,Roofing,2026-05-13,Sunset Rd,25285.0
Nahant,Windows/Doors/Siding,2026-05-13,Forty Steps Ln,33600.0
Nahant,Plumbing,2026-05-12,Valley Rd,
Nahant,HVAC,2026-05-12,Nahant Rd,
Nahant,Gas,2026-05-12,Valley Rd,
Nahant,Other,2026-05-12,Wilson Rd,1500.0
Nahant,Electrical,2026-05-11,Flash Rd,
Nahant,Other,2026-05-06,Lennox Rd,1294.0
Nahant,New Construction,2026-05-06,Nahant Rd,645.8
Nahant,HVAC,2026-05-06,Wilson Rd,7000.0
Nahant,HVAC,2026-05-06,Wilson Rd,
Nahant,Plumbing,2026-05-04,Little Nahant Rd,
Nahant,Electrical,2026-04-30,Flash Rd,
Nahant,Windows/Doors/Siding,2026-04-29,Castle Rd,18204.0
Nahant,Windows/Doors/Siding,2026-04-29,Karolyn Cr,5799.0
Nahant,Roofing,2026-04-29,Nahant Rd,19803.0
Nahant,HVAC,2026-04-29,Cliff St,375000.0
Nahant,Deck/Porch,2026-04-29,Little Nahant Rd,27000.0
Nahant,Electrical,2026-04-24,Gardner Rd,
Nahant,Plumbing,2026-04-23,Emerald Rd,
Nahant,Gas,2026-04-23,Emerald Rd,
Nahant,Gas,2026-04-22,Willow Rd,
Nahant,HVAC,2026-04-22,Nahant Rd,8500.0
Nahant,Roofing,2026-04-22,Castle Rd,4500.0
Nahant,Plumbing,2026-04-22,Willow Rd,
Nahant,Plumbing,2026-04-22,Castle Wy,
Nahant,HVAC,2026-04-22,Baker Rd,6800.0
Nahant,Electrical,2026-04-21,Castle Wy,
Nahant,Plumbing,2026-04-17,Spring Rd,
Nahant,Gas,2026-04-17,Spring Rd,
Nahant,Electrical,2026-04-16,Phillips Rd,
Nahant,Windows/Doors/Siding,2026-04-15,Little Nahant Rd,
Nahant,Deck/Porch,2026-04-15,Maolis Rd,15000.0
Nahant,HVAC,2026-04-15,Wilson Rd,18000.0
Nahant,HVAC,2026-04-15,Wilson Rd,
Nahant,HVAC,2026-04-15,Castle Rd,20000.0
Nahant,Kitchen/Bath,2026-04-15,Castle Wy,31000.0
Nahant,Other,2026-04-15,Emerald Rd,6000.0
Nahant,Windows/Doors/Siding,2026-04-15,Wilson Av,62425.0
Nahant,Solar,2026-04-14,Swallow Cave Rd,
Nahant,Solar,2026-04-14,Swallow Cave Rd,11673.67
Nahant,HVAC,2026-04-09,Nahant Rd,
Nahant,Electrical,2026-04-09,Little Nahant Rd,
Nahant,HVAC,2026-04-09,Nahant Rd,524410.0
Nahant,Kitchen/Bath,2026-04-09,Willow Rd,18000.0
Nahant,Roofing,2026-04-08,Nahant Rd,35300.0
Nahant,Roofing,2026-04-08,Vernon St,65000.0
Nahant,Deck/Porch,2026-04-08,Simmons Rd,500.0
Nahant,Roofing,2026-04-08,Lennox Rd,11800.0
Nahant,Other,2026-04-08,Nahant Rd,4800.0
Nahant,Other,2026-04-08,Flash Rd,14000.0
Nahant,Solar,2026-04-08,Cary St,
Nahant,Solar,2026-04-08,Cary St,56000.0
Nahant,Plumbing,2026-04-06,Harbor View Rd,
Nahant,HVAC,2026-04-06,Mills Tr,
Nahant,HVAC,2026-04-06,Mills Tr,7385.0
Nahant,Solar,2026-04-06,Lodge Rd,
Nahant,Electrical,2026-04-03,Wharf St,
Nahant,Plumbing,2026-04-03,Vernon St,
Nahant,Gas,2026-04-03,Vernon St,
Nahant,Electrical,2026-04-03,Nahant Rd,
Nahant,Electrical,2026-04-03,Ocean St,
Nahant,Electrical,2026-04-03,Lafayette Tr,
Nahant,Solar,2026-04-03,Winter St,
Nahant,Other,2026-04-03,Winter St,95000.0
Nahant,Roofing,2026-04-01,Nahant Rd,9500.0
Nahant,Roofing,2026-04-01,Coolidge Rd,9300.0
Nahant,Windows/Doors/Siding,2026-04-01,Irving Wy,10500.0
Nahant,HVAC,2026-04-01,Castle Rd,28500.0
Nahant,Other,2026-04-01,Howe Rd,13000.0
Nahant,Deck/Porch,2026-04-01,Christopher Dr,38000.0
Nahant,Roofing,2026-04-01,Burpee Rd,12900.0
Nahant,Building,2026-04-01,Simmons Rd,
Nahant,Windows/Doors/Siding,2026-04-01,Wilson Rd,4794.0
Nahant,Gas,2026-03-30,Nahant Rd,
Nahant,Plumbing,2026-03-30,Nahant Rd,
Nahant,Gas,2026-03-27,Maolis Rd,
Nahant,Plumbing,2026-03-26,Baker Rd,
Nahant,Roofing,2026-03-25,Trimountain Rd,6650.0
Nahant,Windows/Doors/Siding,2026-03-25,Lafayette Tr,800.0
Nahant,Deck/Porch,2026-03-25,Ward Rd,8000.0
Nahant,Roofing,2026-03-25,Maolis Rd,126000.0
Nahant,Deck/Porch,2026-03-25,Spouting Horn Rd,300.0
Nahant,Gas,2026-03-24,Wharf St,
Nahant,Plumbing,2026-03-24,Wharf St,
Nahant,Electrical,2026-03-24,Nahant Rd,
Nahant,Other,2026-03-24,Nahant Rd,55000.0
Nahant,Electrical,2026-03-19,Willow Rd,
Nahant,Gas,2026-03-19,Castle Rd,
Nahant,Plumbing,2026-03-19,Castle Rd,
Nahant,Building,2026-03-18,Coolidge Rd,3200.0
Nahant,Roofing,2026-03-18,Forty Steps Ln,17800.0
Nahant,Roofing,2026-03-18,Phillips Rd,9600.0
Nahant,New Construction,2026-03-18,Wharf St,679.8
Nahant,Windows/Doors/Siding,2026-03-18,Colby Wy,34903.0
Nahant,Windows/Doors/Siding,2026-03-18,Nahant Rd,110918.0
Nahant,Windows/Doors/Siding,2026-03-18,Linda Ln,10700.0
Nahant,Electrical,2026-03-17,Castle Rd,
Nahant,Electrical,2026-03-16,Karolyn Cr,
Nahant,Plumbing,2026-03-16,Willow Rd,
Nahant,Electrical,2026-03-13,Baker Rd,
