town,trade,issued_date,street_masked,valuation
Needham,Kitchen/Bath,2026-06-30,Broad Meadow Rd,517000.0
Needham,Other,2026-06-30,Richardson Dr,7000.0
Needham,Roofing,2026-06-30,Green St,21800.0
Needham,Pool/Spa,2026-06-30,Bridle Trail Rd,75000.0
Needham,Windows/Doors/Siding,2026-06-29,"Gould St, Unit",12500.0
Needham,Kitchen/Bath,2026-06-29,Burr Dr,259550.0
Needham,Roofing,2026-06-29,Southwood Ln,82000.0
Needham,Other,2026-06-29,Highland Ter,9406.0
Needham,Kitchen/Bath,2026-06-29,Bridle Trail Rd,99400.0
Needham,Deck/Porch,2026-06-26,Cynthia Rd,20000.0
Needham,Roofing,2026-06-26,Bond St,6000.0
Needham,Pool/Spa,2026-06-26,Bird St,90000.0
Needham,Addition,2026-06-26,High St,3679.0
Needham,Roofing,2026-06-26,Holmes St,27174.0
Needham,Roofing,2026-06-26,Sutton Rd,17000.0
Needham,Kitchen/Bath,2026-06-25,Rybury Hillway,24250.0
Needham,Windows/Doors/Siding,2026-06-25,Brewster Dr,7611.0
Needham,Roofing,2026-06-25,Great Plain Ave,5687.0
Needham,Roofing,2026-06-25,Newell Ave,17414.0
Needham,Roofing,2026-06-25,Hillcrest Rd,19000.0
Needham,Roofing,2026-06-25,Stewart Rd,19000.0
Needham,Windows/Doors/Siding,2026-06-25,Morton St,22000.0
Needham,Other,2026-06-25,Livingston Circle,10000.0
Needham,Plumbing,2026-06-25,Mackintosh Ave,23565.0
Needham,Addition,2026-06-24,West St,20000.0
Needham,Roofing,2026-06-24,Garden St,22000.0
Needham,Kitchen/Bath,2026-06-24,Great Plain Ave,55000.0
Needham,Roofing,2026-06-24,Ware Rd,24500.0
Needham,Roofing,2026-06-24,Alfreton Rd,13410.0
Needham,Roofing,2026-06-24,Nevada Rd,27000.0
Needham,Kitchen/Bath,2026-06-23,Garden St,12000.0
Needham,Kitchen/Bath,2026-06-23,South St,245000.0
Needham,Deck/Porch,2026-06-23,George Aggott Rd,60000.0
Needham,Roofing,2026-06-23,River Park St,16980.0
Needham,Addition,2026-06-22,Hillside Ave,55400.0
Needham,Kitchen/Bath,2026-06-22,Brewster Dr,35000.0
Needham,Windows/Doors/Siding,2026-06-22,Cottage Ave,12000.0
Needham,Roofing,2026-06-22,Pine St,25000.0
Needham,Addition,2026-06-22,Plymouth Rd,10000.0
Needham,Plumbing,2026-06-18,Webster St,32000.0
Needham,Roofing,2026-06-18,Meredith Cir,13000.0
Needham,Addition,2026-06-17,Thornton Rd,17950.0
Needham,Deck/Porch,2026-06-17,Border Rd,125000.0
Needham,Kitchen/Bath,2026-06-17,Burnside Rd,20000.0
Needham,Windows/Doors/Siding,2026-06-17,Taylor St,16043.0
Needham,Gas,2026-06-17,Crescent Rd,7000.0
Needham,Plumbing,2026-06-17,Overlook Rd,37000.0
Needham,Roofing,2026-06-17,Avalon Rd,18000.0
Needham,Other,2026-06-16,Morton St,3400.0
Needham,Other,2026-06-16,Hunnewell St,6000.0
Needham,Other,2026-06-16,Country Way,34000.0
Needham,Roofing,2026-06-16,Garden St,18700.0
Needham,Kitchen/Bath,2026-06-12,Canterbury Ln,55000.0
Needham,Roofing,2026-06-12,Overlook Rd,9999.0
Needham,Addition,2026-06-12,Webster St,752000.0
Needham,Other,2026-06-12,Lawton Rd,9000.0
Needham,Kitchen/Bath,2026-06-12,Forest St,56000.0
Needham,Renovation/Remodel,2026-06-12,Russell Rd,30000.0
Needham,Roofing,2026-06-12,Manning St,15000.0
Needham,Kitchen/Bath,2026-06-12,Great Plain Ave,27900.0
Needham,Kitchen/Bath,2026-06-11,Ridgeway Ave,189000.0
Needham,Kitchen/Bath,2026-06-11,Howe Rd,800000.0
Needham,Windows/Doors/Siding,2026-06-11,Bridge St,4000.0
Needham,Windows/Doors/Siding,2026-06-11,Crane St,8860.0
Needham,Other,2026-06-11,Sutton Rd,5000.0
Needham,Addition,2026-06-10,Second Ave,4000.0
Needham,Roofing,2026-06-10,South St,84000.0
Needham,Other,2026-06-10,Maple St,4094.0
Needham,Kitchen/Bath,2026-06-10,Maple St,6215.0
Needham,Roofing,2026-06-10,Laurel Dr,23000.0
Needham,Addition,2026-06-09,Second Ave,1800.0
Needham,Addition,2026-06-09,Wilshire Park,7000.0
Needham,Kitchen/Bath,2026-06-09,Bradford St,25000.0
Needham,Roofing,2026-06-09,Holmes St,26000.0
Needham,Windows/Doors/Siding,2026-06-09,Morton St,16000.0
Needham,Windows/Doors/Siding,2026-06-09,Locust Ln,3163.0
Needham,Addition,2026-06-08,Great Plain Ave,73000.0
Needham,Addition,2026-06-08,Second Ave,1800.0
Needham,Kitchen/Bath,2026-06-08,Kendrick St,76000.0
Needham,Windows/Doors/Siding,2026-06-08,Cogswell Ct,15000.0
Needham,Electrical,2026-06-08,De Francesco Cir,10000.0
Needham,Addition,2026-06-08,Pine Grove St,18691.0
