town,trade,issued_date,street_masked,valuation
New Marlborough,Renovation/Remodel,2026-09-08,Mill River Gt Barrington Rd,
New Marlborough,Electrical,2026-09-04,Cross To Canaan Valley Rd,
New Marlborough,Renovation/Remodel,2026-09-04,Mill River Gt Barrington Rd,
New Marlborough,Renovation/Remodel,2026-09-03,Sisson Hill Rd,
New Marlborough,Other,2026-09-01,Mill River Gt Barrington Rd,
New Marlborough,Gas,2026-08-31,Hillside Av,
New Marlborough,Electrical,2026-08-28,Mill River Gt Barrington Rd,
New Marlborough,Gas,2026-08-27,New Marlborough Hill Road,
New Marlborough,Renovation/Remodel,2026-08-26,Knight Rd,
New Marlborough,Electrical,2026-08-26,Farm View Drive,
New Marlborough,Renovation/Remodel,2026-08-25,Harts-New Marlborough Rd,
New Marlborough,Renovation/Remodel,2026-08-25,Norfolk Rd,
New Marlborough,Renovation/Remodel,2026-08-20,Farm View Drive,
New Marlborough,Plumbing,2026-08-19,Brewer Hill Rd,
New Marlborough,Electrical,2026-08-19,New Marlborough Southfield Rd,
New Marlborough,Sign/Awning,2026-08-18,Harts-New Marlborough Rd,
New Marlborough,Electrical,2026-08-18,Bock Wy,
New Marlborough,Other,2026-08-17,Clayton Mill River Rd,
New Marlborough,Gas,2026-08-12,Bock Wy,
New Marlborough,Gas,2026-08-12,Harts-New Marlborough Rd,
New Marlborough,Renovation/Remodel,2026-08-11,Norfolk Rd,
New Marlborough,Electrical,2026-08-11,Farm View Drive,
New Marlborough,Electrical,2026-08-11,New Marlboro Hill Rd,
New Marlborough,Electrical,2026-08-10,Brewer Branch Rd,
New Marlborough,Renovation/Remodel,2026-08-06,Hartsvillle New Marlboro Rd,
New Marlborough,Electrical,2026-08-04,Hartsville-New Marlboro Rd,
New Marlborough,Gas,2026-08-04,Foley Hill Rd,
New Marlborough,Renovation/Remodel,2026-07-31,Bock Wy,
New Marlborough,Electrical,2026-07-30,Norfolk Rd,
New Marlborough,Plumbing,2026-07-30,Harts-New Marlborough Rd,
New Marlborough,Gas,2026-07-30,Peter Menaker Rd,
New Marlborough,Plumbing,2026-07-30,New Marlborough Southfield Rd,
New Marlborough,Renovation/Remodel,2026-07-29,Norfolk Road,
New Marlborough,Renovation/Remodel,2026-07-28,Norfolk Rd,
New Marlborough,Plumbing,2026-07-27,Lumbert Cross Rd,
New Marlborough,Gas,2026-07-24,Harts-New Marlborough Rd,
New Marlborough,Building,2026-07-23,Foley Hill Rd,
New Marlborough,Renovation/Remodel,2026-07-22,Stratford Rd,
New Marlborough,Electrical,2026-07-21,Harts-New Marlborough Rd,
New Marlborough,Electrical,2026-07-17,Harts-New Marlborough Rd,
New Marlborough,Electrical,2026-07-17,Foley Hill Rd,
New Marlborough,Plumbing,2026-07-16,Norfolk Rd,
New Marlborough,Renovation/Remodel,2026-07-15,Canaan Southfield Rd,
New Marlborough,Electrical,2026-07-15,Canaan Southfield Rd,
New Marlborough,Renovation/Remodel,2026-07-14,Hayes Hill Rd,
New Marlborough,Plumbing,2026-07-14,Lumbert Cross Rd,
New Marlborough,Electrical,2026-07-13,Hartsvillle New Marlboro Rd,
New Marlborough,Renovation/Remodel,2026-07-13,Mill River Gt Barrington Rd,
New Marlborough,Renovation/Remodel,2026-07-09,Canaan Southfield Rd,
New Marlborough,Electrical,2026-07-02,Sisson Hill Rd,
New Marlborough,Electrical,2026-07-02,East Hill Rd,
New Marlborough,Other,2026-07-02,Harts-New Marlborough Rd,
New Marlborough,HVAC,2026-07-01,New Marlboro Hill Rd,
New Marlborough,Renovation/Remodel,2026-07-01,New Marlborough Southfield Rd,
New Marlborough,Renovation/Remodel,2026-07-01,Harts-New Marlborough Rd,
New Marlborough,Renovation/Remodel,2026-07-01,Farm View Drive,
New Marlborough,Renovation/Remodel,2026-07-01,Downs Rd,
New Marlborough,Gas,2026-06-30,Hadsell St,
New Marlborough,Electrical,2026-06-30,Brewer Branch Rd,
New Marlborough,Other,2026-06-26,Konkapot Rd,
New Marlborough,Renovation/Remodel,2026-06-26,Adsit Crosby Rd,
New Marlborough,Electrical,2026-06-26,Harts-New Marlborough Rd,
New Marlborough,Building,2026-06-25,New Marlborough Southfield Rd,
