town,trade,issued_date,street_masked,valuation
Newbury,Gas,2026-09-22,Old Point Rd,
Newbury,Electrical,2026-09-22,Main St,
Newbury,Deck/Porch,2026-09-22,Fatherland Dr,
Newbury,HVAC,2026-09-21,Main St,
Newbury,Electrical,2026-09-21,Old Point Rd,
Newbury,Electrical,2026-09-21,Smith St,
Newbury,Plumbing,2026-09-17,Old Pine Island Rd,
Newbury,HVAC,2026-09-16,Central St,
Newbury,HVAC,2026-09-16,Birch Ln,
Newbury,Plumbing,2026-09-16,Annapolis Way West,
Newbury,Windows/Doors/Siding,2026-09-16,Old Point Rd,
Newbury,Kitchen/Bath,2026-09-16,A+B Green St,
Newbury,Roofing,2026-09-16,Scotland Heights Dr,
Newbury,Electrical,2026-09-15,Scotland Rd,
Newbury,Electrical,2026-09-15,School St,
Newbury,Plumbing,2026-09-15,Greentree Ln,
Newbury,Plumbing,2026-09-15,Caldwell Farm Rd,
Newbury,Electrical,2026-09-15,Old Pine Island Rd,
Newbury,Plumbing,2026-09-15,Main St,
Newbury,Electrical,2026-09-13,Florence Bushee Ln,
Newbury,Electrical,2026-09-13,South St,
Newbury,Plumbing,2026-09-13,Lower Green,
