town,trade,issued_date,street_masked,valuation
North Attleborough,Deck/Porch,2026-06-30,Brook St,7000.0
North Attleborough,Other,2026-06-30,Landry Ave,3000.0
North Attleborough,New Construction,2026-06-30,Aida Cir,475000.0
North Attleborough,Pool/Spa,2026-06-29,Anthony E Greco Cir,10000.0
North Attleborough,Kitchen/Bath,2026-06-26,John C Porter Way,606950.0
North Attleborough,Windows/Doors/Siding,2026-06-24,E Washington St,6202.44
North Attleborough,Deck/Porch,2026-06-24,Quail Creek Rd,44000.0
North Attleborough,Windows/Doors/Siding,2026-06-24,Weona Rd,7265.0
North Attleborough,Kitchen/Bath,2026-06-24,Clifton St,40000.0
North Attleborough,Kitchen/Bath,2026-06-23,Roland Baxter Rd,10000.0
North Attleborough,Building,2026-06-23,Broad St,5000.0
North Attleborough,Windows/Doors/Siding,2026-06-23,Arrowhead Cir,63032.0
North Attleborough,Building,2026-06-22,Johnson St,240000.0
North Attleborough,Renovation/Remodel,2026-06-19,John C Porter Way,11000.0
North Attleborough,Windows/Doors/Siding,2026-06-18,Kelley Blvd,3450.0
North Attleborough,Kitchen/Bath,2026-06-18,Grant St,11475.0
North Attleborough,New Construction,2026-06-18,Paine Rd,410000.0
North Attleborough,Deck/Porch,2026-06-17,Kings Way,32000.0
North Attleborough,Building,2026-06-17,West St,5000.0
North Attleborough,Roofing,2026-06-16,Highland Meadow Dr,11215.0
North Attleborough,Demolition,2026-06-16,Crescent Ave,3500.0
North Attleborough,Pool/Spa,2026-06-16,Allen Ave,3000.0
North Attleborough,Windows/Doors/Siding,2026-06-15,Edgewood Dr,9642.0
North Attleborough,Addition,2026-06-14,Northville Way,
North Attleborough,Roofing,2026-06-13,E Washington St,6000.0
North Attleborough,Pool/Spa,2026-06-12,Colburn St,7000.0
North Attleborough,Roofing,2026-06-12,Debora Rd,11440.0
North Attleborough,Windows/Doors/Siding,2026-06-12,Sutherland Rd,8665.0
North Attleborough,Renovation/Remodel,2026-06-11,E Washington St,45000.0
North Attleborough,Roofing,2026-06-11,Brook St,6000.0
North Attleborough,Roofing,2026-06-11,Frederick A Nittel Dr,11400.0
North Attleborough,Deck/Porch,2026-06-11,East St,25000.0
North Attleborough,Pool/Spa,2026-06-11,High St,10000.0
North Attleborough,Addition,2026-06-11,High St,204000.0
North Attleborough,Windows/Doors/Siding,2026-06-10,Mt Hope St,93672.0
North Attleborough,Roofing,2026-06-10,Winsor Dr,12545.0
North Attleborough,Deck/Porch,2026-06-10,E Washington St,20000.0
North Attleborough,Roofing,2026-06-10,Broad St,12174.0
North Attleborough,Kitchen/Bath,2026-06-10,Richard K Stevens Dr,50000.0
North Attleborough,Pool/Spa,2026-06-10,Mt Hope St,
North Attleborough,Windows/Doors/Siding,2026-06-09,Cumberland Ave,2100.0
North Attleborough,Other,2026-06-09,Old Wood Rd,3500.0
North Attleborough,Kitchen/Bath,2026-06-09,Reardons Field Ln,60000.0
North Attleborough,Roofing,2026-06-09,England Rd,23000.0
North Attleborough,Deck/Porch,2026-06-09,Edmund Corrigan Rd,3200.0
North Attleborough,Deck/Porch,2026-06-09,Eric Ln,10000.0
North Attleborough,Roofing,2026-06-08,Mt Hope St,25011.5
North Attleborough,Windows/Doors/Siding,2026-06-08,Jean Dr,20809.0
North Attleborough,Windows/Doors/Siding,2026-06-08,Buttonwood Cir,29139.0
North Attleborough,Kitchen/Bath,2026-06-08,Payson Ln,15790.01
North Attleborough,Other,2026-06-08,Towne St,5764.0
North Attleborough,Deck/Porch,2026-06-08,Cottage St,1500.0
North Attleborough,Roofing,2026-06-08,Robert Hill Dr,13700.0
North Attleborough,Renovation/Remodel,2026-06-08,Reservoir St,16030.0
North Attleborough,Deck/Porch,2026-06-08,Pond View Way,15500.0
North Attleborough,Building,2026-06-07,Edmund Corrigan Rd,14000.0
North Attleborough,Pool/Spa,2026-06-07,Glenfield Rd,
North Attleborough,Kitchen/Bath,2026-06-05,Pine Rd,12081.0
North Attleborough,Roofing,2026-06-05,Cranberry Rd,9000.0
North Attleborough,Deck/Porch,2026-06-05,Ivy St,14500.0
North Attleborough,Windows/Doors/Siding,2026-06-04,Villa Way,28598.0
North Attleborough,Windows/Doors/Siding,2026-06-04,Kimberly Dr,23860.0
North Attleborough,Windows/Doors/Siding,2026-06-04,Fisher St,10124.0
North Attleborough,Windows/Doors/Siding,2026-06-03,Achilles Way,22192.89
North Attleborough,Kitchen/Bath,2026-06-03,Reservoir St,23000.0
North Attleborough,Electrical,2026-06-03,Smith St,19000.0
North Attleborough,Windows/Doors/Siding,2026-06-03,Robert Toner Blvd,79436.0
North Attleborough,Deck/Porch,2026-06-03,Bungay Rd,78500.0
North Attleborough,Roofing,2026-06-03,Arnold Rd,11150.0
North Attleborough,Deck/Porch,2026-06-03,Second Ave,10000.0
North Attleborough,Building,2026-06-03,Old Post Rd,5000.0
North Attleborough,HVAC,2026-06-03,N Washington St,
North Attleborough,Windows/Doors/Siding,2026-06-02,High St,3000.0
North Attleborough,Kitchen/Bath,2026-06-02,Weona Rd,46000.0
North Attleborough,Roofing,2026-06-02,Kelley Blvd,172000.0
North Attleborough,Roofing,2026-06-02,Paine Rd,13500.0
North Attleborough,Solar,2026-06-02,Mt Hope St,9916.0
North Attleborough,Roofing,2026-06-02,Sheldonville Rd,16980.0
North Attleborough,Roofing,2026-06-02,Allen Ave,35000.0
North Attleborough,Roofing,2026-06-01,Pleasant St,13000.0
North Attleborough,Other,2026-06-01,Mansfield Rd,6408.36
North Attleborough,Renovation/Remodel,2026-06-01,Reardons Field Ln,7000.0
North Attleborough,Pool/Spa,2026-06-01,Stone Ridge Rd,55735.0
North Attleborough,Renovation/Remodel,2026-05-30,Cushman Rd,35400.0
North Attleborough,Windows/Doors/Siding,2026-05-29,Peterson St,6406.0
North Attleborough,Roofing,2026-05-29,N Washington St,15020.0
North Attleborough,Deck/Porch,2026-05-29,N Washington St,10000.0
North Attleborough,Other,2026-05-28,East St,7000.0
North Attleborough,Roofing,2026-05-28,Sunset Ave,5900.0
North Attleborough,Windows/Doors/Siding,2026-05-28,Fir Way,41080.0
North Attleborough,Roofing,2026-05-28,Old Wood Rd,12550.0
North Attleborough,Roofing,2026-05-28,Holmes Rd,24745.0
North Attleborough,Roofing,2026-05-28,Anawan Rd,11750.0
North Attleborough,Deck/Porch,2026-05-28,Westside Ave,5000.0
North Attleborough,Windows/Doors/Siding,2026-05-27,Stone Hill Rd,8504.0
North Attleborough,Roofing,2026-05-27,Pleasant St,5800.0
North Attleborough,Deck/Porch,2026-05-27,Virginia Ave,7550.0
North Attleborough,Roofing,2026-05-26,Weona Rd,12500.0
North Attleborough,Roofing,2026-05-26,Grant St,14000.0
North Attleborough,Other,2026-05-26,Prospect St,8500.0
North Attleborough,Roofing,2026-05-26,Longview Dr,13000.0
North Attleborough,Roofing,2026-05-26,Oakridge Ave,20850.0
North Attleborough,Plumbing,2026-05-26,N Washington St,10060.55
North Attleborough,Kitchen/Bath,2026-05-26,High St,34395.0
North Attleborough,Demolition,2026-05-26,Broadway Ext,445000.0
North Attleborough,Pool/Spa,2026-05-22,Colonial Way,8500.0
North Attleborough,Building,2026-05-22,Plain St,35000.0
North Attleborough,Windows/Doors/Siding,2026-05-21,Mt Hope St,15000.0
North Attleborough,Kitchen/Bath,2026-05-21,Anthony E Greco Cir,4129.4
North Attleborough,Roofing,2026-05-21,Depot St,3600.0
North Attleborough,Roofing,2026-05-21,St Lawrence Way,16980.0
North Attleborough,Deck/Porch,2026-05-21,Autumn Dr,8000.0
North Attleborough,Deck/Porch,2026-05-21,Crescent Ave,4500.0
North Attleborough,Addition,2026-05-20,Autumn Dr,5520.0
North Attleborough,Deck/Porch,2026-05-20,Old Wood Rd,29200.0
North Attleborough,Deck/Porch,2026-05-19,Oakridge Ave,15000.0
North Attleborough,Kitchen/Bath,2026-05-19,Edmund H Nichols Rd,60000.0
North Attleborough,Roofing,2026-05-18,Esther Ave,25984.0
North Attleborough,Roofing,2026-05-18,Highland Meadow Dr,12730.0
North Attleborough,Windows/Doors/Siding,2026-05-18,Elmwood St,46627.29
North Attleborough,Other,2026-05-18,Church St,33000.0
North Attleborough,New Construction,2026-05-18,Aida Cir,430000.0
North Attleborough,Roofing,2026-05-15,Alton Rd,18695.0
North Attleborough,Roofing,2026-05-15,Depot St,30000.0
North Attleborough,Building,2026-05-15,Sumac Ln,3286.66
North Attleborough,Windows/Doors/Siding,2026-05-15,Lyman St,51600.0
North Attleborough,Pool/Spa,2026-05-15,Robyn Rd,6000.0
North Attleborough,Windows/Doors/Siding,2026-05-15,Draper Ave,8682.0
North Attleborough,Windows/Doors/Siding,2026-05-14,William Tanner Ave,3500.0
North Attleborough,Other,2026-05-14,Emmanuel Way,20000.0
North Attleborough,Windows/Doors/Siding,2026-05-13,Gertrude Rd,4070.0
North Attleborough,Roofing,2026-05-13,S Washington St,2500000.0
North Attleborough,Addition,2026-05-12,Mendon Rd,42000.0
North Attleborough,Renovation/Remodel,2026-05-12,Orne St,150000.0
North Attleborough,Kitchen/Bath,2026-05-11,South Washington Street,46000.0
North Attleborough,Windows/Doors/Siding,2026-05-07,Mendon Rd,35000.0
North Attleborough,Other,2026-05-07,Fales Rd,10000.0
North Attleborough,Plumbing,2026-05-07,Mckeon Dr,5711.0
North Attleborough,Roofing,2026-05-06,White Oak Way,14605.47
