town,trade,issued_date,street_masked,valuation
North Reading,HVAC,2026-09-08,Shirley Ave,
North Reading,Renovation/Remodel,2026-09-08,Lakeside Blvd,
North Reading,Gas,2026-09-08,Main St,
North Reading,Building,2026-09-08,Main St,
North Reading,Renovation/Remodel,2026-09-08,Duane Dr,
North Reading,Other,2026-09-08,John Pierson Ln,
North Reading,Gas,2026-09-08,Cranberry Meadow Way,
North Reading,Electrical,2026-09-08,Abbott Rd,
North Reading,Electrical,2026-09-08,Colonial Hill Dr,
North Reading,Electrical,2026-09-08,Hancock St,
North Reading,Other,2026-09-04,Peabody Ct,
North Reading,Renovation/Remodel,2026-09-03,Memory Ln,
North Reading,Renovation/Remodel,2026-09-03,Westward Cir,
North Reading,Renovation/Remodel,2026-09-03,Mid Iron Dr,
North Reading,Electrical,2026-09-03,Aspen Rd,
North Reading,Plumbing,2026-09-03,Shirley Ave,
North Reading,Plumbing,2026-09-03,Fairway Rd,
North Reading,Renovation/Remodel,2026-09-03,Anglewood Ln,
North Reading,Gas,2026-09-03,Shirley Ave,
North Reading,Electrical,2026-09-03,Bishops Way,
North Reading,Renovation/Remodel,2026-09-03,Park St,
North Reading,Renovation/Remodel,2026-09-03,Lakeside Blvd,
North Reading,Electrical,2026-09-02,Berridge Way,
North Reading,Gas,2026-09-02,Peabody St,
North Reading,Other,2026-09-02,Woodcutter Rd,
North Reading,Plumbing,2026-09-02,Peabody St,
North Reading,Electrical,2026-09-01,Elm St,
North Reading,Electrical,2026-09-01,Belmont Ln,
North Reading,Electrical,2026-09-01,Ashwood Dr,
North Reading,Renovation/Remodel,2026-09-01,Evergreen Ter,
North Reading,Plumbing,2026-09-01,Hillview Rd,
North Reading,Electrical,2026-09-01,Samuel Phelps Way,
North Reading,Renovation/Remodel,2026-09-01,Chester St,
North Reading,Renovation/Remodel,2026-09-01,Greene St,
North Reading,Renovation/Remodel,2026-09-01,Haverhill St,
North Reading,Electrical,2026-09-01,Cleek Ct,
North Reading,Gas,2026-09-01,Little Meadow Way,
North Reading,Sign/Awning,2026-09-01,Riverpark Dr,
North Reading,Renovation/Remodel,2026-09-01,Eames St,
North Reading,Electrical,2026-09-01,Stonecleave Rd,
North Reading,Renovation/Remodel,2026-09-01,Harvest Ln,
North Reading,Plumbing,2026-09-01,Shasta Dr,
North Reading,Sign/Awning,2026-09-01,Washington St,
North Reading,Renovation/Remodel,2026-08-31,Nutter Rd,
North Reading,Renovation/Remodel,2026-08-31,Haverhill St,
North Reading,Renovation/Remodel,2026-08-31,Belmont Ln,
North Reading,Electrical,2026-08-28,Shirley Ave,
North Reading,Renovation/Remodel,2026-08-28,Central St,
North Reading,Building,2026-08-28,Haverhill St,
North Reading,Renovation/Remodel,2026-08-28,Macintyre Dr,
North Reading,Renovation/Remodel,2026-08-28,Pilgrim St,
North Reading,Renovation/Remodel,2026-08-28,Turner Dr,
North Reading,Renovation/Remodel,2026-08-27,Stonecleave Rd,
North Reading,Renovation/Remodel,2026-08-27,Cold Spring Rd,
North Reading,Electrical,2026-08-27,Concord St,
North Reading,HVAC,2026-08-27,Brassie Way,
North Reading,Renovation/Remodel,2026-08-27,Dogwood Ln,
North Reading,HVAC,2026-08-27,Chipper Ln,
North Reading,HVAC,2026-08-27,Eames St,
North Reading,Renovation/Remodel,2026-08-27,Mid Iron Dr,
North Reading,HVAC,2026-08-27,Cranberry Meadow Way,
North Reading,Gas,2026-08-27,Concord St,
North Reading,Renovation/Remodel,2026-08-27,Abbott Rd,
North Reading,Gas,2026-08-26,Pine Glen Dr,
North Reading,Plumbing,2026-08-26,Cranberry Meadow Way,
North Reading,Plumbing,2026-08-26,Park St,
North Reading,Electrical,2026-08-26,Fieldcrest Ter,
North Reading,Electrical,2026-08-26,Fairway Rd,
North Reading,Electrical,2026-08-26,Belmont Ln,
North Reading,Building,2026-08-26,Nichols St,
North Reading,Renovation/Remodel,2026-08-25,Cedar St,
North Reading,Renovation/Remodel,2026-08-25,Hancock St,
North Reading,Gas,2026-08-25,Haverhill St,
North Reading,Gas,2026-08-25,Central St,
North Reading,Other,2026-08-25,Park St,
North Reading,HVAC,2026-08-25,Park St,
North Reading,Gas,2026-08-25,Park St,
North Reading,Electrical,2026-08-25,Meade Rd,
North Reading,Plumbing,2026-08-24,Eames St,
North Reading,Renovation/Remodel,2026-08-24,Swan Pond Rd,
North Reading,Renovation/Remodel,2026-08-24,Valley Rd,
North Reading,Plumbing,2026-08-24,Stonecleave Rd,
North Reading,Gas,2026-08-24,Cranberry Meadow Way,
North Reading,Renovation/Remodel,2026-08-24,Pine Ridge Rd,
North Reading,Gas,2026-08-24,Park St,
North Reading,Gas,2026-08-24,Stonecleave Rd,
North Reading,Plumbing,2026-08-21,Main St,
North Reading,Gas,2026-08-21,Eames St,
North Reading,Renovation/Remodel,2026-08-20,Heritage Way,
North Reading,HVAC,2026-08-19,Wright St,
North Reading,Building,2026-08-19,Riverpark Dr,
North Reading,Electrical,2026-08-19,Main St,
North Reading,Renovation/Remodel,2026-08-18,Park St,
North Reading,Renovation/Remodel,2026-08-17,Lowell Rd,
North Reading,Gas,2026-08-17,Niblick Way,
North Reading,HVAC,2026-08-17,Belmont Ln,
North Reading,Electrical,2026-08-17,North St,
North Reading,Renovation/Remodel,2026-08-17,Dodge Rd,
North Reading,Electrical,2026-08-17,Intersection Park St @ Central St,
North Reading,Electrical,2026-08-17,Riverside Dr,
North Reading,Building,2026-08-17,Park St,
North Reading,Electrical,2026-08-17,Haverhill St,
North Reading,Renovation/Remodel,2026-08-17,Vine St,
North Reading,Renovation/Remodel,2026-08-17,Pine Ave,
North Reading,Renovation/Remodel,2026-08-17,Burroughs Rd,
North Reading,Electrical,2026-08-17,Wright St,
North Reading,Electrical,2026-08-17,Riverpark Dr,
North Reading,Plumbing,2026-08-14,Gowing Ln,
North Reading,Renovation/Remodel,2026-08-14,East St,
North Reading,Electrical,2026-08-14,Peter Rd,
North Reading,Electrical,2026-08-14,Pine Glen Dr,
North Reading,HVAC,2026-08-14,Northridge Dr,
North Reading,Renovation/Remodel,2026-08-14,Park St,
North Reading,Renovation/Remodel,2026-08-14,Rust Ln,
