town,trade,issued_date,street_masked,valuation
Otis,Renovation/Remodel,2026-09-08,South Lake Av,
Otis,Renovation/Remodel,2026-09-08,Becket Rd,
Otis,Renovation/Remodel,2026-09-08,Reservoir Rd,
Otis,Electrical,2026-09-04,North Main Rd,
Otis,Gas,2026-09-03,Kibbe Rd,
Otis,Plumbing,2026-09-03,Brookman Dr,
Otis,Renovation/Remodel,2026-09-02,Evergreen Dr,
Otis,Electrical,2026-09-01,Drive D,
Otis,Electrical,2026-09-01,Brookman Dr,
Otis,Renovation/Remodel,2026-08-31,Tolland Rd,
Otis,Plumbing,2026-08-30,Stebbins Rd,
Otis,Electrical,2026-08-27,Reservoir Heights Rd,
Otis,Electrical,2026-08-27,North Main Rd,
Otis,Electrical,2026-08-27,Ticonderoga Av,
Otis,Electrical,2026-08-26,Becket Rd,
Otis,Renovation/Remodel,2026-08-25,South Lake Av,
Otis,Renovation/Remodel,2026-08-24,Benton Dr,
Otis,Renovation/Remodel,2026-08-23,North Main Rd,
Otis,Renovation/Remodel,2026-08-21,Leisure Lane,
Otis,Renovation/Remodel,2026-08-21,Leonard Rd,
Otis,Renovation/Remodel,2026-08-20,East Otis Rd,
Otis,Electrical,2026-08-19,Hayes Hill Rd,
Otis,Gas,2026-08-13,Hayes Hill Rd,
Otis,Plumbing,2026-08-13,Hayes Hill Rd,
Otis,Electrical,2026-08-11,North Main Rd,
Otis,Electrical,2026-08-11,South Lake Av,
Otis,Electrical,2026-08-11,Dimmock Rd,
Otis,Electrical,2026-08-11,Monterey Rd,
Otis,Plumbing,2026-08-10,East Otis Rd,
Otis,Renovation/Remodel,2026-08-10,Dimmock Rd,
Otis,Gas,2026-08-10,East Otis Rd,
Otis,Electrical,2026-08-06,Brookman Dr,
Otis,Electrical,2026-08-06,South St,
Otis,Electrical,2026-08-06,Dimmock Rd,
Otis,Renovation/Remodel,2026-08-06,Pike Rd,
Otis,Other,2026-08-04,South Main Road,
Otis,Renovation/Remodel,2026-08-04,South Gate Island Rd,
Otis,Renovation/Remodel,2026-08-04,Norton Rd Ext,
Otis,Renovation/Remodel,2026-07-30,Monterey Rd,
Otis,Renovation/Remodel,2026-07-29,North Pine St,
Otis,Renovation/Remodel,2026-07-29,Magovern Dr,
Otis,Renovation/Remodel,2026-07-29,Werden Rd,
Otis,Renovation/Remodel,2026-07-27,Kibbe Point Rd,
Otis,Renovation/Remodel,2026-07-23,Norton Rd,
Otis,Renovation/Remodel,2026-07-22,West Center Rd,
Otis,Renovation/Remodel,2026-07-22,Kibbe Point Rd,
Otis,Renovation/Remodel,2026-07-22,North Main Rd,
Otis,Renovation/Remodel,2026-07-22,Kingsley Rd,
Otis,Renovation/Remodel,2026-07-21,Pinnacle Rd,
Otis,Electrical,2026-07-21,Pine Rd,
Otis,Gas,2026-07-19,Tolland Rd,
Otis,Renovation/Remodel,2026-07-17,Stanley Rd,
Otis,Gas,2026-07-16,Tolland Rd,
Otis,Renovation/Remodel,2026-07-16,Oak Lane,
Otis,Renovation/Remodel,2026-07-15,North Main Rd,
Otis,Renovation/Remodel,2026-07-15,Pine Rd,
Otis,Renovation/Remodel,2026-07-14,Monterey Rd,
Otis,Plumbing,2026-07-14,East Otis Rd,
Otis,Renovation/Remodel,2026-07-14,Pine Rd,
Otis,Renovation/Remodel,2026-07-14,Pine Grove Ridge,
Otis,Gas,2026-07-10,Tolland Rd,
Otis,Renovation/Remodel,2026-07-08,South Main Rd,
Otis,Renovation/Remodel,2026-07-08,East Otis Rd,
Otis,Renovation/Remodel,2026-07-07,Sequena Dr,
Otis,Renovation/Remodel,2026-07-07,North Main Rd,
Otis,Renovation/Remodel,2026-07-03,Pine Rd,
Otis,Electrical,2026-07-02,Sequena Dr,
Otis,Electrical,2026-06-30,Becket Rd,
Otis,Electrical,2026-06-30,N Blandford Rd,
Otis,Electrical,2026-06-30,Pine Rd,
Otis,Electrical,2026-06-30,North Main Rd,
Otis,Electrical,2026-06-30,Stebbins Rd,
Otis,Renovation/Remodel,2026-06-28,Reservoir Rd,
Otis,Gas,2026-06-27,Monterey Rd,
Otis,Gas,2026-06-27,Birch Dr,
Otis,Plumbing,2026-06-27,Lake Shore Dr,
Otis,Gas,2026-06-27,Reservoir Rd,
Otis,Gas,2026-06-19,Elm Lane,
Otis,Electrical,2026-06-18,Towhee Trail,
Otis,Electrical,2026-06-18,Sequena Dr,
Otis,Electrical,2026-06-18,North Main Rd,
Otis,Renovation/Remodel,2026-06-16,Pine Grove Ridge,
Otis,Building,2026-06-16,North Main Rd,
Otis,Renovation/Remodel,2026-06-16,East Shore Rd,
Otis,Electrical,2026-06-16,Old Quarry Rd,
Otis,Renovation/Remodel,2026-06-11,Ridge Av,
Otis,Renovation/Remodel,2026-06-11,Mc Clean Beach Rd,
Otis,Other,2026-06-09,Club House Dr,
Otis,Electrical,2026-06-09,Tolland Rd,
Otis,Renovation/Remodel,2026-06-08,Drive D,
Otis,Renovation/Remodel,2026-06-08,Telephone Rd,
Otis,Gas,2026-06-07,Reservoir Rd,
Otis,Plumbing,2026-06-07,Drive D,
Otis,Plumbing,2026-06-03,Point Rd,
Otis,Gas,2026-06-03,Point Rd,
Otis,Electrical,2026-06-01,Reservoir Rd,
