town,trade,issued_date,street_masked,valuation
Provincetown,Windows/Doors/Siding,2026-08-01,Point St,6600.0
Provincetown,Other,2026-08-01,Commercial St,14545.44
Provincetown,Solar,2026-08-01,Nelson Ave,56000.0
Provincetown,Deck/Porch,2026-08-01,Point St,15000.0
Provincetown,Other,2026-08-01,"Commercial St, Unit",1896.94
Provincetown,Solar,2026-08-01,Franklin St,24095.0
Provincetown,Windows/Doors/Siding,2026-08-01,"Sandy Hill Ln, Unit Ub",2000.0
Provincetown,Electrical,2026-08-01,Commercial St,10000.0
Provincetown,Kitchen/Bath,2026-08-01,"Sandy Hill Ln, Unit Ub",20200.0
Provincetown,Solar,2026-08-01,Bayberry Ave,12062.5
Provincetown,Kitchen/Bath,2026-08-01,"Bradford St, Unit Ua",38459.0
Provincetown,Windows/Doors/Siding,2026-08-01,Commercial St,73159.38
Provincetown,Windows/Doors/Siding,2026-08-01,"Seashore Park Dr, Unit Ue",10131.0
Provincetown,Renovation/Remodel,2026-08-01,"Mayflower Ave, Unit",87480.0
Provincetown,Windows/Doors/Siding,2026-08-01,Bradford St,100000.0
Provincetown,Other,2026-08-01,Mayflower Ave,4000.0
Provincetown,Windows/Doors/Siding,2026-08-01,Commercial St,19000.0
Provincetown,Windows/Doors/Siding,2026-08-01,Commercial St,10000.0
Provincetown,Windows/Doors/Siding,2026-08-01,"Commercial St, Unit Ua",18000.0
Provincetown,Renovation/Remodel,2026-08-01,Bradford St,1000.0
Provincetown,Windows/Doors/Siding,2026-08-01,Commercial St,11101.0
Provincetown,Kitchen/Bath,2026-08-01,"Alden St, Unit",45000.0
Provincetown,Other,2026-08-01,Commercial St,125000.0
Provincetown,Roofing,2026-08-01,"Bradford St, Unit",70473.0
Provincetown,Addition,2026-08-01,Franklin St,615580.0
Provincetown,Kitchen/Bath,2026-08-01,"Mayflower Ave, Unit",115000.0
Provincetown,Building,2026-08-01,Bayberry Ave,220800.0
Provincetown,Pool/Spa,2026-08-01,Bayberry Ave,4166400.0
Provincetown,Windows/Doors/Siding,2026-07-01,Somerset Rd,9052.0
Provincetown,Electrical,2026-07-01,Harry Kemp Wy,30004.0
Provincetown,Windows/Doors/Siding,2026-07-01,Aunt Sukeys Wy,6440.0
Provincetown,Windows/Doors/Siding,2026-07-01,Thistlemore Rd,5371.0
Provincetown,Building,2026-07-01,Bradford St,20000.0
Provincetown,Fire/Sprinkler,2026-07-01,Carver St,5000.0
Provincetown,Other,2026-07-01,Commercial St,25000.0
Provincetown,Windows/Doors/Siding,2026-07-01,Commercial St,9500.0
Provincetown,Deck/Porch,2026-07-01,Court St,12000.0
Provincetown,Windows/Doors/Siding,2026-07-01,"Carnes Ln, Unit",4215.0
Provincetown,Windows/Doors/Siding,2026-07-01,Commercial St,21850.0
Provincetown,Windows/Doors/Siding,2026-07-01,Bayberry Ave,6534.0
Provincetown,Kitchen/Bath,2026-07-01,Thistlemore Wy,58549.0
Provincetown,Fire/Sprinkler,2026-07-01,Commercial St,8056.98
Provincetown,Building,2026-07-01,Race Rd,19500.0
Provincetown,Windows/Doors/Siding,2026-07-01,Commercial St,14712.0
Provincetown,Other,2026-07-01,Off Conwell St,2300.0
Provincetown,Plumbing,2026-07-01,"Meadow Rd, Unit",11000.0
Provincetown,Roofing,2026-07-01,Conant St,18000.0
Provincetown,Other,2026-07-01,"Dyer St, Unit Uc",5000.0
Provincetown,Other,2026-07-01,Bradford St,7000.0
Provincetown,Kitchen/Bath,2026-07-01,Commercial St,23515.0
Provincetown,Kitchen/Bath,2026-07-01,Hancock St,17443.0
Provincetown,Other,2026-07-01,Commercial St,18000.0
Provincetown,Deck/Porch,2026-07-01,Schueler Blvd,30000.0
Provincetown,Building,2026-07-01,"Franklin St, Unit Main Building",715000.0
Provincetown,Windows/Doors/Siding,2026-07-01,"Commercial St, Unit",247430.0
Provincetown,Kitchen/Bath,2026-07-01,Commercial St,7500.0
Provincetown,Other,2026-07-01,Winston Ct,3000.0
Provincetown,Renovation/Remodel,2026-07-01,Conant St,575000.0
Provincetown,Deck/Porch,2026-07-01,"Harry Kemp Wy, Unit",24000.0
