town,trade,issued_date,street_masked,valuation
Reading,Demolition,2026-07-30,Family Circle,37000.0
Reading,Roofing,2026-07-30,Martin Road,475000.0
Reading,Roofing,2026-07-29,Winthrop Avenue,325000.0
Reading,Renovation/Remodel,2026-07-29,Juniper Circle,10632.0
Reading,HVAC,2026-07-29,Whittier Road,464700.0
Reading,Kitchen/Bath,2026-07-29,Summit Drive,19890.0
Reading,Kitchen/Bath,2026-07-29,Thomas Drive,88328.0
Reading,Fire/Sprinkler,2026-07-29,Haverhill Street,3700.0
Reading,Addition,2026-07-29,Chute Street,132800.0
Reading,Roofing,2026-07-29,Sandra Lane,15850.0
Reading,Kitchen/Bath,2026-07-29,Oak Ridge Road,375000.0
Reading,Roofing,2026-07-29,Gilmore Avenue,448450.0
Reading,Building,2026-07-28,Pearl Street,10000.0
Reading,Windows/Doors/Siding,2026-07-28,Woodward Avenue,27617.0
Reading,Building,2026-07-28,Thomas Drive,10400.0
Reading,Windows/Doors/Siding,2026-07-27,Canterbury Drive,1391.0
Reading,Windows/Doors/Siding,2026-07-27,Belmont Street,32000.0
Reading,Windows/Doors/Siding,2026-07-27,Juniper Circle,26321.0
Reading,Building,2026-07-27,Summer Avenue,8979.0
Reading,Roofing,2026-07-27,Dana Road,77000.0
Reading,Kitchen/Bath,2026-07-27,Colonial Drive,3000.0
Reading,Roofing,2026-07-27,Main Street,60000.0
Reading,Windows/Doors/Siding,2026-07-27,Washington Street,4100.0
Reading,Addition,2026-07-23,Varney Circle,189000.0
Reading,Electrical,2026-07-23,Tamarack Road,60000.0
Reading,Windows/Doors/Siding,2026-07-23,Hanscom Avenue,711340.5
Reading,Electrical,2026-07-22,Wood End Lane,2000.0
Reading,Kitchen/Bath,2026-07-22,Pine Ridge Road,75000.0
Reading,Electrical,2026-07-22,Estate Lane,12500.0
Reading,Pool/Spa,2026-07-22,Middlesex Avenue,29800.0
Reading,Renovation/Remodel,2026-07-22,Haven Street,15300.0
Reading,Addition,2026-07-22,Grand Street,2050.0
Reading,Building,2026-07-21,Beaver Road,4831.28
Reading,Kitchen/Bath,2026-07-21,County Road,111300.0
Reading,Deck/Porch,2026-07-21,Belmont Street,30000.0
Reading,Pool/Spa,2026-07-21,Benton Circle,61500.0
Reading,Addition,2026-07-21,Franklin Street,259500.0
Reading,Addition,2026-07-21,Summit Drive,12000.0
Reading,Deck/Porch,2026-07-21,Summer Avenue,650000.0
Reading,Plumbing,2026-07-21,Walkers Brook Drive,512212.0
Reading,Renovation/Remodel,2026-07-21,Main Street,96000.0
Reading,HVAC,2026-07-21,Osborne Avenue,22000.0
Reading,Deck/Porch,2026-07-21,Parkman Road,784000.0
Reading,Roofing,2026-07-20,Annette Lane,5107.0
Reading,Windows/Doors/Siding,2026-07-20,Harrison Street,53585.0
Reading,Roofing,2026-07-20,Keith Road,54440.0
Reading,Windows/Doors/Siding,2026-07-20,Ide Street,22981.0
Reading,New Construction,2026-07-20,John Street,18000.0
Reading,Building,2026-07-20,Annette Lane,4500.0
Reading,Building,2026-07-20,Greystone Way,1033.0
Reading,Kitchen/Bath,2026-07-20,West Street,80469.0
Reading,Kitchen/Bath,2026-07-20,Pearl Street,19209.0
Reading,Kitchen/Bath,2026-07-20,Oakland Road,130965.0
Reading,Windows/Doors/Siding,2026-07-16,Lilah Lane,9500.0
Reading,Building,2026-07-16,Sunnyside Avenue,4400.0
Reading,Building,2026-07-15,Hopkins Street,1189.01
Reading,Building,2026-07-15,Pearl Street,1199.13
Reading,Deck/Porch,2026-07-15,Scotland Road,65000.0
Reading,New Construction,2026-07-15,Batchelder Road,92000.0
Reading,Windows/Doors/Siding,2026-07-14,Summer Avenue,26978.0
Reading,Kitchen/Bath,2026-07-14,Bolton Street,120000.0
Reading,Renovation/Remodel,2026-07-14,Lowell Street,11200.0
Reading,Renovation/Remodel,2026-07-14,Woburn Street,151425.0
Reading,Kitchen/Bath,2026-07-14,West Street,76000.0
Reading,Roofing,2026-07-14,Lowell Street,341867.0
Reading,Deck/Porch,2026-07-14,Grandview Road,727000.0
Reading,Deck/Porch,2026-07-14,Prescott Street,7600.0
Reading,Kitchen/Bath,2026-07-14,Haverhill Street,25000.0
Reading,Roofing,2026-07-14,Pearl Street,22076.0
Reading,Windows/Doors/Siding,2026-07-14,Gazebo Circle,16945.0
Reading,Roofing,2026-07-14,Hopkins Street,50000.0
Reading,Windows/Doors/Siding,2026-07-13,Wilson Street,14672.0
Reading,Windows/Doors/Siding,2026-07-10,Arcadia Avenue,11555.0
Reading,Roofing,2026-07-10,Gleason Road,34231.64
Reading,Roofing,2026-07-08,Thomas Drive,11000.0
Reading,Pool/Spa,2026-07-08,Selfridge Road,138866.0
Reading,Kitchen/Bath,2026-07-08,Augustus Court,115228.0
Reading,Building,2026-07-08,Bradford Road,21500.0
Reading,Deck/Porch,2026-07-08,Partridge Road,665000.0
Reading,Deck/Porch,2026-07-07,Lakeview Avenue,20562.0
Reading,Renovation/Remodel,2026-07-07,Main Street,25000.0
Reading,Sign/Awning,2026-07-07,Main Street,8000.0
Reading,Kitchen/Bath,2026-07-07,West Street,632270.0
Reading,Windows/Doors/Siding,2026-07-07,Cumberland Road,8513.0
Reading,Windows/Doors/Siding,2026-07-07,Greenwood Road,10080.0
Reading,Roofing,2026-07-06,Sunnyside Avenue,717000.0
Reading,Building,2026-07-06,Intervale Terrace,6000.0
Reading,Roofing,2026-07-06,Pratt Street,104440.0
Reading,Windows/Doors/Siding,2026-07-06,Mineral Street,26224.95
Reading,Kitchen/Bath,2026-07-02,Range Road,19357000.0
Reading,Roofing,2026-07-02,Temple Street,8729.0
Reading,Addition,2026-07-02,Main Street,55000.0
Reading,Renovation/Remodel,2026-07-01,General Way,242645.0
Reading,Kitchen/Bath,2026-07-01,Haverhill Street,128640.0
Reading,Building,2026-06-30,Oak Street,2288.68
Reading,Windows/Doors/Siding,2026-06-30,Virginia Circle,7850.0
Reading,Electrical,2026-06-30,Lewis Street,8000.0
Reading,HVAC,2026-06-30,High Street,100000.0
Reading,Roofing,2026-06-30,Summer Avenue,9844.0
Reading,Electrical,2026-06-30,Pearl Street,5000.0
Reading,Sign/Awning,2026-06-30,Haven Street,950.0
Reading,Addition,2026-06-29,Martin Road,588000.0
Reading,New Construction,2026-06-29,Franklin Street,39600.0
Reading,Building,2026-06-29,James Road,19699.0
Reading,Building,2026-06-26,Pleasant Street,4000.0
Reading,Building,2026-06-26,Cape Cod Avenue,3390.04
Reading,Electrical,2026-06-25,Main Street,37369.95
Reading,Kitchen/Bath,2026-06-25,Parkview Road,38847.0
Reading,Roofing,2026-06-25,Summer Avenue,41900.0
Reading,Kitchen/Bath,2026-06-25,Pasture Road,7000.0
Reading,Roofing,2026-06-25,Forest Street,12800.0
Reading,Pool/Spa,2026-06-25,South Street,8500.0
Reading,Kitchen/Bath,2026-06-25,South Street,375000.0
Reading,Windows/Doors/Siding,2026-06-25,Arrow Circle,46486.84
Reading,Sign/Awning,2026-06-25,General Way,500.0
Reading,Building,2026-06-24,Main Street,2029.0
Reading,Windows/Doors/Siding,2026-06-24,Haverhill Street,20000.0
Reading,Building,2026-06-24,Sanborn Lane,7847.1
Reading,Demolition,2026-06-24,Van Norden Road,
Reading,Windows/Doors/Siding,2026-06-24,Gleason Road,13075.0
Reading,Fire/Sprinkler,2026-06-24,Arrow Circle,264530.0
Reading,Deck/Porch,2026-06-23,Annette Lane,23100.0
Reading,New Construction,2026-06-23,Van Norden Road,2287000.0
Reading,Windows/Doors/Siding,2026-06-23,Lowell Street,13449.0
Reading,Windows/Doors/Siding,2026-06-23,Franklin Street,240500.0
Reading,Deck/Porch,2026-06-23,Benton Circle,20000.0
Reading,Roofing,2026-06-23,Priscilla Road,9750.0
Reading,Windows/Doors/Siding,2026-06-23,Forest Street,3205.0
Reading,Addition,2026-06-23,Pearl Street,325625.0
Reading,Roofing,2026-06-23,Temple Street,518845.0
Reading,Roofing,2026-06-23,Sweetser Avenue,32790.0
Reading,Pool/Spa,2026-06-23,Arrow Circle,71700.0
Reading,Kitchen/Bath,2026-06-23,Winthrop Avenue,61200.0
Reading,New Construction,2026-06-23,Main Street,36300.0
Reading,Addition,2026-06-22,Minot Street,429502.0
Reading,Roofing,2026-06-22,Green Street,7401.0
Reading,Deck/Porch,2026-06-22,Bainbridge Road,18694.0
Reading,Kitchen/Bath,2026-06-22,Hunt Street,327975.0
Reading,Kitchen/Bath,2026-06-22,Salem Street,12500.0
Reading,Kitchen/Bath,2026-06-22,Bancroft Avenue,55101.0
Reading,Fire/Sprinkler,2026-06-22,Main Street,22500.0
Reading,Deck/Porch,2026-06-22,Orange Street,403515.0
Reading,Building,2026-06-22,Boyce Street,10200.0
Reading,Pool/Spa,2026-06-22,Prospect Street,29000.0
Reading,Windows/Doors/Siding,2026-06-22,Woburn Street,54880.0
Reading,Windows/Doors/Siding,2026-06-21,Shelby Road,12172.0
Reading,Roofing,2026-06-21,Virginia Road,47387.0
Reading,Roofing,2026-06-21,Chapel Hill Drive,18863.0
Reading,Building,2026-06-19,Green Street,5000.0
Reading,Kitchen/Bath,2026-06-17,Charles Street,100000.0
Reading,Windows/Doors/Siding,2026-06-17,Summit Drive,3080.0
Reading,Roofing,2026-06-17,Laneton Way,475000.0
Reading,Kitchen/Bath,2026-06-17,Howard Street,229000.0
Reading,Windows/Doors/Siding,2026-06-17,Sanborn Lane,79994.0
Reading,Roofing,2026-06-17,Franklin Street,81684.0
Reading,Kitchen/Bath,2026-06-17,Grand Street,46780.0
Reading,Windows/Doors/Siding,2026-06-17,Grey Coach Road,5296.0
Reading,Building,2026-06-17,Mt Vernon Street,9000.0
Reading,Windows/Doors/Siding,2026-06-17,Bay State Road,4035.0
Reading,Windows/Doors/Siding,2026-06-16,Howard Street,8090.0
