town,trade,issued_date,street_masked,valuation
Rehoboth,Electrical,2026-09-08,Mine Brook Rd,
Rehoboth,Gas,2026-09-08,Mason St,
Rehoboth,Renovation/Remodel,2026-09-08,Pond St,
Rehoboth,HVAC,2026-09-08,Plain St,
Rehoboth,Gas,2026-09-08,Plain St,
Rehoboth,Building,2026-09-08,Winthrop St,
Rehoboth,Renovation/Remodel,2026-09-08,Meadowlark Dr,
Rehoboth,Renovation/Remodel,2026-09-08,Bay State Rd,
Rehoboth,Renovation/Remodel,2026-09-08,Bucklin Dr,
Rehoboth,Electrical,2026-09-04,Pond St,
Rehoboth,Plumbing,2026-09-04,Chestnut St,
Rehoboth,Renovation/Remodel,2026-09-04,Colonial Way,
Rehoboth,Renovation/Remodel,2026-09-04,Danforth St,
Rehoboth,Other,2026-09-04,County St,
Rehoboth,Electrical,2026-09-03,Stoneybrook Rd,
Rehoboth,Gas,2026-09-03,Gorham St,
Rehoboth,Electrical,2026-09-03,Danforth St,
Rehoboth,HVAC,2026-09-03,Ciana Rd,
Rehoboth,Renovation/Remodel,2026-09-03,Purchase St,
Rehoboth,Renovation/Remodel,2026-09-03,Maple Ln,
Rehoboth,Renovation/Remodel,2026-09-03,Pine St,
Rehoboth,Gas,2026-09-03,Tremont St,
Rehoboth,Building,2026-09-03,Tremont St,
Rehoboth,Electrical,2026-09-03,Homestead Ave,
Rehoboth,Renovation/Remodel,2026-09-03,Chestnut St,
Rehoboth,Electrical,2026-09-03,Summer St,
Rehoboth,Renovation/Remodel,2026-09-03,Blanding Rd,
Rehoboth,Renovation/Remodel,2026-09-03,Nichols St,
Rehoboth,Renovation/Remodel,2026-09-03,Wilmarth Bridge Rd,
Rehoboth,Electrical,2026-09-02,Mason St,
Rehoboth,Renovation/Remodel,2026-09-02,Mason St,
Rehoboth,HVAC,2026-09-02,Tremont St,
Rehoboth,Gas,2026-09-02,Wedge Way,
Rehoboth,Other,2026-09-02,Fairview Ave,
Rehoboth,Building,2026-09-01,New St,
Rehoboth,Building,2026-09-01,Tremont St,
Rehoboth,Electrical,2026-09-01,Chestnut St,
Rehoboth,Gas,2026-09-01,Peck St,
Rehoboth,Plumbing,2026-09-01,Peck St,
Rehoboth,Gas,2026-09-01,Anawan St,
Rehoboth,Gas,2026-09-01,Sophia Dr,
Rehoboth,Plumbing,2026-09-01,Sophia Dr,
Rehoboth,Gas,2026-09-01,Yvonne Ln,
Rehoboth,Plumbing,2026-09-01,Yvonne Ln,
Rehoboth,Renovation/Remodel,2026-09-01,Moulton St,
Rehoboth,Gas,2026-09-01,Hickory Ridge Rd,
Rehoboth,Renovation/Remodel,2026-09-01,Water St,
Rehoboth,Building,2026-09-01,Samantha Ln,
Rehoboth,Renovation/Remodel,2026-08-31,Agricultural Ave,
Rehoboth,Renovation/Remodel,2026-08-31,Peck St,
Rehoboth,Electrical,2026-08-28,Martin St,
Rehoboth,Electrical,2026-08-28,Summer St,
Rehoboth,Plumbing,2026-08-28,Hillside Ave,
Rehoboth,Gas,2026-08-27,Anawan,
Rehoboth,Electrical,2026-08-27,Colonial Way,
Rehoboth,Renovation/Remodel,2026-08-27,Colonial Way,
Rehoboth,Gas,2026-08-27,Anawan St,
Rehoboth,Renovation/Remodel,2026-08-27,Danforth St,
Rehoboth,Renovation/Remodel,2026-08-27,Peckham St,
Rehoboth,Renovation/Remodel,2026-08-27,Veader Farm Rd,
Rehoboth,Renovation/Remodel,2026-08-27,Pine St,
Rehoboth,Electrical,2026-08-26,Cedar St,
Rehoboth,Gas,2026-08-25,Wedge Way,
Rehoboth,Renovation/Remodel,2026-08-25,Lake St,
Rehoboth,Renovation/Remodel,2026-08-25,Salisbury St,
Rehoboth,Renovation/Remodel,2026-08-25,Gorham St,
Rehoboth,Renovation/Remodel,2026-08-25,Clubhouse Way,
Rehoboth,HVAC,2026-08-24,Homestead Ave,
Rehoboth,Plumbing,2026-08-24,Sophia Dr,
Rehoboth,Renovation/Remodel,2026-08-24,Simmons Street,
Rehoboth,Renovation/Remodel,2026-08-24,November Ln,
Rehoboth,Building,2026-08-24,Tremont St,
Rehoboth,Electrical,2026-08-22,Agricultural Ave,
Rehoboth,Electrical,2026-08-21,Cameron Way,
Rehoboth,Plumbing,2026-08-20,Round Farm Rd,
Rehoboth,Electrical,2026-08-20,November Ln,
Rehoboth,Other,2026-08-20,Peckham St,
Rehoboth,Gas,2026-08-20,Cameron Way,
