town,trade,issued_date,street_masked,valuation
Roslindale,HVAC,2026-07-24,Bradwood St,162650.0
Roslindale,Electrical,2026-07-24,Beech St,30000.0
Roslindale,Electrical,2026-07-24,South St,14000.0
Roslindale,Electrical,2026-07-24,Cornell St,5000.0
Roslindale,Other,2026-07-24,Hillview Av,6039.08
Roslindale,Plumbing,2026-07-23,Walter St,9000.0
Roslindale,HVAC,2026-07-23,Basto Te,35000.0
Roslindale,HVAC,2026-07-23,Hillock St,2500.0
Roslindale,Electrical,2026-07-23,Beech St,7000.0
Roslindale,Electrical,2026-07-23,Washington St,600000.0
Roslindale,Plumbing,2026-07-23,Cummins Hw,3000.0
Roslindale,Renovation/Remodel,2026-07-22,Weld St,5500.0
Roslindale,Kitchen/Bath,2026-07-22,Lorraine St,500000.0
Roslindale,Kitchen/Bath,2026-07-22,Haydn St,16500.0
Roslindale,Kitchen/Bath,2026-07-22,Haydn St,18000.0
Roslindale,Roofing,2026-07-22,Roslindale Av,14600.76
Roslindale,Deck/Porch,2026-07-22,Ashfield St,23000.0
Roslindale,Windows/Doors/Siding,2026-07-22,South St,3647.0
Roslindale,HVAC,2026-07-22,Mendelssohn St,27078.75
Roslindale,Other,2026-07-22,Centre St,2000.0
Roslindale,Electrical,2026-07-22,Bexley Rd,2000.0
Roslindale,Plumbing,2026-07-22,Bexley Rd,5200.0
Roslindale,Windows/Doors/Siding,2026-07-21,Cohasset St,2247.0
Roslindale,Renovation/Remodel,2026-07-21,Washington St,45000.0
Roslindale,Roofing,2026-07-21,Mount Hope St,17470.0
Roslindale,Kitchen/Bath,2026-07-21,Walter St,50676.0
Roslindale,Electrical,2026-07-21,Cummins Hw,60000.0
Roslindale,Electrical,2026-07-21,Grandview St,8200.0
Roslindale,Plumbing,2026-07-21,Delano Ct,8000.0
Roslindale,Other,2026-07-21,Ashfield St,7100.48
Roslindale,HVAC,2026-07-21,Roslindale Av,22243.5
Roslindale,Electrical,2026-07-21,Aldrich St,5800.0
Roslindale,Renovation/Remodel,2026-07-20,Knoll St,
Roslindale,Other,2026-07-20,Orange St,9600.0
Roslindale,Other,2026-07-20,Bradwood St,3000.0
Roslindale,Solar,2026-07-20,Claron St,51600.0
Roslindale,Windows/Doors/Siding,2026-07-20,Allandale St,18154.55
Roslindale,Other,2026-07-20,Primrose St,6000.0
Roslindale,Kitchen/Bath,2026-07-20,Poplar St,16633.0
Roslindale,Windows/Doors/Siding,2026-07-20,Granada Av,1766.0
Roslindale,Plumbing,2026-07-20,Conway St,500.0
Roslindale,Windows/Doors/Siding,2026-07-20,Vista St,3135.0
Roslindale,Plumbing,2026-07-20,Basto Te,7000.0
Roslindale,Gas,2026-07-20,Basto Te,3000.0
Roslindale,HVAC,2026-07-18,Metcalf St,16500.0
Roslindale,Demolition,2026-07-17,Belgrade Av,25000.0
Roslindale,Demolition,2026-07-17,Belgrade Av,30000.0
Roslindale,Other,2026-07-17,South St,80000.0
Roslindale,Kitchen/Bath,2026-07-17,Westbourne St,43000.0
Roslindale,Electrical,2026-07-17,Marion St,12750.0
Roslindale,Deck/Porch,2026-07-17,Washington St,30000.0
Roslindale,Electrical,2026-07-17,Newburg St,75000.0
Roslindale,Electrical,2026-07-17,South St,3500.0
Roslindale,Gas,2026-07-16,Washington St,4500.0
Roslindale,Deck/Porch,2026-07-16,Liszt St,11708.63
Roslindale,Plumbing,2026-07-16,Poplar St,500.0
Roslindale,HVAC,2026-07-16,Washington St,3500.0
Roslindale,Plumbing,2026-07-16,Buchanan Rd,2800.0
Roslindale,Plumbing,2026-07-16,Washington St,4000.0
Roslindale,Plumbing,2026-07-15,South St,4650.0
Roslindale,Addition,2026-07-15,Canterbury St,136000.0
Roslindale,Gas,2026-07-15,Burley St,2500.0
Roslindale,Plumbing,2026-07-15,Burley St,2500.0
Roslindale,Renovation/Remodel,2026-07-15,Cedrus Av,1.0
Roslindale,Renovation/Remodel,2026-07-15,Robert St,77500.0
Roslindale,Renovation/Remodel,2026-07-15,Crandall St,2000.0
Roslindale,HVAC,2026-07-15,Bateman St,5500.0
Roslindale,Roofing,2026-07-15,Eastbourne St,19500.0
Roslindale,Electrical,2026-07-15,Mount Hope St,9500.0
Roslindale,Electrical,2026-07-14,Cornell St,40375.0
Roslindale,HVAC,2026-07-14,Basto Te,148050.0
Roslindale,Roofing,2026-07-14,Firth Rd,19000.0
Roslindale,Windows/Doors/Siding,2026-07-14,Firth Rd,53996.0
Roslindale,Electrical,2026-07-14,Allandale St,8000.0
Roslindale,HVAC,2026-07-14,Rosemere Ct,100.0
Roslindale,Electrical,2026-07-14,Orange St,1300.0
Roslindale,Electrical,2026-07-14,Cornell St,5500.0
Roslindale,Electrical,2026-07-14,South St,4550.0
Roslindale,Electrical,2026-07-14,Aldrich St,6500.0
Roslindale,Plumbing,2026-07-14,Haydn St,1500.0
Roslindale,Plumbing,2026-07-14,Poplar St,1500.0
Roslindale,Other,2026-07-14,Denton Te,2000.0
Roslindale,Kitchen/Bath,2026-07-13,South St,40000.0
Roslindale,Electrical,2026-07-13,Kittredge St,400.0
Roslindale,Plumbing,2026-07-13,Hewlett St,650.0
Roslindale,Renovation/Remodel,2026-07-13,Arborfield Rd,5000.0
Roslindale,HVAC,2026-07-13,Montvale St,1000.0
Roslindale,Roofing,2026-07-12,Asticou Rd,20400.0
Roslindale,Electrical,2026-07-10,Ainsworth St,28600.0
Roslindale,HVAC,2026-07-10,Centre St,2500.0
Roslindale,Windows/Doors/Siding,2026-07-10,Lorraine St,1796.0
Roslindale,Roofing,2026-07-10,Orange St,19460.0
Roslindale,Plumbing,2026-07-10,Brown Av,35000.0
Roslindale,Electrical,2026-07-10,Canterbury St,
Roslindale,Plumbing,2026-07-10,Cornell St,4500.0
Roslindale,Kitchen/Bath,2026-07-09,Lindall St,20000.0
Roslindale,Electrical,2026-07-09,Cornell St,1500.0
Roslindale,Electrical,2026-07-09,Zeller St,1500.0
Roslindale,Electrical,2026-07-09,Beech St,1500.0
Roslindale,Electrical,2026-07-09,Orange St,1500.0
Roslindale,Electrical,2026-07-09,Havana St,1500.0
Roslindale,Electrical,2026-07-09,Poplar St,1000.0
Roslindale,Plumbing,2026-07-09,Aldrich St,5000.0
Roslindale,Electrical,2026-07-09,Kittredge St,300.0
Roslindale,HVAC,2026-07-09,Wyvern St,850.0
Roslindale,HVAC,2026-07-09,Wyvern St,3200.0
Roslindale,Gas,2026-07-09,Newburg St,9000.0
Roslindale,Gas,2026-07-09,Cornell St,460.0
Roslindale,HVAC,2026-07-09,Crestview Rd,1609.0
Roslindale,Solar,2026-07-09,Hyde Park Av,127500.0
Roslindale,Electrical,2026-07-09,Hyde Park Av,8200.0
Roslindale,Electrical,2026-07-09,Hayes Rd,9681.0
Roslindale,Windows/Doors/Siding,2026-07-09,Canterbury St,1807.0
Roslindale,Plumbing,2026-07-09,Bradfield Av,6500.0
Roslindale,HVAC,2026-07-09,Beech St,53106.0
Roslindale,Electrical,2026-07-08,Dale St,500.0
Roslindale,Roofing,2026-07-08,Glendower Rd,12900.0
Roslindale,Other,2026-07-08,Hillview Av,4522.0
Roslindale,Kitchen/Bath,2026-07-08,Littledale St,41671.0
Roslindale,Electrical,2026-07-08,Roslindale Av,24381.29
Roslindale,Kitchen/Bath,2026-07-08,Cliftondale St,60000.0
Roslindale,Roofing,2026-07-08,Granfield Av,19030.0
Roslindale,Other,2026-07-08,Cornell St,3000.0
Roslindale,Other,2026-07-08,Sammett Av,3115.35
Roslindale,HVAC,2026-07-08,Mosgrove Av,56278.0
Roslindale,Demolition,2026-07-08,Orange St,47000.0
Roslindale,Plumbing,2026-07-08,Cornell St,1500.0
Roslindale,Electrical,2026-07-08,Cliffmont St,2500.0
Roslindale,Solar,2026-07-08,Metropolitan Ci,52800.0
Roslindale,Electrical,2026-07-08,Crandall St,6000.0
Roslindale,Solar,2026-07-08,Annafran St,68100.0
Roslindale,Solar,2026-07-08,Hyde Park Av,127500.0
Roslindale,Roofing,2026-07-07,Kittredge St,9440.0
Roslindale,Kitchen/Bath,2026-07-07,Bexley Rd,44200.0
Roslindale,Electrical,2026-07-07,Washington St,81000.0
Roslindale,Solar,2026-07-07,Harding Rd,16896.1
Roslindale,Electrical,2026-07-07,Dale St,1900.0
Roslindale,HVAC,2026-07-07,Cotton St,152000.0
Roslindale,Electrical,2026-07-07,Bradwood St,3000.0
Roslindale,Plumbing,2026-07-07,Ainsworth St,1000.0
Roslindale,HVAC,2026-07-06,Prospect Av,10000.0
Roslindale,Electrical,2026-07-06,Starbird Av,2500.0
Roslindale,Plumbing,2026-07-06,Dale St,6000.0
Roslindale,HVAC,2026-07-06,Fawndale Rd,12600.0
Roslindale,Gas,2026-07-06,Wyvern St,500.0
Roslindale,HVAC,2026-07-06,Sherwood St,1000.0
Roslindale,Solar,2026-07-03,Birch St,15000.0
Roslindale,Kitchen/Bath,2026-07-02,Tyndale St,25000.0
Roslindale,Plumbing,2026-07-02,Littledale St,6000.0
Roslindale,Kitchen/Bath,2026-07-02,Byrd Av,20970.0
Roslindale,HVAC,2026-07-02,Canterbury St,1235.0
Roslindale,Windows/Doors/Siding,2026-07-02,Cotton St,15096.0
Roslindale,Deck/Porch,2026-07-02,Manning St,20000.0
Roslindale,HVAC,2026-07-02,Roslindale Av,7414.5
Roslindale,Windows/Doors/Siding,2026-07-02,Lindall St,47865.0
Roslindale,Kitchen/Bath,2026-07-02,Lindall St,50000.0
Roslindale,Electrical,2026-07-02,Wellsmere Rd,19650.0
Roslindale,Electrical,2026-07-01,Whitford St,600.0
Roslindale,Solar,2026-07-01,Harding Rd,16896.1
Roslindale,Plumbing,2026-07-01,Cliffmont St,
Roslindale,Plumbing,2026-07-01,South St,4000.0
Roslindale,HVAC,2026-07-01,Montvale St,12500.0
Roslindale,Electrical,2026-06-30,Bradfield Av,1200.0
Roslindale,Electrical,2026-06-30,Fletcher St,6000.0
Roslindale,Electrical,2026-06-30,Amherst St,1200.0
Roslindale,Plumbing,2026-06-29,Cornell St,4000.0
Roslindale,HVAC,2026-06-29,Cornell St,4000.0
Roslindale,Electrical,2026-06-29,Kittredge St,5000.0
Roslindale,Fire/Sprinkler,2026-06-29,Allandale St,5600.0
Roslindale,Electrical,2026-06-29,Centre St,5000.0
Roslindale,Plumbing,2026-06-29,Byrd Av,2500.0
Roslindale,Renovation/Remodel,2026-06-29,S Fairview St,19231.0
Roslindale,Electrical,2026-06-29,Durnell Av,6300.0
Roslindale,Plumbing,2026-06-29,Florence St,2500.0
Roslindale,Plumbing,2026-06-29,Mount Hope St,2500.0
Roslindale,Solar,2026-06-29,Hazelmere Rd,16782.0
Roslindale,HVAC,2026-06-29,Glenburnie Rd,23751.51
Roslindale,Electrical,2026-06-28,Bradfield Av,3000.0
Roslindale,HVAC,2026-06-27,Mendelssohn St,9026.25
Roslindale,Electrical,2026-06-26,Canterbury St,1241.25
Roslindale,Solar,2026-06-26,Metropolitan Ci,52800.0
Roslindale,Other,2026-06-26,Weld St,5000.0
Roslindale,Roofing,2026-06-26,South St,16800.0
Roslindale,Windows/Doors/Siding,2026-06-26,Montvale St,5220.0
Roslindale,Electrical,2026-06-26,Sheffield Rd,500.0
Roslindale,Plumbing,2026-06-26,Sheffield Rd,2500.0
Roslindale,Electrical,2026-06-26,Hilburn St,1200.0
Roslindale,Plumbing,2026-06-26,Centre St,1500.0
Roslindale,Plumbing,2026-06-26,Centre St,3500.0
Roslindale,Electrical,2026-06-26,Buchanan Rd,3800.0
Roslindale,Plumbing,2026-06-26,Congreve St,600.0
Roslindale,Electrical,2026-06-25,South St,75716.14
Roslindale,HVAC,2026-06-25,Prospect Av,78944.0
Roslindale,Kitchen/Bath,2026-06-25,Sycamore St,60000.0
Roslindale,Renovation/Remodel,2026-06-25,Sheffield Rd,9900.0
Roslindale,Addition,2026-06-25,Wellsmere Rd,500000.0
Roslindale,Other,2026-06-25,Florence St,4330.03
Roslindale,Electrical,2026-06-24,Tyndale St,9000.0
Roslindale,Plumbing,2026-06-24,Colby Rd,3000.0
Roslindale,HVAC,2026-06-24,Roslindale Av,48125.0
Roslindale,Electrical,2026-06-24,Poplar St,350.0
Roslindale,Electrical,2026-06-24,Florence St,9000.0
Roslindale,Roofing,2026-06-24,Heathcote St,11851.98
Roslindale,Addition,2026-06-23,Ashfield St,229437.5
Roslindale,Kitchen/Bath,2026-06-23,Washington St,11070.0
Roslindale,Kitchen/Bath,2026-06-23,Aldrich St,65172.5
Roslindale,HVAC,2026-06-23,Fawndale Rd,7500.0
Roslindale,Plumbing,2026-06-23,Centre St,2000.0
Roslindale,Electrical,2026-06-23,Hobson St,3200.0
Roslindale,Electrical,2026-06-23,Guernsey St,4300.0
Roslindale,Other,2026-06-23,Beryl St,8322.94
Roslindale,Other,2026-06-23,Belgrade Av,10630.25
Roslindale,Electrical,2026-06-22,Dale St,31484.0
Roslindale,Plumbing,2026-06-22,Kittredge St,2000.0
Roslindale,Electrical,2026-06-22,Cummins Hw,4500.0
Roslindale,Kitchen/Bath,2026-06-22,Buchanan Rd,77500.0
Roslindale,Electrical,2026-06-22,Hyde Park Av,10000.0
Roslindale,Electrical,2026-06-22,Littledale St,2500.0
Roslindale,Plumbing,2026-06-20,Cummins Hw,5500.0
Roslindale,Renovation/Remodel,2026-06-19,Tyndale St,3228.48
Roslindale,Windows/Doors/Siding,2026-06-18,Catherine St,7977.48
Roslindale,Solar,2026-06-18,West Roxbury Pw,5248.13
Roslindale,Electrical,2026-06-18,Prospect Av,15000.0
Roslindale,Solar,2026-06-18,West Roxbury Pw,15744.3
Roslindale,Renovation/Remodel,2026-06-18,Washington St,2500.0
Roslindale,Electrical,2026-06-17,Highfield Rd,37500.0
Roslindale,Other,2026-06-17,Aldrich St,9112.0
Roslindale,HVAC,2026-06-17,Catherine St,950.0
Roslindale,HVAC,2026-06-17,Catherine St,3500.0
Roslindale,HVAC,2026-06-17,Fawndale Rd,1500.0
Roslindale,HVAC,2026-06-16,Prospect Av,13500.0
Roslindale,Demolition,2026-06-16,Washington St,107000.0
Roslindale,Electrical,2026-06-16,Hyde Park Av,1500.0
Roslindale,Other,2026-06-16,Cummins Hw,50000.0
Roslindale,Electrical,2026-06-16,Cliffmont St,34217.5
Roslindale,Electrical,2026-06-16,Beryl St,5000.0
Roslindale,Gas,2026-06-16,Fletcher St,750.0
Roslindale,Renovation/Remodel,2026-06-16,Canterbury St,2000.0
Roslindale,Electrical,2026-06-16,Elven Rd,12000.0
Roslindale,Renovation/Remodel,2026-06-16,Cummins Hw,256032.0
Roslindale,Windows/Doors/Siding,2026-06-15,Whitford St,44277.0
Roslindale,Addition,2026-06-15,Ainsworth St,50000.0
Roslindale,Electrical,2026-06-15,Allandale St,60000.0
Roslindale,Plumbing,2026-06-15,Fletcher St,2500.0
Roslindale,Electrical,2026-06-14,Buchanan Rd,58000.0
Roslindale,Gas,2026-06-13,Newburg St,1000.0
Roslindale,Plumbing,2026-06-13,Newburg St,11000.0
Roslindale,Plumbing,2026-06-12,S Fairview St,4959.0
Roslindale,HVAC,2026-06-12,Roslindale Av,200000.0
Roslindale,Deck/Porch,2026-06-12,Metropolitan Av,10601.0
Roslindale,Kitchen/Bath,2026-06-12,Iona St,25000.0
Roslindale,Electrical,2026-06-12,Haydn St,5000.0
Roslindale,Electrical,2026-06-12,Havana St,1780.0
Roslindale,Windows/Doors/Siding,2026-06-12,Metropolitan Av,7786.0
Roslindale,HVAC,2026-06-12,Glenburnie Rd,2000.0
Roslindale,Windows/Doors/Siding,2026-06-12,Hilburn St,2484.0
Roslindale,Kitchen/Bath,2026-06-12,Planet St,18150.0
Roslindale,Other,2026-06-12,Knoll St,2000.0
Roslindale,Roofing,2026-06-11,Basto Te,92680.0
Roslindale,New Construction,2026-06-11,Wellsmere Rd,500000.0
Roslindale,Other,2026-06-11,Glenburnie Rd,11415.32
Roslindale,Demolition,2026-06-11,Mount Calvary Rd,13900.0
Roslindale,Roofing,2026-06-11,Canterbury St,10000.0
Roslindale,Electrical,2026-06-11,Colby Rd,4000.0
Roslindale,Electrical,2026-06-11,Canterbury St,2216.91
Roslindale,Plumbing,2026-06-10,Beech St,7000.0
Roslindale,Other,2026-06-10,Farquhar St,15243.2
Roslindale,Other,2026-06-10,Rosemere Ct,10000.0
Roslindale,Kitchen/Bath,2026-06-10,Neponset Av,3848.7
Roslindale,Roofing,2026-06-10,Poplar St,10320.0
Roslindale,Solar,2026-06-10,Poplar St,59700.0
Roslindale,Renovation/Remodel,2026-06-10,Chisholm Te,2410.0
Roslindale,Electrical,2026-06-10,South St,320000.0
Roslindale,Windows/Doors/Siding,2026-06-10,Mount Calvary Rd,9774.0
Roslindale,Plumbing,2026-06-10,Durnell Av,4200.0
Roslindale,Electrical,2026-06-09,Beech St,7000.0
Roslindale,Windows/Doors/Siding,2026-06-09,Brahms St,15000.0
Roslindale,Addition,2026-06-09,Byrd Av,502780.0
Roslindale,Electrical,2026-06-09,Hyde Park Av,10000.0
Roslindale,Electrical,2026-06-09,Sunset Hill Rd,3000.0
Roslindale,Electrical,2026-06-09,Cummins Hw,8000.0
Roslindale,Windows/Doors/Siding,2026-06-08,Weeks Av,18405.0
Roslindale,Roofing,2026-06-08,Fairview St,25199.0
Roslindale,Electrical,2026-06-08,Bexley Rd,3000.0
Roslindale,Kitchen/Bath,2026-06-08,Centre St,84890.0
Roslindale,Kitchen/Bath,2026-06-08,Colby Rd,11505.0
Roslindale,Windows/Doors/Siding,2026-06-08,Grandview St,19872.0
Roslindale,Roofing,2026-06-08,Vista St,15211.0
Roslindale,Solar,2026-06-08,Fairview St,6000.0
Roslindale,Roofing,2026-06-08,Basto Te,22500.0
Roslindale,Solar,2026-06-08,Walworth St,42000.0
Roslindale,Plumbing,2026-06-08,Planet St,4000.0
Roslindale,Windows/Doors/Siding,2026-06-08,South St,29750.0
Roslindale,Solar,2026-06-08,Metropolitan Ci,54300.0
Roslindale,HVAC,2026-06-08,Grandview St,24413.25
Roslindale,Electrical,2026-06-06,Newburg St,7500.0
Roslindale,Electrical,2026-06-05,Hazelmere Rd,3000.0
Roslindale,Roofing,2026-06-05,American Legion Hw,314000.0
Roslindale,HVAC,2026-06-05,Florence St,5500.0
Roslindale,Windows/Doors/Siding,2026-06-05,Burnside Av,12500.0
Roslindale,Kitchen/Bath,2026-06-05,Kittredge St,56765.0
