town,trade,issued_date,street_masked,valuation
Roxbury,HVAC,2026-07-24,E Concord St,1345502.0
Roxbury,Electrical,2026-07-24,Washington St,36880.0
Roxbury,Kitchen/Bath,2026-07-24,School St,40000.0
Roxbury,Gas,2026-07-24,Centre St,1500.0
Roxbury,Plumbing,2026-07-24,Centre St,2000.0
Roxbury,Kitchen/Bath,2026-07-23,Shawmut Av,122000.0
Roxbury,Electrical,2026-07-23,Westminster Av,1.0
Roxbury,HVAC,2026-07-23,Traveler St,3600.0
Roxbury,Renovation/Remodel,2026-07-22,Harrison Av,245315.83
Roxbury,Other,2026-07-22,Walnut Av,1000.0
Roxbury,Electrical,2026-07-22,Northampton St,562.5
Roxbury,Kitchen/Bath,2026-07-22,W Concord St,212000.0
Roxbury,Gas,2026-07-22,Saint James St,2500.0
Roxbury,Plumbing,2026-07-22,Saint James St,2500.0
Roxbury,HVAC,2026-07-22,Robey St,5500.0
Roxbury,Renovation/Remodel,2026-07-22,W Concord St,1.0
Roxbury,Electrical,2026-07-22,Warren St,5000.0
Roxbury,Solar,2026-07-21,Edgewood St,6305.85
Roxbury,Solar,2026-07-21,Edgewood St,14713.65
Roxbury,Kitchen/Bath,2026-07-21,Harrison Av,622971.6
Roxbury,Roofing,2026-07-21,E Cottage St,66618.19
Roxbury,HVAC,2026-07-21,Woodbine St,3000.0
Roxbury,Windows/Doors/Siding,2026-07-21,Bond St,20000.0
Roxbury,HVAC,2026-07-21,Tremont St,289850.0
Roxbury,Renovation/Remodel,2026-07-21,Massachusetts Av,1.0
Roxbury,Plumbing,2026-07-21,Beethoven St,5000.0
Roxbury,Kitchen/Bath,2026-07-21,Traveler St,100000.0
Roxbury,Other,2026-07-21,Albany St,25000.0
Roxbury,Electrical,2026-07-21,Shawmut Av,79464.0
Roxbury,Electrical,2026-07-21,Amory St,100000.0
Roxbury,Roofing,2026-07-21,Thornton St,8500.0
Roxbury,Electrical,2026-07-20,Stafford St,1200.0
Roxbury,Electrical,2026-07-20,Worcester St,51000.0
Roxbury,Windows/Doors/Siding,2026-07-20,Lambert St,3584.0
Roxbury,Windows/Doors/Siding,2026-07-20,E Cottage St,1000.0
Roxbury,Windows/Doors/Siding,2026-07-20,Harrison Av,5900.0
Roxbury,Electrical,2026-07-17,Worcester Sq,1000.0
Roxbury,Electrical,2026-07-17,Dudley St,5000.0
Roxbury,HVAC,2026-07-17,Woodbine St,1600.0
Roxbury,Kitchen/Bath,2026-07-17,Concord Sq,30000.0
Roxbury,Demolition,2026-07-17,Dudley St,8800.0
Roxbury,Electrical,2026-07-17,Albany St,15190.0
Roxbury,HVAC,2026-07-17,Washington St,7500.0
Roxbury,HVAC,2026-07-17,Washington St,5000.0
Roxbury,Electrical,2026-07-16,Union Pk,2220.0
Roxbury,Electrical,2026-07-16,Washington St,750.0
Roxbury,Plumbing,2026-07-16,Milford St,12100.0
Roxbury,Plumbing,2026-07-16,Albany St,26000.0
Roxbury,Electrical,2026-07-16,Proctor St,1920.0
Roxbury,Windows/Doors/Siding,2026-07-16,Maywood St,10991.0
Roxbury,HVAC,2026-07-16,Tremont St,500.0
Roxbury,Electrical,2026-07-16,Columbus Av,8000.0
Roxbury,Electrical,2026-07-15,Pelham Te,9000.0
Roxbury,Gas,2026-07-15,Columbus Av,540.0
Roxbury,Plumbing,2026-07-15,Kearsarge Av,3000.0
Roxbury,Electrical,2026-07-15,Kearsarge Av,3000.0
Roxbury,HVAC,2026-07-15,Dimock St,12500.0
Roxbury,Electrical,2026-07-15,Dorr St,1500.0
Roxbury,Solar,2026-07-15,Albany St,123800.0
Roxbury,Electrical,2026-07-15,Copeland Pk,3000.0
Roxbury,Roofing,2026-07-15,Beethoven St,1000.0
Roxbury,Electrical,2026-07-15,Traveler St,350.0
Roxbury,Electrical,2026-07-14,Union Pk,7000.0
Roxbury,Roofing,2026-07-14,Washington St,400502.0
Roxbury,Roofing,2026-07-14,Washington St,384525.0
Roxbury,Roofing,2026-07-14,Washington St,1046134.0
Roxbury,Roofing,2026-07-14,Washington St,459123.0
Roxbury,Roofing,2026-07-14,Codman Pk,674354.0
Roxbury,Roofing,2026-07-14,Washington St,379882.0
Roxbury,Roofing,2026-07-14,Washington St,103117.0
Roxbury,Roofing,2026-07-14,Dimock St,387742.0
Roxbury,Roofing,2026-07-14,Dimock St,446755.0
Roxbury,Roofing,2026-07-14,Washington St,375112.0
Roxbury,Roofing,2026-07-14,Townsend St,292122.0
Roxbury,Roofing,2026-07-14,Cobden St,756783.0
Roxbury,Roofing,2026-07-14,Codman Pk,860808.0
Roxbury,Solar,2026-07-14,Highland St,271154.1
Roxbury,Electrical,2026-07-14,Alaska St,1000.0
Roxbury,Renovation/Remodel,2026-07-14,Dabney St,10000.0
Roxbury,Electrical,2026-07-14,Kearsarge Av,8000.0
Roxbury,Demolition,2026-07-14,Blue Hill Av,17000.0
Roxbury,Other,2026-07-14,Highland St,2000.0
Roxbury,Plumbing,2026-07-14,Columbus Av,6000.0
Roxbury,Deck/Porch,2026-07-13,Dudley St,8500.0
Roxbury,Plumbing,2026-07-13,Worcester Sq,2800.0
Roxbury,Windows/Doors/Siding,2026-07-13,Harrison Av,7561.0
Roxbury,Electrical,2026-07-13,W Springfield St,2800.0
Roxbury,Electrical,2026-07-13,Washington St,13000.0
Roxbury,Windows/Doors/Siding,2026-07-13,Worcester Sq,25000.0
Roxbury,Plumbing,2026-07-13,Pembroke St,3000.0
Roxbury,Roofing,2026-07-13,Thwing St,18000.0
Roxbury,Gas,2026-07-13,Wellington St,1000.0
Roxbury,Demolition,2026-07-10,Albany St,37000.0
Roxbury,HVAC,2026-07-10,Wellington St,2000.0
Roxbury,Plumbing,2026-07-10,W Concord St,5000.0
Roxbury,Windows/Doors/Siding,2026-07-10,Tremont St,254050.0
Roxbury,Electrical,2026-07-10,Union Pk,1500.0
Roxbury,Electrical,2026-07-10,Union Pk,1000.0
Roxbury,Electrical,2026-07-10,Union Pk,23000.0
Roxbury,Plumbing,2026-07-09,Albany St,10000.0
Roxbury,Windows/Doors/Siding,2026-07-09,Crispus Attucks Pl,541404.0
Roxbury,Windows/Doors/Siding,2026-07-09,Rutland St,82000.0
Roxbury,Windows/Doors/Siding,2026-07-09,Upton St,25400.0
Roxbury,HVAC,2026-07-09,Pembroke St,45955.0
Roxbury,Electrical,2026-07-09,Southampton St,35000.0
Roxbury,Electrical,2026-07-08,E Dedham St,120000.0
Roxbury,Electrical,2026-07-08,E Dedham St,12000.0
Roxbury,Electrical,2026-07-08,Washington St,500.0
Roxbury,Renovation/Remodel,2026-07-08,Southampton St,5154.0
Roxbury,HVAC,2026-07-08,Rutland Sq,1203300.0
Roxbury,Plumbing,2026-07-08,Columbus Av,2500.0
Roxbury,Windows/Doors/Siding,2026-07-08,Waltham St,18000.0
Roxbury,Electrical,2026-07-08,Tremont St,500.0
