town,trade,issued_date,street_masked,valuation
Somerville,New Construction,2026-09-17,Oak St,35000.0
Somerville,Renovation/Remodel,2026-09-17,Somerville Ave,2500.0
Somerville,HVAC,2026-09-17,Putnam Rd,47850.0
Somerville,Plumbing,2026-09-17,Adams St,
Somerville,Renovation/Remodel,2026-09-17,Carver St,4000.0
Somerville,Roofing,2026-09-17,Curtis St,39491.0
Somerville,Roofing,2026-09-17,Orchard St,21700.0
Somerville,Solar,2026-09-17,Rogers Ave,5200.0
Somerville,Building,2026-09-17,Hudson St,4500.0
Somerville,Roofing,2026-09-17,Greene St,9893.0
Somerville,Windows/Doors/Siding,2026-09-17,Lee St,3715.0
Somerville,HVAC,2026-09-17,Mansfield St,
Somerville,Plumbing,2026-09-17,Jay St,
Somerville,Plumbing,2026-09-17,Central St,
Somerville,Plumbing,2026-09-17,Marion St,
Somerville,Gas,2026-09-17,Harrison Rd,
Somerville,Electrical,2026-09-17,Prospect St,7800.0
Somerville,Electrical,2026-09-17,Morrison Ave,1000.0
Somerville,Plumbing,2026-09-17,Marshall St,
Somerville,Gas,2026-09-17,Tremont St,
Somerville,HVAC,2026-09-17,Elmwood St,7500.0
Somerville,Electrical,2026-09-17,Melvin St,1000.0
Somerville,Addition,2026-09-16,Garfield Ave,526550.0
Somerville,Addition,2026-09-16,Corinthian Rd,15000.0
Somerville,Deck/Porch,2026-09-16,Lee St,30000.0
Somerville,Demolition,2026-09-16,Bay State Ave,25000.0
Somerville,HVAC,2026-09-16,Meacham St,110300.0
Somerville,Building,2026-09-16,Avon St,7138.0
Somerville,Demolition,2026-09-16,Gilman St,20000.0
Somerville,Renovation/Remodel,2026-09-16,Elmwood St,3558.0
Somerville,Building,2026-09-16,Broadway,1000.0
Somerville,Building,2026-09-16,Washington St,14679.0
Somerville,Building,2026-09-16,Washington St,14755.0
Somerville,Electrical,2026-09-16,Puritan Rd,500.0
Somerville,Electrical,2026-09-16,Jay St,18000.0
Somerville,Gas,2026-09-16,Pembroke St,
Somerville,Electrical,2026-09-16,Simpson Ave,500.0
Somerville,Demolition,2026-09-15,Webster Ave,49950.0
Somerville,New Construction,2026-09-15,Lowell St,380000.0
Somerville,Building,2026-09-15,Assembly Row,
Somerville,Kitchen/Bath,2026-09-15,Thorndike St,360786.0
Somerville,Windows/Doors/Siding,2026-09-15,Laurel St,20000.0
Somerville,HVAC,2026-09-15,Rogers Ave,58249.0
Somerville,Renovation/Remodel,2026-09-15,Fellsway West,2000.0
Somerville,Windows/Doors/Siding,2026-09-15,Highland Ave,10892.0
Somerville,Kitchen/Bath,2026-09-15,Moore St,1000.0
Somerville,Deck/Porch,2026-09-15,Lowell St,37500.0
Somerville,Demolition,2026-09-15,Crescent St,20000.0
Somerville,Electrical,2026-09-15,North St,1000.0
Somerville,HVAC,2026-09-15,Governor Winthrop Rd,55500.0
Somerville,Electrical,2026-09-15,Broadway,55000.0
Somerville,Electrical,2026-09-15,Washington St,3000.0
Somerville,Windows/Doors/Siding,2026-09-15,Avon St,3000.0
Somerville,Roofing,2026-09-15,Morrison Ave,3599.0
Somerville,Electrical,2026-09-15,Broadway,150.0
Somerville,Electrical,2026-09-15,Assembly Park,950000.0
