town,trade,issued_date,street_masked,valuation
South Boston,Plumbing,2026-09-18,H St,1500.0
South Boston,Kitchen/Bath,2026-09-18,Sayward Pl,100000.0
South Boston,Electrical,2026-09-18,H St,30000.0
South Boston,Roofing,2026-09-18,Gates St,2000.0
South Boston,HVAC,2026-09-18,E Eighth St,1000.0
South Boston,Plumbing,2026-09-18,E Eighth St,1500.0
South Boston,Windows/Doors/Siding,2026-09-17,E Fifth St,13674.0
South Boston,Kitchen/Bath,2026-09-17,O St,200000.0
South Boston,Renovation/Remodel,2026-09-17,E Fourth St,57000.0
South Boston,Deck/Porch,2026-09-17,E Fifth St,8040.0
South Boston,Roofing,2026-09-17,G St,19000.0
South Boston,Kitchen/Bath,2026-09-16,Bolton St,27000.0
South Boston,Windows/Doors/Siding,2026-09-16,W Seventh St,41474.0
South Boston,Demolition,2026-09-16,A St,16700.0
South Boston,Roofing,2026-09-16,W Fourth St,11025.0
South Boston,Roofing,2026-09-15,Marine Rd,16325.0
South Boston,Deck/Porch,2026-09-15,Marine Rd,16325.0
South Boston,HVAC,2026-09-15,E Eighth St,1012.0
South Boston,HVAC,2026-09-15,Old Colony Av,11000.0
South Boston,Windows/Doors/Siding,2026-09-15,Tuckerman St,6452.0
South Boston,Plumbing,2026-09-15,L St,25000.0
South Boston,Renovation/Remodel,2026-09-15,E Sixth St,16500.0
South Boston,Windows/Doors/Siding,2026-09-15,L St,500000.0
South Boston,Roofing,2026-09-14,E Seventh St,2484000.0
South Boston,Gas,2026-09-14,E Fifth St,600.0
South Boston,Plumbing,2026-09-14,E Fifth St,8000.0
South Boston,Electrical,2026-09-14,Old Colony Av,40000.0
South Boston,HVAC,2026-09-13,E Third St,2600.0
South Boston,Electrical,2026-09-10,L St,14500.0
South Boston,Roofing,2026-09-10,K St,10559.73
South Boston,Electrical,2026-09-10,W First St,12000.0
South Boston,Electrical,2026-09-10,H St,2500.0
South Boston,Demolition,2026-09-10,H St,15000.0
South Boston,Plumbing,2026-09-10,E Third St,3000.0
South Boston,Gas,2026-09-10,E Third St,500.0
South Boston,Kitchen/Bath,2026-09-10,E Fifth St,15000.0
South Boston,HVAC,2026-09-10,W Fourth St,2500.0
South Boston,Electrical,2026-09-10,E Fourth St,5100.0
South Boston,Electrical,2026-09-09,Liberty Dr,45000.0
South Boston,Windows/Doors/Siding,2026-09-09,Knowlton St,18650.0
South Boston,Renovation/Remodel,2026-09-09,K St,4475.0
South Boston,Electrical,2026-09-09,Summer St,19000.0
South Boston,Renovation/Remodel,2026-09-09,E Fifth St,1.0
South Boston,Windows/Doors/Siding,2026-09-08,Columbia Rd,45900.0
South Boston,Roofing,2026-09-08,Emerson St,26500.0
South Boston,Electrical,2026-09-08,G St,1200.0
South Boston,Demolition,2026-09-08,L St,7500.0
South Boston,Kitchen/Bath,2026-09-08,Athens St,4160.0
South Boston,HVAC,2026-09-08,Mercer St,4000.0
South Boston,Plumbing,2026-09-08,Mercer St,18500.0
South Boston,Kitchen/Bath,2026-09-08,E Second St,15840.0
South Boston,Electrical,2026-09-08,E Fifth St,3000.0
South Boston,Other,2026-09-04,W Sixth St,9500.0
South Boston,Other,2026-09-04,W Third St,3000.0
South Boston,Electrical,2026-09-04,E Fifth St,20000.0
South Boston,Other,2026-09-04,Thomas Pk,7500.0
South Boston,Electrical,2026-09-04,I St,18000.0
South Boston,Electrical,2026-09-03,Beckler Av,13800.0
South Boston,Gas,2026-09-03,N St,500.0
South Boston,Windows/Doors/Siding,2026-09-03,E Seventh St,97339.67
South Boston,Electrical,2026-09-03,Springer St,2000.0
South Boston,Electrical,2026-09-02,E Third St,9800.0
South Boston,Electrical,2026-09-02,W Eighth St,6000.0
South Boston,Plumbing,2026-09-02,Farragut Rd,200.0
South Boston,Plumbing,2026-09-01,Emerson St,6000.0
South Boston,Plumbing,2026-09-01,I St,15000.0
South Boston,Deck/Porch,2026-09-01,Woodward St,2500.0
South Boston,Windows/Doors/Siding,2026-09-01,Dorchester St,1250.0
South Boston,Electrical,2026-09-01,Knowlton St,7500.0
South Boston,Roofing,2026-09-01,E St,8500.0
South Boston,Electrical,2026-08-31,E St,3000.0
South Boston,Electrical,2026-08-31,L St,6000.0
South Boston,Windows/Doors/Siding,2026-08-31,G St,7800.0
South Boston,Windows/Doors/Siding,2026-08-31,W Fifth St,10612.0
South Boston,Renovation/Remodel,2026-08-28,E Fifth St,
South Boston,Roofing,2026-08-28,Silver St,12000.0
South Boston,Electrical,2026-08-28,Emerson St,5000.0
South Boston,Electrical,2026-08-27,E Third St,10000.0
South Boston,Gas,2026-08-27,Beckler Av,1000.0
South Boston,Roofing,2026-08-27,Gates St,1.0
South Boston,Plumbing,2026-08-27,L St,10000.0
South Boston,Kitchen/Bath,2026-08-27,Beckler Av,25000.0
South Boston,Plumbing,2026-08-27,Beckler Av,8000.0
South Boston,HVAC,2026-08-27,A St,3000.0
South Boston,Deck/Porch,2026-08-27,H St,4000.0
South Boston,Kitchen/Bath,2026-08-27,E Fourth St,35000.0
South Boston,HVAC,2026-08-27,A St,5000.0
South Boston,Renovation/Remodel,2026-08-26,Grimes St,101118.0
South Boston,Electrical,2026-08-26,Summer St,50000.0
South Boston,Plumbing,2026-08-26,E Second St,2500.0
South Boston,Electrical,2026-08-26,W Second St,1000.0
South Boston,Deck/Porch,2026-08-26,Marine Rd,8000.0
South Boston,Plumbing,2026-08-26,Old Colony Av,50000.0
South Boston,Plumbing,2026-08-26,E Sixth St,1895.0
South Boston,Renovation/Remodel,2026-08-25,Glover Ct,1.0
South Boston,Electrical,2026-08-25,Summer St,60000.0
South Boston,Electrical,2026-08-25,Telegraph St,105949.62
South Boston,Windows/Doors/Siding,2026-08-25,Loring St,5000.0
South Boston,Electrical,2026-08-25,Marine Rd,10000.0
South Boston,Plumbing,2026-08-25,L St,10000.0
South Boston,Renovation/Remodel,2026-08-25,Summer St,367669.0
South Boston,HVAC,2026-08-25,Black Falcon Av,76500.0
South Boston,Plumbing,2026-08-25,Ward St,250.0
South Boston,Gas,2026-08-25,E Sixth St,1000.0
South Boston,Roofing,2026-08-24,Telegraph St,153400.0
