town,trade,issued_date,street_masked,valuation
Southampton,Fire/Sprinkler,2026-09-25,Middle Rd,
Southampton,HVAC,2026-09-25,Rattle Hill Rd,
Southampton,Other,2026-09-25,College Hwy,
Southampton,HVAC,2026-09-25,Hawthorne Dr,
Southampton,Building,2026-09-24,Glendale Rd,
Southampton,Kitchen/Bath,2026-09-24,Pequot Rd,
Southampton,Electrical,2026-09-23,Glendale Rd,
Southampton,HVAC,2026-09-23,Pomeroy Meadow Rd,
Southampton,Windows/Doors/Siding,2026-09-23,Brickyard Rd,
Southampton,Solar,2026-09-22,Cook Rd,
Southampton,Solar,2026-09-22,Gunn Rd,
Southampton,Electrical,2026-09-22,College Hwy,
Southampton,Electrical,2026-09-22,Glendale Rd,
Southampton,Electrical,2026-09-22,Glendale Woods Dr,
Southampton,Electrical,2026-09-22,Whiteloaf Rd,
Southampton,Other,2026-09-21,Glendale Rd,
Southampton,Other,2026-09-21,Hawthorne Dr,
Southampton,Electrical,2026-09-21,Line St,
Southampton,Electrical,2026-09-21,East St,
Southampton,Plumbing,2026-09-21,Bissonette Cir,
Southampton,Gas,2026-09-21,Gilbert Rd,
Southampton,Plumbing,2026-09-21,East St,
Southampton,Electrical,2026-09-17,Gilbert Rd,
Southampton,Deck/Porch,2026-09-15,Brickyard Rd,
