town,trade,issued_date,street_masked,valuation
Stockbridge,Renovation/Remodel,2026-09-11,Old Stockbridge Rd,
Stockbridge,Renovation/Remodel,2026-09-11,Manitauk Hts,
Stockbridge,Electrical,2026-09-10,Williamsville Rd,
Stockbridge,Renovation/Remodel,2026-09-09,Park St,
Stockbridge,Other,2026-09-09,Shamrock St,
Stockbridge,Electrical,2026-09-09,Hawthorne Rd W P Condo,
Stockbridge,Electrical,2026-09-09,Cherry Hill Rd,
Stockbridge,Gas,2026-09-08,West Stockbridge Rd,
Stockbridge,Plumbing,2026-09-08,Main St,
Stockbridge,Plumbing,2026-09-08,West Stockbridge Rd,
Stockbridge,Gas,2026-09-08,Lake Dr,
Stockbridge,Plumbing,2026-09-08,Lake Dr,
Stockbridge,Renovation/Remodel,2026-09-04,East Main St,
Stockbridge,Electrical,2026-09-04,Glendale Middle Rd,
Stockbridge,Electrical,2026-09-03,Lake Dr,
Stockbridge,Building,2026-09-03,Hawthorne Rd,
Stockbridge,Renovation/Remodel,2026-09-02,Glendale Rd,
Stockbridge,Building,2026-09-02,Main St,
Stockbridge,Electrical,2026-09-02,Lake Dr,
Stockbridge,Gas,2026-08-31,Mahkeenac Rd,
Stockbridge,Building,2026-08-31,Ice Glen Rd,
Stockbridge,Gas,2026-08-31,Sergeant St,
Stockbridge,Gas,2026-08-31,Lakeview Dr,
Stockbridge,Renovation/Remodel,2026-08-31,Old Colonial Rd,
Stockbridge,Electrical,2026-08-31,Hawthorne Rd,
Stockbridge,Electrical,2026-08-28,Stone Hill Rd,
Stockbridge,Building,2026-08-28,Glendale Middle Rd,
Stockbridge,Electrical,2026-08-27,Interlaken Crossrd,
Stockbridge,Electrical,2026-08-27,Cherry Hill Rd,
Stockbridge,Electrical,2026-08-26,Pine St,
Stockbridge,Electrical,2026-08-26,Hawthorne Rd,
Stockbridge,Other,2026-08-25,Cherry Hill Rd,
Stockbridge,Renovation/Remodel,2026-08-25,East St,
Stockbridge,Gas,2026-08-25,Lakeview Dr,
Stockbridge,Gas,2026-08-25,Glendale Rd,
Stockbridge,Other,2026-08-24,Hill Rd,
Stockbridge,Renovation/Remodel,2026-08-24,Interlaken Rd,
