town,trade,issued_date,street_masked,valuation
Stoughton,Building,2026-08-16,Davis Rd,
Stoughton,Building,2026-08-14,Cedarwood Rd,
Stoughton,Electrical,2026-08-14,Greenwood Ave,
Stoughton,Plumbing,2026-08-14,Freely Dr,
Stoughton,Electrical,2026-08-14,Haynes Rd,
Stoughton,Gas,2026-08-14,Freely Dr,
Stoughton,Gas,2026-08-14,Greenbrook Dr,
Stoughton,Building,2026-08-14,Ewing Dr,
Stoughton,Electrical,2026-08-14,Patricia Dr,
Stoughton,Building,2026-08-13,West St,
Stoughton,Electrical,2026-08-13,Rosewood Dr,
Stoughton,Electrical,2026-08-13,Greenbrook Dr,
Stoughton,Building,2026-08-13,Howland Rd,
Stoughton,Building,2026-08-13,Rayburn Rd,
Stoughton,Building,2026-08-13,Bergeron Way,
Stoughton,Building,2026-08-13,Sharon St,
Stoughton,Building,2026-08-13,Central St,
Stoughton,Electrical,2026-08-13,Roosevelt Court,
Stoughton,Electrical,2026-08-13,Eastwood Rd,
Stoughton,Building,2026-08-13,Lowe Ave Ex,
Stoughton,Building,2026-08-13,Adams St,
Stoughton,Building,2026-08-13,York St,
Stoughton,Building,2026-08-13,Page St,
Stoughton,Building,2026-08-12,Simpson St,
Stoughton,Electrical,2026-08-12,Kim Ter,
Stoughton,Plumbing,2026-08-12,Roosevelt Ct,
Stoughton,Building,2026-08-12,Kim Ter,
Stoughton,Gas,2026-08-12,Station St,
Stoughton,Electrical,2026-08-12,Hunt Dr,
Stoughton,Building,2026-08-12,Washington Street,
Stoughton,Electrical,2026-08-12,Wentworth Ave,
Stoughton,Electrical,2026-08-12,Zabrosky Ave,
Stoughton,Plumbing,2026-08-12,Zabrosky Ave,
Stoughton,Electrical,2026-08-12,Tea St,
Stoughton,Building,2026-08-12,Pearl St,
Stoughton,Gas,2026-08-12,Roosevelt Ct,
Stoughton,Building,2026-08-11,Kwedar Ave,
Stoughton,Electrical,2026-08-11,Central St,
Stoughton,Building,2026-08-11,Washington St,
Stoughton,Gas,2026-08-11,Ruth Rd,
Stoughton,Plumbing,2026-08-11,Lane`S End,
Stoughton,Building,2026-08-11,Ethyl Way,
Stoughton,Building,2026-08-11,Central Dr,
Stoughton,Building,2026-08-11,Central St,
Stoughton,Building,2026-08-11,Sumner St,
Stoughton,Plumbing,2026-08-11,Glen Echo Blvd,
Stoughton,Electrical,2026-08-11,Station St,
Stoughton,Gas,2026-08-11,Elderwood Dr,
Stoughton,Sign/Awning,2026-08-11,Washington St,
Stoughton,Electrical,2026-08-11,Greenbrook Dr,
Stoughton,Plumbing,2026-08-11,Elderwood Dr,
Stoughton,Building,2026-08-10,Turnpike St,
Stoughton,Building,2026-08-10,Erin Rd,
Stoughton,Building,2026-08-10,Perry St,
Stoughton,Building,2026-08-10,Pleasant St,
Stoughton,Electrical,2026-08-10,Page St,
Stoughton,Building,2026-08-10,Summer Ave,
Stoughton,Gas,2026-08-10,Tea St,
Stoughton,Building,2026-08-10,Tosca Dr,
Stoughton,Building,2026-08-10,Third St,
Stoughton,Gas,2026-08-10,Patricia Dr,
Stoughton,Electrical,2026-08-10,Island St,
Stoughton,Plumbing,2026-08-09,Washington St,
Stoughton,Electrical,2026-08-09,Sumner St,
Stoughton,Building,2026-08-08,Glover Dr,
Stoughton,Electrical,2026-08-08,Rosewood Dr,
Stoughton,Building,2026-08-07,Ryan Rd,
Stoughton,Plumbing,2026-08-07,Carey Cir,
Stoughton,Electrical,2026-08-07,Winslow Dr,
Stoughton,Plumbing,2026-08-07,Turnpike St,
Stoughton,Building,2026-08-07,Hawes Way,
Stoughton,Building,2026-08-07,Marjorie Rd,
Stoughton,Gas,2026-08-07,Turnpike St,
Stoughton,Building,2026-08-06,Erica Dr,
Stoughton,Building,2026-08-06,Park St,
Stoughton,Building,2026-08-06,Morton St,
Stoughton,Building,2026-08-06,Perry Ave,
Stoughton,Building,2026-08-06,Kinney Ct,
Stoughton,Gas,2026-08-06,Golden Rd,
Stoughton,Building,2026-08-06,Tosca Dr,
Stoughton,Building,2026-08-06,Donald Rd,
Stoughton,Gas,2026-08-06,Leach St,
Stoughton,Building,2026-08-06,Washington St,
Stoughton,Electrical,2026-08-06,N Paul St,
Stoughton,Electrical,2026-08-06,Campanelli Park Way,
Stoughton,Plumbing,2026-08-06,Golden Rd,
Stoughton,Electrical,2026-08-06,Kinney Ct,
Stoughton,HVAC,2026-08-06,Pearl St,
Stoughton,Electrical,2026-08-06,Leach St,
Stoughton,Building,2026-08-06,Farnham Rd,
Stoughton,Plumbing,2026-08-05,Pearl St,
Stoughton,Electrical,2026-08-05,Horan Way,
Stoughton,Plumbing,2026-08-05,Commercial St,
Stoughton,Building,2026-08-05,Erin Rd,
Stoughton,Building,2026-08-05,Central St,
Stoughton,Building,2026-08-05,Ash Park Dr,
Stoughton,Electrical,2026-08-05,Turnpike St,
Stoughton,Building,2026-08-05,West St,
Stoughton,Electrical,2026-08-05,Ash St,
Stoughton,Building,2026-08-05,Bay Rd,
Stoughton,Gas,2026-08-05,Gilbert Dr,
Stoughton,Building,2026-08-05,Sumner St,
Stoughton,Building,2026-08-05,Glover Dr,
Stoughton,Electrical,2026-08-04,Joyce Dr,
Stoughton,Building,2026-08-04,Park Ave,
Stoughton,HVAC,2026-08-04,Washington St,
Stoughton,Electrical,2026-08-04,Legaski Ave,
Stoughton,Plumbing,2026-08-04,Robinette Rd,
Stoughton,Plumbing,2026-08-04,Sumner St,
Stoughton,Gas,2026-08-04,Robinette Rd,
Stoughton,Building,2026-08-04,Park St,
Stoughton,Gas,2026-08-04,Canton St,
Stoughton,Electrical,2026-08-03,Washington St,
Stoughton,Gas,2026-08-03,Summer Ave,
Stoughton,Building,2026-08-03,Page St,
Stoughton,Electrical,2026-08-03,Laurelwood Dr,
Stoughton,Building,2026-08-03,Brickel Rd,
Stoughton,HVAC,2026-08-03,Walnut St,
Stoughton,Plumbing,2026-08-03,Pleasant St,
Stoughton,Building,2026-08-03,Pine St,
Stoughton,Building,2026-08-03,Connie Ln,
Stoughton,Plumbing,2026-08-03,E Vanston Rd,
Stoughton,Plumbing,2026-08-03,Summer Ave,
Stoughton,Building,2026-08-03,Pleasant St,
Stoughton,Building,2026-08-03,Pearl St,
Stoughton,Electrical,2026-08-03,Overlook Rd,
Stoughton,Building,2026-08-03,Chestnut St,
Stoughton,Electrical,2026-08-02,Erica Dr,
Stoughton,Gas,2026-08-02,Keith Ter,
Stoughton,Building,2026-08-01,West St,
Stoughton,Electrical,2026-08-01,Pearl St,
Stoughton,Building,2026-07-31,Wyman St,
Stoughton,Plumbing,2026-07-31,Erica Dr,
Stoughton,Building,2026-07-31,Kim Ter,
Stoughton,Electrical,2026-07-31,Meadowbrook Ln,
Stoughton,Building,2026-07-31,Holbrook Ave,
Stoughton,Gas,2026-07-31,West St,
Stoughton,Building,2026-07-31,Plain St,
Stoughton,Building,2026-07-30,Washington St,
Stoughton,Building,2026-07-30,Ethyl Way,
Stoughton,Building,2026-07-30,Richard Rd,
Stoughton,Building,2026-07-30,Robinette Rd,
Stoughton,Gas,2026-07-30,Christie Murphy Dr,
Stoughton,Plumbing,2026-07-30,Christie Murphy Dr,
Stoughton,HVAC,2026-07-30,Ridgewood Ave,
Stoughton,Building,2026-07-30,Christopher Dr,
Stoughton,Plumbing,2026-07-30,Brickel Rd,
Stoughton,HVAC,2026-07-30,Brian Dr,
Stoughton,HVAC,2026-07-30,Crescent Ave,
Stoughton,Electrical,2026-07-30,Wentworth Ave,
Stoughton,Building,2026-07-30,Queen Anne Way,
Stoughton,Plumbing,2026-07-30,Lacivita Court,
Stoughton,Electrical,2026-07-30,Queen Anne Way,
Stoughton,Electrical,2026-07-30,Wheeler Cir,
Stoughton,Plumbing,2026-07-30,Haynes Rd,
Stoughton,Electrical,2026-07-30,Ridgewood Ave,
Stoughton,Building,2026-07-30,Patricia Dr,
Stoughton,Building,2026-07-29,Elderwood Dr,
Stoughton,Gas,2026-07-29,Central Street,
Stoughton,Electrical,2026-07-29,Spring St,
Stoughton,HVAC,2026-07-29,Carey Cir,
Stoughton,Plumbing,2026-07-29,Boylston St,
Stoughton,Plumbing,2026-07-29,Prospect St,
Stoughton,Demolition,2026-07-29,Ethyl Way,
Stoughton,Plumbing,2026-07-29,Central Street,
Stoughton,Electrical,2026-07-29,Bird St,
Stoughton,Other,2026-07-29,Freeman St,
Stoughton,Building,2026-07-29,Wentworth Ave,
Stoughton,Gas,2026-07-29,Prospect St,
Stoughton,Electrical,2026-07-29,Carey Cir,
Stoughton,Building,2026-07-29,Palisades Cir,
Stoughton,Plumbing,2026-07-29,Carey Cir,
Stoughton,Building,2026-07-29,Kevin Clancy Way,
Stoughton,Plumbing,2026-07-29,Washington St,
Stoughton,Electrical,2026-07-28,Sumner St,
Stoughton,Building,2026-07-28,Jamie Ln,
Stoughton,Building,2026-07-28,Wentworth Ave,
Stoughton,Sign/Awning,2026-07-28,Canton St,
Stoughton,Gas,2026-07-28,Everett Cir,
Stoughton,Electrical,2026-07-28,E Vanston Rd,
Stoughton,Gas,2026-07-28,Washington St,
Stoughton,Building,2026-07-28,Spring St,
Stoughton,Building,2026-07-28,Simpson St,
Stoughton,Plumbing,2026-07-28,Shuman Ave,
Stoughton,Plumbing,2026-07-28,Morton St,
Stoughton,HVAC,2026-07-28,Fitzpatrick St,
Stoughton,Building,2026-07-27,Pine St,
Stoughton,Building,2026-07-27,Ralph Mann Dr,
Stoughton,Building,2026-07-27,Claire Dr,
Stoughton,Electrical,2026-07-27,Ethyl Way,
Stoughton,Other,2026-07-27,Leach St,
Stoughton,HVAC,2026-07-27,Turnpike St,
Stoughton,Building,2026-07-27,Zabrosky Ave,
Stoughton,Building,2026-07-27,Washington St,
Stoughton,Plumbing,2026-07-27,Ralph Mann Dr,
Stoughton,Building,2026-07-26,Capen St,
Stoughton,Electrical,2026-07-24,Shuman Ave,
Stoughton,Plumbing,2026-07-24,Westwood Rd,
Stoughton,Building,2026-07-24,Cottonwood Dr,
Stoughton,Building,2026-07-24,Bramblebush Rd,
Stoughton,Electrical,2026-07-24,Rosewood Dr,
Stoughton,Electrical,2026-07-24,Mcevoy Cir,
Stoughton,Electrical,2026-07-24,Bramblebush Rd,
Stoughton,Building,2026-07-23,Bay Rd,
Stoughton,Plumbing,2026-07-23,Woodpecker Rd,
Stoughton,Building,2026-07-23,Greenbrook Dr,
Stoughton,Building,2026-07-23,Edgewood Ave,
Stoughton,Building,2026-07-23,Pleasant St,
Stoughton,Electrical,2026-07-23,Turnpike St,
Stoughton,Building,2026-07-23,Washington St,
Stoughton,Building,2026-07-23,Connell Dr,
Stoughton,Plumbing,2026-07-23,Vaughn Ct,
Stoughton,Gas,2026-07-23,Greenbrook Dr,
Stoughton,Building,2026-07-22,Golden Rd,
Stoughton,Building,2026-07-22,Bay Rd,
Stoughton,Building,2026-07-22,Voses Ct,
Stoughton,Electrical,2026-07-22,Drake Ave,
Stoughton,Building,2026-07-22,George Dr,
Stoughton,Building,2026-07-22,West St,
Stoughton,Electrical,2026-07-22,Cushing St,
Stoughton,Building,2026-07-22,Central St,
Stoughton,HVAC,2026-07-22,Washington St,
Stoughton,Building,2026-07-22,Smith Ave,
Stoughton,Electrical,2026-07-22,Pearl St,
Stoughton,Building,2026-07-22,Park St,
Stoughton,Building,2026-07-21,Washington St,
Stoughton,Plumbing,2026-07-21,Sofia Rd,
Stoughton,Building,2026-07-21,Hawes Way,
Stoughton,Building,2026-07-21,Westview Dr,
Stoughton,Electrical,2026-07-21,Washington St,
Stoughton,Electrical,2026-07-21,Atkinson Ave,
Stoughton,Building,2026-07-21,Viele Ave,
Stoughton,Building,2026-07-21,Central St,
Stoughton,Electrical,2026-07-21,Central St,
Stoughton,Electrical,2026-07-21,Cushing St,
Stoughton,Electrical,2026-07-21,Seaver St,
Stoughton,Electrical,2026-07-21,Meadowood Dr,
Stoughton,Plumbing,2026-07-21,Flynn Rd,
Stoughton,Sign/Awning,2026-07-21,Technology Ctr Dr,
Stoughton,Electrical,2026-07-21,Technology Center Drive,
Stoughton,Plumbing,2026-07-20,Fourth St,
Stoughton,Building,2026-07-20,Elderwood Dr,
Stoughton,Electrical,2026-07-20,Bay Rd,
Stoughton,Electrical,2026-07-20,Summer Ave,
Stoughton,Gas,2026-07-20,Spring St,
