town,trade,issued_date,street_masked,valuation
Sudbury,Renovation/Remodel,2026-07-30,Brimstone Ln,5061.0
Sudbury,Roofing,2026-07-30,Barton Dr,19482.0
Sudbury,Roofing,2026-07-30,Camperdown Ln,71791.0
Sudbury,Roofing,2026-07-30,Codjer Ln,48643.0
Sudbury,Kitchen/Bath,2026-07-30,Woodside Rd,41000.0
Sudbury,New Construction,2026-07-30,Union Ave,1550.0
Sudbury,Renovation/Remodel,2026-07-29,Landham Rd,4754.0
Sudbury,Renovation/Remodel,2026-07-29,Kato Dr,12000.0
Sudbury,Renovation/Remodel,2026-07-29,Taylor Rd,6785.0
Sudbury,Kitchen/Bath,2026-07-28,North Rd,67799.0
Sudbury,Deck/Porch,2026-07-28,Belcher Dr,52970.0
Sudbury,Solar,2026-07-27,Lee Anne Cir,39440.0
Sudbury,Windows/Doors/Siding,2026-07-27,Forest St,15000.0
Sudbury,Windows/Doors/Siding,2026-07-27,Cudworth Ln,40000.0
Sudbury,Renovation/Remodel,2026-07-27,Boston Post Rd,115000.0
Sudbury,Addition,2026-07-27,French Rd,62814.0
Sudbury,Renovation/Remodel,2026-07-24,Alta Rd,3110.0
Sudbury,Renovation/Remodel,2026-07-23,Pratts Mill Rd,2437.0
Sudbury,HVAC,2026-07-23,Mossman Rd,7900.0
Sudbury,New Construction,2026-07-23,Field Rd,2728.0
Sudbury,Kitchen/Bath,2026-07-23,Carding Mill Rd,57800.0
Sudbury,Windows/Doors/Siding,2026-07-23,Dakin Rd,100000.0
Sudbury,Kitchen/Bath,2026-07-23,Bigelow Dr,53203.0
Sudbury,Kitchen/Bath,2026-07-23,Dutton Rd,26750.0
Sudbury,Roofing,2026-07-23,Peakham Rd,111000.0
Sudbury,Other,2026-07-22,Willis Lake Dr,13772.0
Sudbury,Renovation/Remodel,2026-07-22,Weir Hill Rd,112129.0
Sudbury,Renovation/Remodel,2026-07-21,Willow Rd,13000.0
Sudbury,Deck/Porch,2026-07-21,East St,18500.0
Sudbury,Renovation/Remodel,2026-07-21,Fox Run,13000.0
Sudbury,Roofing,2026-07-21,Stubtoe Ln,30000.0
Sudbury,Renovation/Remodel,2026-07-21,Goodmans Hill Rd,2995.0
Sudbury,Solar,2026-07-21,Longfellow Rd,3900.0
Sudbury,Kitchen/Bath,2026-07-21,Birchwood Ave,21200.0
Sudbury,Renovation/Remodel,2026-07-21,Raymond Rd,50000.0
Sudbury,Renovation/Remodel,2026-07-20,Maple Ave,3065.0
Sudbury,Renovation/Remodel,2026-07-20,Country Village Ln,3000.0
Sudbury,Kitchen/Bath,2026-07-20,Peakham Rd,52806.0
Sudbury,Roofing,2026-07-20,Boston Post Rd,35307.0
Sudbury,Addition,2026-07-20,Stone Rd,317500.0
Sudbury,Addition,2026-07-20,Haynes Rd,811185.0
Sudbury,Windows/Doors/Siding,2026-07-17,Boston Post Rd,3500.0
