town,trade,issued_date,street_masked,valuation
Truro,Building,2026-07-30,Sandpiper Ave,1500.0
Truro,Roofing,2026-07-29,Shore Rd,25705.0
Truro,HVAC,2026-07-29,So Pamet Rd,
Truro,Deck/Porch,2026-07-29,Bayside Hills Rd,3624.09
Truro,Other,2026-07-28,Bayberry Rd,800.0
Truro,Windows/Doors/Siding,2026-07-28,Highland Ave,23292.0
Truro,Roofing,2026-07-28,Souzas Way,19000.0
Truro,Solar,2026-07-28,Cooper Rd,29600.0
Truro,Other,2026-07-28,Whitmanville Rd,10000.0
Truro,Roofing,2026-07-22,Whitmanville Rd,3000.0
Truro,Deck/Porch,2026-07-22,Shore Rd,2500.0
Truro,Building,2026-07-21,Parker Dr,800.0
Truro,New Construction,2026-07-21,Deer Path,7200.0
Truro,Solar,2026-07-21,Rt,190323.0
Truro,Building,2026-07-21,Manomet Way,1200.0
Truro,Deck/Porch,2026-07-21,Highland Ave,150000.0
Truro,HVAC,2026-07-21,Daniel Ln,200000.0
Truro,Solar,2026-07-20,Kettle Hole Ln,27818.0
Truro,Building,2026-07-20,Town Hall Rd,25125000.0
Truro,Building,2026-07-15,Town Hall Rd,500000.0
Truro,Deck/Porch,2026-07-14,Toms Hill Rd,54000.0
Truro,Windows/Doors/Siding,2026-07-13,Fishermans Rd,925060.5
Truro,Kitchen/Bath,2026-07-13,Shore Rd,500000.0
Truro,Roofing,2026-07-13,Shore Rd,250.0
Truro,Windows/Doors/Siding,2026-07-13,Rt,10000.0
Truro,Roofing,2026-07-13,Rt,14800.0
Truro,Deck/Porch,2026-07-13,Fisher Rd,16000.0
Truro,Other,2026-07-13,Truro Center Rd,21862.04
Truro,Other,2026-07-06,Tryworks Rd,8300.0
Truro,Building,2026-07-06,Shore Rd,2000.0
Truro,Roofing,2026-07-02,Daisy Ln,10501.0
Truro,Other,2026-06-30,Aldrich Rd,1500.0
Truro,Roofing,2026-06-30,Heather Ln,67245.0
Truro,Other,2026-06-30,Quanset Rd,3099.82
Truro,Roofing,2026-06-30,Heather Ln,24000.0
Truro,Roofing,2026-06-29,Shore Rd,25000.0
Truro,Roofing,2026-06-29,Cooper Rd,6000.0
Truro,Windows/Doors/Siding,2026-06-29,Crestview Cir,3000.0
Truro,Kitchen/Bath,2026-06-29,Meredith Way,231000.0
Truro,Solar,2026-06-24,Sky View Dr,42861.0
Truro,Windows/Doors/Siding,2026-06-22,Old County Rd,8200.0
Truro,Windows/Doors/Siding,2026-06-22,Shore Rd,17049.0
Truro,Other,2026-06-22,Morris Ave,11581.12
Truro,Demolition,2026-06-22,Bay View Rd,92315.8
Truro,Kitchen/Bath,2026-06-22,Bay View Dr,50687.92
Truro,Other,2026-06-17,Resolution Rd,12237.84
Truro,Roofing,2026-06-17,Shore Rd,39050.0
Truro,HVAC,2026-06-17,Shore Rd,16000.0
Truro,Solar,2026-06-16,Overlook Dr,34966.32
Truro,Windows/Doors/Siding,2026-06-15,Harrier Way,7791.0
Truro,Windows/Doors/Siding,2026-06-15,Highland Ave,4888.69
Truro,Windows/Doors/Siding,2026-06-15,Highland Ave,61306.77
Truro,Windows/Doors/Siding,2026-06-15,Shore Rd,17045.0
Truro,Roofing,2026-06-15,Sandpiper Rd,740186.0
Truro,Kitchen/Bath,2026-06-15,Rt,4500.0
Truro,Building,2026-06-15,Parker Dr,7131.0
Truro,Roofing,2026-06-15,Snows Rd,200000.0
Truro,Roofing,2026-06-15,Old County Rd,18000.0
Truro,HVAC,2026-06-10,Great Hollow Rd,6000.0
Truro,Roofing,2026-06-10,Fishermans Rd,43337.0
Truro,Windows/Doors/Siding,2026-06-09,Windigo Ln,24395.5
Truro,Other,2026-06-09,Town Dump Rd,75000.0
Truro,Deck/Porch,2026-06-08,Resolution Rd,90000.0
Truro,Other,2026-06-08,Whitmanville Rd,5000.0
Truro,Windows/Doors/Siding,2026-06-08,Blackfish Rd,6202.0
Truro,Windows/Doors/Siding,2026-06-08,Amanda Ln,15805.0
Truro,Kitchen/Bath,2026-06-03,Chickadee Ln,30000.0
Truro,Solar,2026-06-03,Pond Village Ave,105704.4
Truro,Other,2026-06-03,Crestview Cir,15000.0
Truro,Roofing,2026-06-03,Blackfish Rd,650000.0
Truro,Kitchen/Bath,2026-06-02,Parker Dr,125000.0
Truro,Roofing,2026-06-01,Shore Rd,33125.0
Truro,Windows/Doors/Siding,2026-06-01,Town Hall Rd,15000.0
Truro,Windows/Doors/Siding,2026-06-01,Pine Ridge Rd,11850.0
Truro,Other,2026-06-01,Horton Dr,5500.0
Truro,Building,2026-06-01,Shore Rd,5000.0
Truro,Solar,2026-06-01,Yellow Brick Rd,20811.0
Truro,Deck/Porch,2026-05-29,Rt,7000.0
Truro,Electrical,2026-05-28,Corn Hill Rd,37132.0
Truro,Building,2026-05-27,Old County Rd,350000.0
Truro,Windows/Doors/Siding,2026-05-27,Hopkins Way,5408.76
Truro,HVAC,2026-05-27,Old Colony Way,4800.0
Truro,Roofing,2026-05-26,Pond Village Ave,54635.0
Truro,Roofing,2026-05-26,Heron Ln,14500.0
Truro,Solar,2026-05-22,Highland Rd,108926.04
Truro,Building,2026-05-20,Knowles Hgts Rd,6400.0
Truro,Pool/Spa,2026-05-20,Fair Winds Passage,5500.0
Truro,Renovation/Remodel,2026-05-19,Town Dump Rd,55000.0
Truro,Kitchen/Bath,2026-05-19,Yellow Brick Rd,50000.0
Truro,Roofing,2026-05-19,Truro Center Rd,9200.0
Truro,Roofing,2026-05-19,Shore Rd,7500.0
Truro,Windows/Doors/Siding,2026-05-19,Avery Hill Way,9909.0
Truro,HVAC,2026-05-18,Alden Cir,375000.0
Truro,Roofing,2026-05-18,Francis Farm Rd,40000.0
Truro,Roofing,2026-05-18,Shore Rd,20000.0
Truro,Solar,2026-05-18,Pond Village Hgts Rd,80000.0
Truro,Building,2026-05-14,Short Lots Ln,4000.0
Truro,Other,2026-05-13,No Pamet Rd,10551.25
Truro,HVAC,2026-05-13,Snows Rd,27000.0
Truro,Building,2026-05-12,Highland Ave,6600.0
Truro,Kitchen/Bath,2026-05-11,Highland Ave,18345.0
Truro,Roofing,2026-05-11,Spyglass Hill Rd,26000.0
Truro,Roofing,2026-05-05,Quail Ridge Rd,15870.0
Truro,Other,2026-05-05,Shore Rd,1600.0
Truro,Kitchen/Bath,2026-05-04,Kinnikinnick Rd,30692.0
Truro,Other,2026-05-04,Pond Rd,16500.0
Truro,Windows/Doors/Siding,2026-05-04,Thornley Meadow Rd,60000.0
Truro,Windows/Doors/Siding,2026-05-04,Madley Ln,30000.0
Truro,Kitchen/Bath,2026-04-30,Shore Rd,200000.0
Truro,Other,2026-04-29,Old Firehouse Rd,6100.0
Truro,Kitchen/Bath,2026-04-28,Shore Rd,8500.0
Truro,Roofing,2026-04-28,Union Field Rd,17500.0
Truro,Roofing,2026-04-28,Truro Center Rd,85570.0
Truro,Kitchen/Bath,2026-04-27,Quanset Rd,159111.92
Truro,Deck/Porch,2026-04-27,Old Bridge Rd,2000.0
Truro,Electrical,2026-04-23,Lauras Way,50000.0
Truro,Windows/Doors/Siding,2026-04-22,Shore Rd,8500.0
