town,trade,issued_date,street_masked,valuation
Wakefield,Building,2026-08-31,Nahant St,43000.0
Wakefield,Demolition,2026-08-31,Old Nahant Rd,26000.0
Wakefield,Building,2026-08-31,Humphrey St,15000.0
Wakefield,Building,2026-08-31,Houston St,6000.0
Wakefield,Kitchen/Bath,2026-08-28,"Ballister St, Unit",82000.0
Wakefield,Roofing,2026-08-28,Eustis Ave,11000.0
Wakefield,New Construction,2026-08-27,Lovis Ave,469000.0
Wakefield,Kitchen/Bath,2026-08-27,Harrison Ave,67000.0
Wakefield,Kitchen/Bath,2026-08-27,Richardson Ave,25000.0
Wakefield,Pool/Spa,2026-08-27,Spruce St,15000.0
Wakefield,Roofing,2026-08-27,Converse St,13000.0
Wakefield,Sign/Awning,2026-08-27,Main St,7000.0
Wakefield,Building,2026-08-27,Main St,3000.0
Wakefield,Roofing,2026-08-26,Millbrook Ln,49000.0
Wakefield,Roofing,2026-08-26,Nahant St,16000.0
Wakefield,Roofing,2026-08-26,Farm St,5000.0
Wakefield,Windows/Doors/Siding,2026-08-26,Valley St,4000.0
Wakefield,Addition,2026-08-25,Highland St,48000.0
Wakefield,Kitchen/Bath,2026-08-25,Meriam St,27000.0
Wakefield,Roofing,2026-08-25,Ludlow Ave,21000.0
Wakefield,Roofing,2026-08-25,Oakledge Rd,3000.0
Wakefield,Demolition,2026-08-24,Foundry St,400000.0
Wakefield,Kitchen/Bath,2026-08-24,Holland Rd,115000.0
Wakefield,Roofing,2026-08-24,Marion Cir,44000.0
Wakefield,Roofing,2026-08-24,Richardson Ave,32000.0
Wakefield,New Construction,2026-08-24,Lakeview Ave,23000.0
Wakefield,Roofing,2026-08-24,Greenwood Ave,22000.0
Wakefield,Roofing,2026-08-24,Princess St,7000.0
Wakefield,Addition,2026-08-21,Norway St,221000.0
Wakefield,Roofing,2026-08-21,Parker Rd,26997.0
Wakefield,Roofing,2026-08-21,Old Nahant Rd,16000.0
Wakefield,Building,2026-08-19,Herbert St,11000.0
Wakefield,Roofing,2026-08-18,"Parker Rd, Unit",48000.0
Wakefield,Kitchen/Bath,2026-08-18,Woodcrest Dr,28000.0
Wakefield,Roofing,2026-08-18,Stark Ave,27000.0
Wakefield,Roofing,2026-08-18,Partridge Ln,22000.0
Wakefield,Roofing,2026-08-18,Memory Ln,21000.0
Wakefield,Building,2026-08-18,Wave Ave,2000.0
Wakefield,HVAC,2026-08-17,Lowell St,35000.0
Wakefield,Building,2026-08-17,Albion St,24000.0
Wakefield,Deck/Porch,2026-08-17,Kendrick Rd,22000.0
Wakefield,Roofing,2026-08-17,Water St,6000.0
Wakefield,Addition,2026-08-14,Walnut St,79000.0
Wakefield,Roofing,2026-08-14,Spaulding St,29000.0
Wakefield,Roofing,2026-08-14,"Salem St, Unit",28000.0
Wakefield,Roofing,2026-08-14,Crescent St,27000.0
Wakefield,Building,2026-08-14,Chestnut St,15000.0
Wakefield,Roofing,2026-08-13,Lowell St,34000.0
Wakefield,Deck/Porch,2026-08-13,Forest St,14000.0
Wakefield,Roofing,2026-08-13,Forrester Rd,10000.0
Wakefield,Roofing,2026-08-13,Cedar St,4000.0
Wakefield,Building,2026-08-13,Greenwood Ave,3998.0
Wakefield,Roofing,2026-08-12,Hickory Hill Rd,44000.0
Wakefield,Building,2026-08-12,Lovis Ave,30000.0
Wakefield,Deck/Porch,2026-08-12,Lawrence St,13000.0
Wakefield,Roofing,2026-08-12,Forrester Rd,12000.0
Wakefield,Roofing,2026-08-11,Gumwood Ln,47000.0
Wakefield,Kitchen/Bath,2026-08-11,Grove St,38000.0
Wakefield,Roofing,2026-08-11,Hopkins St,14000.0
Wakefield,Deck/Porch,2026-08-11,Woodbriar Rd,11000.0
Wakefield,Roofing,2026-08-11,Parker Rd,9000.0
Wakefield,Roofing,2026-08-11,Spruce St,7000.0
Wakefield,Building,2026-08-10,Vernon St,625000.0
Wakefield,Building,2026-08-10,New Salem St,92000.0
Wakefield,Roofing,2026-08-10,Eaton St,29000.0
Wakefield,Roofing,2026-08-10,Hancock Rd,5000.0
Wakefield,Roofing,2026-08-07,Bay State Rd,39000.0
Wakefield,Roofing,2026-08-07,Main St,26000.0
Wakefield,Building,2026-08-07,Madison Ave,23000.0
Wakefield,Pool/Spa,2026-08-06,"Salem St, Unit",25000.0
Wakefield,Roofing,2026-08-06,Brewster Rd,16000.0
Wakefield,Roofing,2026-08-06,Sesame St,13000.0
Wakefield,Building,2026-08-05,Audubon Rd,69000.0
Wakefield,Roofing,2026-08-05,Davey Ln,14000.0
Wakefield,Roofing,2026-08-05,Crystal St,11000.0
Wakefield,Roofing,2026-08-05,Pleasant St,6000.0
Wakefield,Addition,2026-08-04,Court St,125000.0
Wakefield,Roofing,2026-08-04,Jordan Ave,55000.0
Wakefield,Roofing,2026-08-04,Biggs Ct,4000.0
Wakefield,Kitchen/Bath,2026-08-03,Summer St,30000.0
Wakefield,Roofing,2026-08-03,Lantern Ln,17000.0
Wakefield,Roofing,2026-08-03,Main St,15000.0
Wakefield,Roofing,2026-08-03,Hillcrest Rd,15000.0
Wakefield,Roofing,2026-08-03,Richardson St,15000.0
Wakefield,Deck/Porch,2026-08-03,Wicker Ln,15000.0
Wakefield,Roofing,2026-08-03,Jordan Ave,12000.0
Wakefield,HVAC,2026-08-03,Walter Ave,7000.0
Wakefield,Building,2026-08-03,Water St,4000.0
Wakefield,Addition,2026-07-30,Ledgewood Rd,218000.0
Wakefield,Renovation/Remodel,2026-07-30,Main St,117000.0
Wakefield,Roofing,2026-07-30,Lowell St,44000.0
Wakefield,HVAC,2026-07-30,Pleasant St,41000.0
Wakefield,Kitchen/Bath,2026-07-30,"Tuttle St, Unit",20000.0
Wakefield,Demolition,2026-07-30,Harrison Ave,20000.0
Wakefield,Roofing,2026-07-30,Memory Ln,16000.0
Wakefield,Building,2026-07-30,Madison Ave,8000.0
Wakefield,Renovation/Remodel,2026-07-29,Evangelista Way,425000.0
Wakefield,Roofing,2026-07-29,Charles St,150000.0
Wakefield,Building,2026-07-29,Cyrus St,53000.0
Wakefield,Kitchen/Bath,2026-07-29,Oak St,26000.0
Wakefield,Pool/Spa,2026-07-29,Overlook Rd,6000.0
Wakefield,Building,2026-07-29,Chestnut St,2000.0
Wakefield,Building,2026-07-28,Harrison Ave,22000.0
Wakefield,Roofing,2026-07-28,North Ave,20000.0
Wakefield,Roofing,2026-07-28,Madison Ave,16000.0
Wakefield,Deck/Porch,2026-07-28,Overlook Rd,1000.0
Wakefield,Pool/Spa,2026-07-28,Bay State Rd,500.0
Wakefield,HVAC,2026-07-27,Albion St,22000.0
Wakefield,Kitchen/Bath,2026-07-27,Lantern Ln,17000.0
Wakefield,Building,2026-07-27,Hawthorne St,13000.0
Wakefield,Kitchen/Bath,2026-07-24,White Ave,43000.0
Wakefield,Kitchen/Bath,2026-07-24,Byron St,33000.0
Wakefield,Building,2026-07-24,Water St,5000.0
Wakefield,Kitchen/Bath,2026-07-22,White Ave,520000.0
Wakefield,Roofing,2026-07-22,Farm St,27000.0
Wakefield,Roofing,2026-07-22,Woodcrest Dr,23000.0
Wakefield,HVAC,2026-07-21,Wayland Rd,30000.0
Wakefield,Building,2026-07-21,Mt Pleasant Ave,17000.0
Wakefield,Roofing,2026-07-21,Lawrence St,7000.0
Wakefield,Roofing,2026-07-21,Shetland Rd,4000.0
Wakefield,Roofing,2026-07-20,Stedman St,33000.0
Wakefield,HVAC,2026-07-17,Pheasantwood Dr,13000.0
Wakefield,New Construction,2026-07-16,Salem St,227000.0
Wakefield,Building,2026-07-16,Partridge Ln,39000.0
Wakefield,Roofing,2026-07-16,Roosevelt Rd,20000.0
Wakefield,Kitchen/Bath,2026-07-15,Linda Rd,467000.0
Wakefield,Renovation/Remodel,2026-07-15,Renee Dr,162000.0
Wakefield,Kitchen/Bath,2026-07-15,Richardson Ave,40000.0
Wakefield,HVAC,2026-07-15,Pleasant St,28000.0
Wakefield,HVAC,2026-07-15,Eustis Ave,18000.0
Wakefield,Roofing,2026-07-14,Oak St,29000.0
Wakefield,Kitchen/Bath,2026-07-14,Strathmore Rd,27000.0
Wakefield,Demolition,2026-07-14,Nahant St,25000.0
Wakefield,Demolition,2026-07-14,Nahant St,12000.0
Wakefield,Demolition,2026-07-14,Evangelista Way,12000.0
Wakefield,HVAC,2026-07-14,West Park Dr,6000.0
Wakefield,Windows/Doors/Siding,2026-07-14,Highland St,4000.0
Wakefield,Roofing,2026-07-14,Acorn Ave,2000.0
Wakefield,Deck/Porch,2026-07-13,Overlook Rd,20000.0
Wakefield,Roofing,2026-07-13,Traverse St,10000.0
Wakefield,Building,2026-07-10,Eunice Cir,88000.0
Wakefield,Roofing,2026-07-10,Plaza Rd,43000.0
Wakefield,HVAC,2026-07-10,Montrose Ave,37000.0
Wakefield,HVAC,2026-07-10,Melvin St,22000.0
Wakefield,HVAC,2026-07-10,Parker Rd,10000.0
Wakefield,Deck/Porch,2026-07-10,Green St,4000.0
Wakefield,Kitchen/Bath,2026-07-09,Valley St,81000.0
Wakefield,Kitchen/Bath,2026-07-09,Chestnut St,40000.0
Wakefield,Roofing,2026-07-09,Cedar St,27000.0
Wakefield,Deck/Porch,2026-07-09,Pheasantwood Terr,23000.0
Wakefield,Building,2026-07-09,Spring St,12000.0
Wakefield,Deck/Porch,2026-07-09,Walnut St,8000.0
Wakefield,Roofing,2026-07-09,Water St,5000.0
Wakefield,Building,2026-07-09,Clyde Court,5000.0
Wakefield,Kitchen/Bath,2026-07-09,Morgan Ave,5000.0
Wakefield,Renovation/Remodel,2026-07-08,Coolidge Pk,200000.0
Wakefield,Kitchen/Bath,2026-07-08,Wave Ave,170000.0
Wakefield,Renovation/Remodel,2026-07-08,Oak St,83000.0
Wakefield,Roofing,2026-07-08,Arundel Ave,11000.0
Wakefield,Kitchen/Bath,2026-07-08,Goodwin St,7000.0
Wakefield,HVAC,2026-07-08,Robert St,7000.0
Wakefield,Deck/Porch,2026-07-07,Lilah Cir,33000.0
Wakefield,Roofing,2026-07-07,Preston St,5000.0
Wakefield,Roofing,2026-07-07,Lilah Cir,4000.0
Wakefield,Roofing,2026-07-07,Yale Ave,2000.0
Wakefield,Building,2026-07-07,Main St,2000.0
Wakefield,Building,2026-07-07,Linda Rd,150.0
Wakefield,Building,2026-07-06,Lee St,75000.0
Wakefield,Demolition,2026-07-06,Vernon St,20000.0
Wakefield,Roofing,2026-07-06,"Chestnut St, Unit",17000.0
Wakefield,Demolition,2026-07-06,Nahant St,10000.0
Wakefield,Pool/Spa,2026-07-06,Preston St,9000.0
Wakefield,Building,2026-07-06,Brewster Rd,5000.0
Wakefield,Building,2026-07-02,Albion St,618386.0
Wakefield,Building,2026-07-02,Friend St,280000.0
Wakefield,Building,2026-07-02,Valley St,75000.0
Wakefield,Windows/Doors/Siding,2026-07-02,Charles St,41000.0
Wakefield,Roofing,2026-07-02,Greenwood St,8000.0
Wakefield,Kitchen/Bath,2026-06-29,Lake St,146000.0
Wakefield,Roofing,2026-06-29,Valley St,38000.0
Wakefield,Roofing,2026-06-29,Whittier Rd,12000.0
Wakefield,Building,2026-06-29,Butler Ave,10000.0
Wakefield,Roofing,2026-06-26,Hickory Hill Rd,17000.0
Wakefield,Roofing,2026-06-26,Montrose Ave,8000.0
Wakefield,Building,2026-06-26,Tuttle St,5000.0
Wakefield,Building,2026-06-25,Main St,955000.0
Wakefield,Building,2026-06-25,Melvin St,69000.0
Wakefield,Roofing,2026-06-25,Holland Rd,11000.0
Wakefield,Roofing,2026-06-24,Salem St,43000.0
Wakefield,Roofing,2026-06-24,Magnolia Terr,14000.0
Wakefield,Roofing,2026-06-24,Baldwin Rd,12000.0
Wakefield,Deck/Porch,2026-06-24,Vernon St,10000.0
Wakefield,Kitchen/Bath,2026-06-23,Eunice Cir,32000.0
Wakefield,Kitchen/Bath,2026-06-22,Princess St,75000.0
Wakefield,Roofing,2026-06-22,Greenwood Ave,12000.0
Wakefield,Roofing,2026-06-22,Francis Ave,7000.0
Wakefield,Kitchen/Bath,2026-06-17,Bay State Rd,186000.0
Wakefield,Roofing,2026-06-17,West Water St,25000.0
Wakefield,Building,2026-06-15,Ledgewood Rd,67000.0
Wakefield,Building,2026-06-15,Molly Cir,44000.0
Wakefield,Pool/Spa,2026-06-15,Madison Ave,8000.0
Wakefield,Roofing,2026-06-15,Pine St,7000.0
Wakefield,Windows/Doors/Siding,2026-06-12,Central St,8000.0
Wakefield,Building,2026-06-12,Main St,2000.0
Wakefield,Kitchen/Bath,2026-06-12,Holland Rd,2000.0
Wakefield,Pool/Spa,2026-06-11,Ames St,119000.0
Wakefield,Deck/Porch,2026-06-11,Pleasant St,15000.0
Wakefield,Roofing,2026-06-11,Lakeview Ave,2000.0
Wakefield,Building,2026-06-11,South St E,
Wakefield,Building,2026-06-10,Albion St,353000.0
Wakefield,Pool/Spa,2026-06-10,Vernon St,107000.0
Wakefield,HVAC,2026-06-10,Water St,49000.0
Wakefield,Kitchen/Bath,2026-06-10,Albion St,36000.0
Wakefield,Deck/Porch,2026-06-09,Montrose School Ln,79000.0
Wakefield,HVAC,2026-06-09,"Traverse St, Unit C",26000.0
Wakefield,Building,2026-06-09,Main St,22000.0
Wakefield,Building,2026-06-09,Penfield Cir,14000.0
Wakefield,Roofing,2026-06-09,Morrison Rd West,4000.0
Wakefield,Roofing,2026-06-09,Armory St,500.0
Wakefield,Roofing,2026-06-08,Vernon St,58000.0
Wakefield,Roofing,2026-06-08,"Preston St, Unit",7000.0
Wakefield,HVAC,2026-06-05,Galvin Cir,42000.0
Wakefield,Roofing,2026-06-05,Middlesex St,23000.0
Wakefield,Building,2026-06-05,Myrtle Ave,22000.0
Wakefield,Roofing,2026-06-05,Mt Pleasant Ave,15000.0
Wakefield,Roofing,2026-06-04,Main St,39000.0
Wakefield,Addition,2026-06-03,Hillcrest Rd,435000.0
Wakefield,Addition,2026-06-03,Spruce St,242000.0
Wakefield,Building,2026-06-03,Water St,46000.0
Wakefield,Kitchen/Bath,2026-06-03,Bryant St,41000.0
Wakefield,Building,2026-06-03,Melrose Ave,18000.0
Wakefield,Roofing,2026-06-03,Aborn Ave,9000.0
Wakefield,Building,2026-06-02,Walden Rd,20000.0
Wakefield,Roofing,2026-06-02,Hillis Ave,14000.0
Wakefield,HVAC,2026-06-02,Oak St,13000.0
Wakefield,Roofing,2026-06-02,Water St,7000.0
Wakefield,Building,2026-06-02,Pitman Ave,5000.0
Wakefield,Building,2026-05-29,Memory Ln,8000.0
Wakefield,Deck/Porch,2026-05-28,Converse St,33000.0
Wakefield,Roofing,2026-05-28,Oak St,10000.0
Wakefield,Deck/Porch,2026-05-28,Montrose Ave,4000.0
Wakefield,Kitchen/Bath,2026-05-27,Yale Ave,72000.0
Wakefield,HVAC,2026-05-27,Galvin Cir,20000.0
Wakefield,HVAC,2026-05-27,Spring St,17000.0
Wakefield,Roofing,2026-05-27,Park St,16000.0
Wakefield,Roofing,2026-05-27,Dillaway St,15000.0
Wakefield,Roofing,2026-05-27,Plymouth Rd,15000.0
Wakefield,New Construction,2026-05-27,Greenwood Ave,15000.0
Wakefield,Roofing,2026-05-27,Green St,11000.0
