town,trade,issued_date,street_masked,valuation
Waltham,Building,2026-07-31,Hillcroft Rd,15000.0
Waltham,Windows/Doors/Siding,2026-07-31,Ravenswood Rd,8650.0
Waltham,Roofing,2026-07-31,Ravenswood Rd,42512.29
Waltham,Addition,2026-07-31,Worcester Ln,150000.0
Waltham,Kitchen/Bath,2026-07-30,Azalea Rd,16200.0
Waltham,Deck/Porch,2026-07-30,Bennett St,10000.0
Waltham,Other,2026-07-30,Bennett St,7182.81
Waltham,Solar,2026-07-30,Cedarcroft Ln,44167.2
Waltham,Kitchen/Bath,2026-07-30,Francis St Unit,37400.0
Waltham,Other,2026-07-30,Galen St,3079.42
Waltham,Windows/Doors/Siding,2026-07-30,Gregory St,30000.0
Waltham,Windows/Doors/Siding,2026-07-30,Hardy Pond Rd,12968.0
Waltham,Roofing,2026-07-30,Harland Rd,134378.0
Waltham,Solar,2026-07-30,Lake St,53247.0
Waltham,Windows/Doors/Siding,2026-07-30,Marlborough Rd,3475.0
Waltham,Kitchen/Bath,2026-07-30,Piedmont Ave,40000.0
Waltham,Electrical,2026-07-30,Pine St,8600.0
Waltham,Roofing,2026-07-30,Pond End School Ln,18000.0
Waltham,Roofing,2026-07-30,Sherwood Ln,20746.0
Waltham,Other,2026-07-30,Warren St,5576.64
Waltham,Roofing,2026-07-30,Wildwood Ln,8800.0
Waltham,Addition,2026-07-29,Florence Rd,140000.0
Waltham,Kitchen/Bath,2026-07-29,Moody St,51000.0
Waltham,Roofing,2026-07-29,Summer St,10500.0
Waltham,Renovation/Remodel,2026-07-29,Wadsworth Ave,4500.0
Waltham,New Construction,2026-07-28,Gilbert St,22500.0
Waltham,Building,2026-07-28,School St,2387.12
Waltham,Demolition,2026-07-28,Trapelo Rd,2058671.0
Waltham,Deck/Porch,2026-07-27,Brown St,27548.0
Waltham,Deck/Porch,2026-07-27,Myrtle St,20550.0
Waltham,Roofing,2026-07-27,Pleasant St,33750.0
Waltham,Kitchen/Bath,2026-07-27,Villa St,477747.0
Waltham,Demolition,2026-07-24,Bear Hill Rd,64000.0
Waltham,Kitchen/Bath,2026-07-24,Russell St,11000.0
Waltham,Renovation/Remodel,2026-07-23,Elm St,13000.0
Waltham,Roofing,2026-07-23,Fiske St,23299.0
Waltham,Kitchen/Bath,2026-07-23,Kings Way Unit,17277.03
Waltham,Other,2026-07-23,Lexington St,
Waltham,Solar,2026-07-23,Lexington St,164385.0
Waltham,HVAC,2026-07-23,Lincoln St,203400.0
Waltham,Building,2026-07-23,Lincoln St,82000.0
Waltham,Demolition,2026-07-23,Moody St,11000.0
Waltham,Kitchen/Bath,2026-07-23,Moody St,51000.0
Waltham,HVAC,2026-07-23,Rosewood Dr,250000.0
Waltham,Roofing,2026-07-23,Russell St,36924.73
Waltham,Other,2026-07-23,Wamsutta Ave,4000.0
Waltham,Roofing,2026-07-23,Wellington St Unit,20000.0
Waltham,Windows/Doors/Siding,2026-07-23,Wight St,8000.0
Waltham,Deck/Porch,2026-07-22,Brewster Rd,26500.0
Waltham,Kitchen/Bath,2026-07-22,Crescent St,10000.0
Waltham,Other,2026-07-22,Lyman St,6000.0
Waltham,Roofing,2026-07-22,Tomlin St,22025.0
Waltham,Building,2026-07-22,Virginia Rd,2580.0
Waltham,Deck/Porch,2026-07-22,Wilbur St,11652.0
Waltham,Kitchen/Bath,2026-07-21,Aberdeen Ave,13000.0
Waltham,Roofing,2026-07-21,Ash St Unit,9300.0
Waltham,Deck/Porch,2026-07-21,Hovey Rd,25000.0
Waltham,Roofing,2026-07-21,Shirley Rd,14500.0
Waltham,Demolition,2026-07-21,South St,5250.0
Waltham,Demolition,2026-07-21,Woerd Ave,26000.0
Waltham,Other,2026-07-20,Adams St,7000.0
Waltham,Deck/Porch,2026-07-20,Ellery Rd,30073.0
Waltham,Kitchen/Bath,2026-07-20,Greer St,750000.0
Waltham,Kitchen/Bath,2026-07-20,Hemlock Terr,198500.0
Waltham,Roofing,2026-07-20,Murray St,8500.0
Waltham,Windows/Doors/Siding,2026-07-20,Princeton Ave,37500.0
Waltham,Deck/Porch,2026-07-20,Riverview Ave,40030.0
Waltham,Demolition,2026-07-20,South St,30000.0
Waltham,Roofing,2026-07-20,Warren St Unit,31000.0
Waltham,Roofing,2026-07-20,Whitman Rd Unit,31000.0
Waltham,Renovation/Remodel,2026-07-17,Lexington St,22632.0
Waltham,Demolition,2026-07-17,Main St,239687.8
Waltham,Building,2026-07-17,Third Ave,3453325.0
Waltham,Windows/Doors/Siding,2026-07-17,Willow St,9300.0
Waltham,Roofing,2026-07-16,Beech St,18173.35
Waltham,Roofing,2026-07-16,Lexington St,262436.0
Waltham,Renovation/Remodel,2026-07-15,Elm St,9000.0
Waltham,Kitchen/Bath,2026-07-15,Harrington Rd,125000.0
Waltham,Kitchen/Bath,2026-07-15,Hillcrest Rd,93500.0
Waltham,Windows/Doors/Siding,2026-07-15,Main St,24209.0
Waltham,Windows/Doors/Siding,2026-07-15,Massasoit St Unit,17598.0
Waltham,Deck/Porch,2026-07-15,Robbins St,23000.0
Waltham,Other,2026-07-15,Trapelo Rd,1000.0
