town,trade,issued_date,street_masked,valuation
Wareham,Electrical,2026-08-27,Sippican Rd,
Wareham,Gas,2026-08-27,Swifts Bch Rd,
Wareham,Gas,2026-08-27,Kendrick Rd,
Wareham,Plumbing,2026-08-27,Cran Hwy,
Wareham,Plumbing,2026-08-27,Douglas Ln,
Wareham,Electrical,2026-08-26,Cran Hwy,
Wareham,Electrical,2026-08-26,Edgewater Dr,
Wareham,Electrical,2026-08-26,Hathaway St,
Wareham,Electrical,2026-08-26,Main St,
Wareham,Electrical,2026-08-26,Rose Pt Ave,
Wareham,Gas,2026-08-26,Paper Mill Rd,
Wareham,Gas,2026-08-26,Swifts Bch Rd,
Wareham,Sign/Awning,2026-08-26,Cran Hwy,
Wareham,Building,2026-08-25,County Rd,
Wareham,Building,2026-08-25,Main St,
Wareham,Building,2026-08-25,Barlow Ave,
Wareham,Electrical,2026-08-25,Cran Hwy,
Wareham,Gas,2026-08-25,Crooked River Rd,
Wareham,Gas,2026-08-25,Elmwood St,
Wareham,Gas,2026-08-25,Stoney Run Dr,
Wareham,Gas,2026-08-25,Pine Tree Dr,
Wareham,Gas,2026-08-25,Choctaw Dr,
Wareham,HVAC,2026-08-25,Tinker'S Ln,
Wareham,Building,2026-08-24,Little Harbor Rd,
Wareham,Building,2026-08-24,Fourth St,
Wareham,Building,2026-08-24,Great Neck Rd,
Wareham,Electrical,2026-08-24,Windswept Rd,
Wareham,Electrical,2026-08-24,Dinah'S Way,
Wareham,Electrical,2026-08-24,Swifts Bch Rd,
Wareham,Plumbing,2026-08-24,Cameron St,
Wareham,Plumbing,2026-08-24,Windswept Rd,
Wareham,Plumbing,2026-08-24,Barlow Ave,
Wareham,Electrical,2026-08-22,Maple Springs Rd,
Wareham,Building,2026-08-21,Saltmarsh Ln,
Wareham,Building,2026-08-21,Fearing Hill Rd,
Wareham,Building,2026-08-21,"Rock Marsh Rd, Unit",
Wareham,Electrical,2026-08-21,Farmer'S Ln,
