town,trade,issued_date,street_masked,valuation
West Bridgewater,Plumbing,2026-08-20,Merritt St,
West Bridgewater,Renovation/Remodel,2026-08-20,North Elm St,
West Bridgewater,Plumbing,2026-08-20,Elm Terrace,
West Bridgewater,Renovation/Remodel,2026-08-20,Metacomet Rd,
West Bridgewater,Electrical,2026-08-19,Oliver St,
West Bridgewater,Electrical,2026-08-19,Matfield St,
West Bridgewater,Renovation/Remodel,2026-08-19,Maolis Ave,
West Bridgewater,Building,2026-08-19,N Main Street,
West Bridgewater,Renovation/Remodel,2026-08-18,West Center St,
West Bridgewater,Electrical,2026-08-18,Steppingstone Drive,
West Bridgewater,Electrical,2026-08-18,Spring Street,
West Bridgewater,Renovation/Remodel,2026-08-17,South Elm Street,
West Bridgewater,Plumbing,2026-08-14,Oliver St,
West Bridgewater,Renovation/Remodel,2026-08-14,North Elm St,
West Bridgewater,Gas,2026-08-13,South St,
West Bridgewater,Gas,2026-08-13,Apple Ln,
West Bridgewater,Renovation/Remodel,2026-08-13,Matfield St,
West Bridgewater,Renovation/Remodel,2026-08-12,Christian Way,
West Bridgewater,Renovation/Remodel,2026-08-12,Matfield St,
West Bridgewater,Renovation/Remodel,2026-08-12,East St,
West Bridgewater,Electrical,2026-08-12,Matfield St,
West Bridgewater,Renovation/Remodel,2026-08-11,Copeland St,
West Bridgewater,Renovation/Remodel,2026-08-11,Liberty St West,
West Bridgewater,Renovation/Remodel,2026-08-11,Victorian Way,
West Bridgewater,Renovation/Remodel,2026-08-11,Orchard Dr,
West Bridgewater,Building,2026-08-10,West Center St,
West Bridgewater,Electrical,2026-08-10,Kenneth St,
West Bridgewater,Plumbing,2026-08-10,Metacomet Rd,
West Bridgewater,Renovation/Remodel,2026-08-10,Orchard Dr,
West Bridgewater,HVAC,2026-08-07,Kenneth St,
West Bridgewater,Renovation/Remodel,2026-08-07,N Main St,
West Bridgewater,Plumbing,2026-08-07,South Elm St,
West Bridgewater,HVAC,2026-08-07,United Dr,
West Bridgewater,Renovation/Remodel,2026-08-07,South St,
West Bridgewater,Renovation/Remodel,2026-08-07,Hartshorn St,
West Bridgewater,Sign/Awning,2026-08-07,N Main St,
West Bridgewater,Electrical,2026-08-06,Pleasant St,
West Bridgewater,Renovation/Remodel,2026-08-06,Victorian Way,
West Bridgewater,Electrical,2026-08-06,Cross St,
West Bridgewater,Plumbing,2026-08-04,N Main St,
West Bridgewater,Electrical,2026-08-02,Cross St,
West Bridgewater,Electrical,2026-08-01,South Elm St,
West Bridgewater,Plumbing,2026-07-31,West Center St,
West Bridgewater,Plumbing,2026-07-31,Kenneth St,
West Bridgewater,Gas,2026-07-31,West Center St,
West Bridgewater,Renovation/Remodel,2026-07-30,Metacomet Rd,
West Bridgewater,Renovation/Remodel,2026-07-30,Maolis Ave,
West Bridgewater,Renovation/Remodel,2026-07-30,Copeland St,
West Bridgewater,HVAC,2026-07-30,West St,
West Bridgewater,Renovation/Remodel,2026-07-30,South Elm St,
West Bridgewater,Electrical,2026-07-29,Maolis Ave,
West Bridgewater,Electrical,2026-07-28,Metacomet Rd,
West Bridgewater,New Construction,2026-07-28,Orchard Dr,
West Bridgewater,Renovation/Remodel,2026-07-27,West Center St,
West Bridgewater,Renovation/Remodel,2026-07-27,Elm Terrace,
West Bridgewater,Building,2026-07-27,Copeland St,
West Bridgewater,Electrical,2026-07-25,Sinnott St,
West Bridgewater,Plumbing,2026-07-23,Manley St,
West Bridgewater,Plumbing,2026-07-23,Commonwealth Ave,
West Bridgewater,Renovation/Remodel,2026-07-23,Metacomet Rd,
West Bridgewater,Renovation/Remodel,2026-07-22,West Center St,
West Bridgewater,Gas,2026-07-22,N Main St,
West Bridgewater,Renovation/Remodel,2026-07-22,Goldie Rd,
West Bridgewater,Gas,2026-07-22,Friendship Dr,
West Bridgewater,Building,2026-07-21,East Center St,
West Bridgewater,Gas,2026-07-21,Pleasant St,
West Bridgewater,Electrical,2026-07-21,Goldie Rd,
West Bridgewater,HVAC,2026-07-21,United Dr,
West Bridgewater,Plumbing,2026-07-21,Pleasant St,
West Bridgewater,Electrical,2026-07-21,Metacomet Rd,
West Bridgewater,Renovation/Remodel,2026-07-21,Pearl Road,
West Bridgewater,Renovation/Remodel,2026-07-20,Howard St,
West Bridgewater,Plumbing,2026-07-17,Stoney Rd,
West Bridgewater,Plumbing,2026-07-16,Shagbark Rd,
West Bridgewater,Electrical,2026-07-16,Keenan St,
West Bridgewater,Gas,2026-07-15,West Center St,
West Bridgewater,Renovation/Remodel,2026-07-15,Kenneth St,
West Bridgewater,Renovation/Remodel,2026-07-15,Matfield St,
West Bridgewater,Renovation/Remodel,2026-07-15,American Ave,
West Bridgewater,Plumbing,2026-07-14,Keenan St,
West Bridgewater,HVAC,2026-07-14,Manley St,
West Bridgewater,Electrical,2026-07-14,Manley St,
West Bridgewater,Electrical,2026-07-14,Pearl Road,
West Bridgewater,Electrical,2026-07-14,River St,
West Bridgewater,Plumbing,2026-07-14,Metacomet Rd,
West Bridgewater,Electrical,2026-07-14,West Center St,
West Bridgewater,Building,2026-07-13,West Center St,
West Bridgewater,Building,2026-07-13,West Street,
West Bridgewater,Renovation/Remodel,2026-07-13,East St,
West Bridgewater,Renovation/Remodel,2026-07-10,Merritt St,
West Bridgewater,Plumbing,2026-07-09,West Center St,
West Bridgewater,Electrical,2026-07-09,Pleasant St,
West Bridgewater,Plumbing,2026-07-09,Metacomet Rd,
West Bridgewater,Renovation/Remodel,2026-07-08,South Main St,
West Bridgewater,Renovation/Remodel,2026-07-08,South St,
West Bridgewater,Electrical,2026-07-08,Prospect St,
West Bridgewater,Gas,2026-07-08,North Elm St,
West Bridgewater,Electrical,2026-07-07,Daniel Ter,
West Bridgewater,Renovation/Remodel,2026-07-07,Norman Ave,
West Bridgewater,Gas,2026-07-07,Manley St,
West Bridgewater,Pool/Spa,2026-07-07,Orchard Dr,
West Bridgewater,Renovation/Remodel,2026-07-07,South Elm St,
West Bridgewater,Renovation/Remodel,2026-07-07,Spring St,
West Bridgewater,Plumbing,2026-07-07,South Main St,
West Bridgewater,Renovation/Remodel,2026-07-07,North Elm St,
West Bridgewater,Renovation/Remodel,2026-07-07,Sinnott St,
West Bridgewater,Electrical,2026-07-07,Orchard Dr,
West Bridgewater,Gas,2026-07-07,South Main St,
West Bridgewater,Electrical,2026-07-07,Commonwealth Ave,
West Bridgewater,Renovation/Remodel,2026-07-06,West St,
West Bridgewater,Electrical,2026-07-06,West Center St,
West Bridgewater,Other,2026-07-06,South Main St,
West Bridgewater,Electrical,2026-07-02,South Main St,
West Bridgewater,Electrical,2026-07-02,South St,
West Bridgewater,Electrical,2026-07-02,Manley St,
West Bridgewater,Electrical,2026-07-01,South Main St,
West Bridgewater,Plumbing,2026-07-01,West Center St,
West Bridgewater,Renovation/Remodel,2026-06-30,Friendship Dr,
West Bridgewater,HVAC,2026-06-30,South St,
West Bridgewater,Electrical,2026-06-30,Grant St,
West Bridgewater,Renovation/Remodel,2026-06-30,Commonwealth Ave,
West Bridgewater,Renovation/Remodel,2026-06-30,East St,
West Bridgewater,Renovation/Remodel,2026-06-30,Progressive Ave,
West Bridgewater,Electrical,2026-06-30,Cross St,
West Bridgewater,Electrical,2026-06-29,East Center St,
West Bridgewater,Plumbing,2026-06-29,West St,
West Bridgewater,Electrical,2026-06-29,Manley St,
West Bridgewater,Electrical,2026-06-29,West St,
West Bridgewater,Plumbing,2026-06-29,Progressive Ave,
West Bridgewater,Plumbing,2026-06-29,Cross St,
West Bridgewater,Plumbing,2026-06-29,South Elm St,
West Bridgewater,Plumbing,2026-06-26,Pearl Road,
West Bridgewater,Plumbing,2026-06-26,South St,
West Bridgewater,Renovation/Remodel,2026-06-26,Aldrich Rd,
West Bridgewater,Building,2026-06-25,West Center St,
West Bridgewater,Electrical,2026-06-25,East Center St,
West Bridgewater,Electrical,2026-06-25,South Elm St,
West Bridgewater,HVAC,2026-06-24,Metacomet,
West Bridgewater,Electrical,2026-06-24,East St,
West Bridgewater,Renovation/Remodel,2026-06-24,East St,
West Bridgewater,Renovation/Remodel,2026-06-23,Prospect St,
West Bridgewater,Renovation/Remodel,2026-06-23,Metacomet Rd,
West Bridgewater,Renovation/Remodel,2026-06-23,South Main St,
West Bridgewater,HVAC,2026-06-22,Metacomet,
West Bridgewater,Renovation/Remodel,2026-06-22,Cross St,
West Bridgewater,Gas,2026-06-22,Jeffrey Dr,
West Bridgewater,Plumbing,2026-06-22,Manley St,
West Bridgewater,Electrical,2026-06-22,Jeffrey Dr,
West Bridgewater,Renovation/Remodel,2026-06-18,Keenan St,
West Bridgewater,Building,2026-06-18,South Main St,
West Bridgewater,Plumbing,2026-06-18,Captain Carlson Way,
West Bridgewater,Plumbing,2026-06-16,Manley St,
West Bridgewater,Gas,2026-06-15,Tayler Avenue,
West Bridgewater,Gas,2026-06-15,Bresciani Ln,
West Bridgewater,Renovation/Remodel,2026-06-15,South Main St,
West Bridgewater,Renovation/Remodel,2026-06-15,Plain St,
West Bridgewater,Electrical,2026-06-13,Orchard Dr,
West Bridgewater,Electrical,2026-06-13,West St,
West Bridgewater,Building,2026-06-12,Manley St,
West Bridgewater,Gas,2026-06-12,Captain Carlson Way,
West Bridgewater,Gas,2026-06-12,Brewster Rd,
West Bridgewater,Renovation/Remodel,2026-06-12,Columbus Ave,
West Bridgewater,Plumbing,2026-06-12,Brewster Rd,
West Bridgewater,Gas,2026-06-12,Pleasant St,
West Bridgewater,Electrical,2026-06-11,South St,
West Bridgewater,Renovation/Remodel,2026-06-10,Victorian Way,
West Bridgewater,Renovation/Remodel,2026-06-10,Grant St,
West Bridgewater,Electrical,2026-06-10,North Elm St,
West Bridgewater,Renovation/Remodel,2026-06-10,Metacomet Rd,
West Bridgewater,Renovation/Remodel,2026-06-10,Prospect St,
West Bridgewater,Gas,2026-06-09,East St,
West Bridgewater,Plumbing,2026-06-09,Stoney Rd,
West Bridgewater,Renovation/Remodel,2026-06-09,North Elm St,
West Bridgewater,Electrical,2026-06-09,Plain St,
West Bridgewater,Gas,2026-06-09,Merritt St,
West Bridgewater,Plumbing,2026-06-09,East St,
West Bridgewater,Renovation/Remodel,2026-06-08,Metacomet Rd,
West Bridgewater,Electrical,2026-06-08,Grant St,
West Bridgewater,Renovation/Remodel,2026-06-08,Manley St,
West Bridgewater,Plumbing,2026-06-07,West Center St,
West Bridgewater,Plumbing,2026-06-07,Crescent St,
West Bridgewater,Electrical,2026-06-05,Manley St,
West Bridgewater,Electrical,2026-06-04,Metacomet Rd,
West Bridgewater,Plumbing,2026-06-04,South Main St,
West Bridgewater,Renovation/Remodel,2026-06-04,Bryant St,
West Bridgewater,Electrical,2026-06-04,Bryant St,
West Bridgewater,Renovation/Remodel,2026-06-04,Brewster Rd,
West Bridgewater,Renovation/Remodel,2026-06-04,Metacomet Rd,
West Bridgewater,Renovation/Remodel,2026-06-04,Turnpike St,
West Bridgewater,Plumbing,2026-06-03,Metacomet Road,
West Bridgewater,Electrical,2026-06-03,United Dr,
West Bridgewater,Plumbing,2026-06-03,Harvestwood Dr,
West Bridgewater,Electrical,2026-06-03,Manley St,
West Bridgewater,Gas,2026-06-03,Jeffrey Dr,
West Bridgewater,Plumbing,2026-06-03,Apple Ln,
West Bridgewater,Renovation/Remodel,2026-06-02,Crescent St,
West Bridgewater,Renovation/Remodel,2026-06-02,South Elm St,
West Bridgewater,Renovation/Remodel,2026-06-02,Stoney Rd,
West Bridgewater,Building,2026-06-01,Manley St,
West Bridgewater,Building,2026-06-01,East Center St,
West Bridgewater,Gas,2026-06-01,South Main St,
West Bridgewater,Electrical,2026-05-30,Metacomet Rd,
West Bridgewater,Electrical,2026-05-30,United Dr,
West Bridgewater,Electrical,2026-05-30,Turnpike St,
West Bridgewater,Electrical,2026-05-30,Chippewa Way,
West Bridgewater,Electrical,2026-05-29,West St,
West Bridgewater,Plumbing,2026-05-28,Metacomet Road,
West Bridgewater,Electrical,2026-05-28,Walnut St,
West Bridgewater,Plumbing,2026-05-28,Metacomet Rd,
West Bridgewater,Renovation/Remodel,2026-05-28,Aldrich Rd,
West Bridgewater,Renovation/Remodel,2026-05-28,Crescent St,
West Bridgewater,Plumbing,2026-05-27,Willow St,
West Bridgewater,Gas,2026-05-27,West St,
West Bridgewater,Renovation/Remodel,2026-05-27,Keenan St,
