town,trade,issued_date,street_masked,valuation
Williamsburg,Windows/Doors/Siding,2026-07-31,Village Hill Rd,118980.0
Williamsburg,Building,2026-07-31,Briar Hill Rd,14000.0
Williamsburg,Solar,2026-07-31,Dewey Circle,37000.0
Williamsburg,Windows/Doors/Siding,2026-07-31,Chesterfield Rd,60000.0
Williamsburg,Electrical,2026-07-29,Petticoat Hill Rd,
Williamsburg,Electrical,2026-07-28,Mountain St,
Williamsburg,Windows/Doors/Siding,2026-07-27,Adams Rd,2000.0
Williamsburg,Building,2026-07-27,North St,62000.0
Williamsburg,Electrical,2026-07-27,Ashfield Rd,6000.0
Williamsburg,Solar,2026-07-27,North Farms Rd,12556.0
Williamsburg,Solar,2026-07-24,North Farms Rd,3766.8
Williamsburg,Roofing,2026-07-22,High St,4000.0
Williamsburg,Building,2026-07-21,Ashfield Rd,3000.0
Williamsburg,Electrical,2026-07-20,Main St,
Williamsburg,Roofing,2026-07-16,South St,14850.0
Williamsburg,Solar,2026-07-16,Kingsley Ave,84818.0
Williamsburg,Building,2026-07-14,Goshen Rd,
Williamsburg,Building,2026-07-13,Goshen Rd,
Williamsburg,Roofing,2026-07-13,Village Hill Rd,19500.0
Williamsburg,Building,2026-07-07,Nash Hill Rd,4000.0
Williamsburg,Electrical,2026-07-06,North St,
